yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
194701,0.0038,0.0257,0.0313,0.0214,0.0056,0.0176
194702,0.0038,0.0255,0.0312,0.0214,0.0057,0.0176
194703,0.0038,0.0255,0.0315,0.0213,0.0060,0.0175
194704,0.0038,0.0253,0.0316,0.0217,0.0063,0.0179
194705,0.0038,0.0253,0.0317,0.0216,0.0064,0.0178
194706,0.0038,0.0255,0.0321,0.0216,0.0066,0.0178
194707,0.0066,0.0255,0.0318,0.0214,0.0063,0.0148
194708,0.0075,0.0256,0.0317,0.0210,0.0061,0.0135
194709,0.0080,0.0261,0.0323,0.0213,0.0062,0.0133
194710,0.0085,0.0270,0.0335,0.0217,0.0065,0.0132
194711,0.0092,0.0277,0.0344,0.0229,0.0067,0.0137
194712,0.0095,0.0286,0.0352,0.0243,0.0066,0.0148
194801,0.0097,0.0286,0.0352,0.0243,0.0066,0.0146
194802,0.0100,0.0285,0.0353,0.0241,0.0068,0.0141
194803,0.0100,0.0283,0.0353,0.0241,0.0070,0.0141
194804,0.0100,0.0278,0.0347,0.0239,0.0069,0.0139
194805,0.0100,0.0276,0.0338,0.0231,0.0062,0.0131
194806,0.0100,0.0276,0.0334,0.0238,0.0058,0.0138
194807,0.0100,0.0281,0.0337,0.0241,0.0056,0.0141
194808,0.0106,0.0284,0.0344,0.0242,0.0060,0.0136
194809,0.0109,0.0284,0.0345,0.0242,0.0061,0.0133
194810,0.0112,0.0284,0.0350,0.0243,0.0066,0.0131
194811,0.0114,0.0284,0.0353,0.0239,0.0069,0.0125
194812,0.0116,0.0279,0.0353,0.0237,0.0074,0.0121
194901,0.0117,0.0271,0.0346,0.0233,0.0075,0.0116
194902,0.0117,0.0271,0.0345,0.0231,0.0074,0.0114
194903,0.0117,0.0270,0.0347,0.0227,0.0077,0.0110
194904,0.0117,0.0270,0.0345,0.0227,0.0075,0.0110
194905,0.0117,0.0271,0.0345,0.0227,0.0074,0.0110
194906,0.0117,0.0271,0.0347,0.0217,0.0076,0.0100
194907,0.0102,0.0267,0.0346,0.0216,0.0079,0.0114
194908,0.0104,0.0262,0.0340,0.0210,0.0078,0.0106
194909,0.0107,0.0260,0.0337,0.0212,0.0077,0.0105
194910,0.0105,0.0261,0.0336,0.0212,0.0075,0.0107
194911,0.0108,0.0260,0.0335,0.0212,0.0075,0.0104
194912,0.0110,0.0258,0.0331,0.0209,0.0073,0.0099
195001,0.0107,0.0257,0.0324,0.0215,0.0067,0.0108
195002,0.0112,0.0258,0.0324,0.0214,0.0066,0.0102
195003,0.0112,0.0258,0.0324,0.0215,0.0066,0.0103
195004,0.0115,0.0260,0.0323,0.0214,0.0063,0.0099
195005,0.0116,0.0261,0.0325,0.0213,0.0064,0.0097
195006,0.0115,0.0262,0.0328,0.0216,0.0066,0.0101
195007,0.0116,0.0265,0.0332,0.0214,0.0067,0.0098
195008,0.0120,0.0261,0.0323,0.0214,0.0062,0.0094
195009,0.0130,0.0264,0.0321,0.0220,0.0057,0.0090
195010,0.0131,0.0267,0.0322,0.0225,0.0055,0.0094
195011,0.0136,0.0267,0.0322,0.0224,0.0055,0.0088
195012,0.0134,0.0267,0.0320,0.0224,0.0053,0.0090
195101,0.0134,0.0266,0.0317,0.0221,0.0051,0.0087
195102,0.0136,0.0266,0.0316,0.0228,0.0050,0.0092
195103,0.0140,0.0278,0.0323,0.0241,0.0045,0.0101
195104,0.0147,0.0287,0.0335,0.0248,0.0048,0.0101
195105,0.0155,0.0289,0.0340,0.0254,0.0051,0.0099
195106,0.0145,0.0294,0.0349,0.0259,0.0055,0.0114
195107,0.0156,0.0294,0.0353,0.0252,0.0059,0.0096
195108,0.0162,0.0288,0.0350,0.0246,0.0062,0.0084
195109,0.0163,0.0284,0.0346,0.0253,0.0062,0.0090
195110,0.0154,0.0289,0.0350,0.0254,0.0061,0.0100
195111,0.0156,0.0296,0.0356,0.0264,0.0060,0.0108
195112,0.0173,0.0301,0.0361,0.0269,0.0060,0.0096
195201,0.0157,0.0298,0.0359,0.0268,0.0061,0.0111
195202,0.0154,0.0293,0.0353,0.0269,0.0060,0.0115
195203,0.0159,0.0296,0.0351,0.0263,0.0055,0.0104
195204,0.0157,0.0293,0.0350,0.0254,0.0057,0.0097
195205,0.0167,0.0293,0.0349,0.0257,0.0056,0.0090
195206,0.0170,0.0294,0.0350,0.0259,0.0056,0.0089
195207,0.0181,0.0295,0.0350,0.0261,0.0055,0.0080
195208,0.0183,0.0294,0.0351,0.0267,0.0057,0.0084
195209,0.0171,0.0295,0.0352,0.0277,0.0057,0.0106
195210,0.0174,0.0301,0.0354,0.0269,0.0053,0.0095
195211,0.0185,0.0298,0.0353,0.0272,0.0055,0.0087
195212,0.0209,0.0297,0.0351,0.0279,0.0054,0.0070
195301,0.0196,0.0302,0.0351,0.0279,0.0049,0.0083
195302,0.0197,0.0307,0.0353,0.0287,0.0046,0.0090
195303,0.0201,0.0312,0.0357,0.0294,0.0045,0.0093
195304,0.0219,0.0323,0.0365,0.0303,0.0042,0.0084
195305,0.0216,0.0334,0.0378,0.0314,0.0044,0.0098
195306,0.0211,0.0340,0.0386,0.0301,0.0046,0.0090
195307,0.0204,0.0328,0.0386,0.0301,0.0058,0.0097
195308,0.0204,0.0324,0.0385,0.0303,0.0061,0.0099
195309,0.0179,0.0329,0.0388,0.0284,0.0059,0.0105
195310,0.0138,0.0316,0.0382,0.0281,0.0066,0.0143
195311,0.0144,0.0311,0.0375,0.0286,0.0064,0.0142
195312,0.0160,0.0313,0.0374,0.0274,0.0061,0.0114
195401,0.0118,0.0306,0.0371,0.0291,0.0065,0.0173
195402,0.0097,0.0295,0.0361,0.0279,0.0066,0.0182
195403,0.0103,0.0286,0.0351,0.0278,0.0065,0.0175
195404,0.0097,0.0285,0.0347,0.0273,0.0062,0.0176
195405,0.0076,0.0288,0.0347,0.0279,0.0059,0.0203
195406,0.0064,0.0290,0.0349,0.0272,0.0059,0.0208
195407,0.0072,0.0289,0.0350,0.0266,0.0061,0.0194
