"","date","series_id","value","realtime_start","realtime_end"
"1",2006-01-01,"CUSR0000SAE21",82.1,2023-06-14,2023-06-14
"2",2006-02-01,"CUSR0000SAE21",82,2023-06-14,2023-06-14
"3",2006-03-01,"CUSR0000SAE21",81.8,2023-06-14,2023-06-14
"4",2006-04-01,"CUSR0000SAE21",81.9,2023-06-14,2023-06-14
"5",2006-05-01,"CUSR0000SAE21",81.7,2023-06-14,2023-06-14
"6",2006-06-01,"CUSR0000SAE21",81.8,2023-06-14,2023-06-14
"7",2006-07-01,"CUSR0000SAE21",81.9,2023-06-14,2023-06-14
"8",2006-08-01,"CUSR0000SAE21",81.8,2023-06-14,2023-06-14
"9",2006-09-01,"CUSR0000SAE21",81.7,2023-06-14,2023-06-14
"10",2006-10-01,"CUSR0000SAE21",81.6,2023-06-14,2023-06-14
"11",2006-11-01,"CUSR0000SAE21",80.9,2023-06-14,2023-06-14
"12",2006-12-01,"CUSR0000SAE21",80.6,2023-06-14,2023-06-14
"13",2007-01-01,"CUSR0000SAE21",80.214,2023-06-14,2023-06-14
"14",2007-02-01,"CUSR0000SAE21",80.287,2023-06-14,2023-06-14
"15",2007-03-01,"CUSR0000SAE21",80.539,2023-06-14,2023-06-14
"16",2007-04-01,"CUSR0000SAE21",80.612,2023-06-14,2023-06-14
"17",2007-05-01,"CUSR0000SAE21",81.126,2023-06-14,2023-06-14
"18",2007-06-01,"CUSR0000SAE21",80.901,2023-06-14,2023-06-14
"19",2007-07-01,"CUSR0000SAE21",80.855,2023-06-14,2023-06-14
"20",2007-08-01,"CUSR0000SAE21",80.965,2023-06-14,2023-06-14
"21",2007-09-01,"CUSR0000SAE21",81.011,2023-06-14,2023-06-14
"22",2007-10-01,"CUSR0000SAE21",80.971,2023-06-14,2023-06-14
"23",2007-11-01,"CUSR0000SAE21",80.559,2023-06-14,2023-06-14
"24",2007-12-01,"CUSR0000SAE21",80.591,2023-06-14,2023-06-14
"25",2008-01-01,"CUSR0000SAE21",80.619,2023-06-14,2023-06-14
"26",2008-02-01,"CUSR0000SAE21",80.598,2023-06-14,2023-06-14
"27",2008-03-01,"CUSR0000SAE21",80.681,2023-06-14,2023-06-14
"28",2008-04-01,"CUSR0000SAE21",80.834,2023-06-14,2023-06-14
"29",2008-05-01,"CUSR0000SAE21",81.05,2023-06-14,2023-06-14
"30",2008-06-01,"CUSR0000SAE21",81.537,2023-06-14,2023-06-14
"31",2008-07-01,"CUSR0000SAE21",81.977,2023-06-14,2023-06-14
"32",2008-08-01,"CUSR0000SAE21",81.849,2023-06-14,2023-06-14
"33",2008-09-01,"CUSR0000SAE21",81.684,2023-06-14,2023-06-14
"34",2008-10-01,"CUSR0000SAE21",81.681,2023-06-14,2023-06-14
"35",2008-11-01,"CUSR0000SAE21",81.757,2023-06-14,2023-06-14
