"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"CUSR0000SAS2RS",141.7,2023-06-14,2023-06-14
"2",1990-02-01,"CUSR0000SAS2RS",142,2023-06-14,2023-06-14
"3",1990-03-01,"CUSR0000SAS2RS",143.1,2023-06-14,2023-06-14
"4",1990-04-01,"CUSR0000SAS2RS",143.7,2023-06-14,2023-06-14
"5",1990-05-01,"CUSR0000SAS2RS",144.1,2023-06-14,2023-06-14
"6",1990-06-01,"CUSR0000SAS2RS",145.2,2023-06-14,2023-06-14
"7",1990-07-01,"CUSR0000SAS2RS",146.2,2023-06-14,2023-06-14
"8",1990-08-01,"CUSR0000SAS2RS",147.6,2023-06-14,2023-06-14
"9",1990-09-01,"CUSR0000SAS2RS",147.8,2023-06-14,2023-06-14
"10",1990-10-01,"CUSR0000SAS2RS",148.1,2023-06-14,2023-06-14
"11",1990-11-01,"CUSR0000SAS2RS",148.4,2023-06-14,2023-06-14
"12",1990-12-01,"CUSR0000SAS2RS",148.9,2023-06-14,2023-06-14
"13",1991-01-01,"CUSR0000SAS2RS",149.9,2023-06-14,2023-06-14
"14",1991-02-01,"CUSR0000SAS2RS",150.3,2023-06-14,2023-06-14
"15",1991-03-01,"CUSR0000SAS2RS",150.7,2023-06-14,2023-06-14
"16",1991-04-01,"CUSR0000SAS2RS",151.1,2023-06-14,2023-06-14
"17",1991-05-01,"CUSR0000SAS2RS",151.4,2023-06-14,2023-06-14
"18",1991-06-01,"CUSR0000SAS2RS",151.8,2023-06-14,2023-06-14
"19",1991-07-01,"CUSR0000SAS2RS",152.2,2023-06-14,2023-06-14
"20",1991-08-01,"CUSR0000SAS2RS",152.6,2023-06-14,2023-06-14
"21",1991-09-01,"CUSR0000SAS2RS",153.1,2023-06-14,2023-06-14
"22",1991-10-01,"CUSR0000SAS2RS",153.6,2023-06-14,2023-06-14
"23",1991-11-01,"CUSR0000SAS2RS",154.2,2023-06-14,2023-06-14
"24",1991-12-01,"CUSR0000SAS2RS",154.8,2023-06-14,2023-06-14
"25",1992-01-01,"CUSR0000SAS2RS",155.2,2023-06-14,2023-06-14
"26",1992-02-01,"CUSR0000SAS2RS",155.6,2023-06-14,2023-06-14
"27",1992-03-01,"CUSR0000SAS2RS",156.1,2023-06-14,2023-06-14
"28",1992-04-01,"CUSR0000SAS2RS",156.3,2023-06-14,2023-06-14
"29",1992-05-01,"CUSR0000SAS2RS",156.6,2023-06-14,2023-06-14
"30",1992-06-01,"CUSR0000SAS2RS",157.3,2023-06-14,2023-06-14
"31",1992-07-01,"CUSR0000SAS2RS",157.5,2023-06-14,2023-06-14
"32",1992-08-01,"CUSR0000SAS2RS",157.9,2023-06-14,2023-06-14
"33",1992-09-01,"CUSR0000SAS2RS",157.9,2023-06-14,2023-06-14
"34",1992-10-01,"CUSR0000SAS2RS",158.7,2023-06-14,2023-06-14
"35",1992-11-01,"CUSR0000SAS2RS",159.1,2023-06-14,2023-06-14
"36",1992-12-01,"CUSR0000SAS2RS",159.4,2023-06-14,2023-06-14
"37",1993-01-01,"CUSR0000SAS2RS",159.9,2023-06-14,2023-06-14
"38",1993-02-01,"CUSR0000SAS2RS",160.3,2023-06-14,2023-06-14
"39",1993-03-01,"CUSR0000SAS2RS",160.5,2023-06-14,2023-06-14
"40",1993-04-01,"CUSR0000SAS2RS",161.2,2023-06-14,2023-06-14
"41",1993-05-01,"CUSR0000SAS2RS",161.6,2023-06-14,2023-06-14
"42",1993-06-01,"CUSR0000SAS2RS",162.1,2023-06-14,2023-06-14
"43",1993-07-01,"CUSR0000SAS2RS",162.2,2023-06-14,2023-06-14
"44",1993-08-01,"CUSR0000SAS2RS",162.5,2023-06-14,2023-06-14
"45",1993-09-01,"CUSR0000SAS2RS",162.9,2023-06-14,2023-06-14
"46",1993-10-01,"CUSR0000SAS2RS",163.2,2023-06-14,2023-06-14
"47",1993-11-01,"CUSR0000SAS2RS",163.6,2023-06-14,2023-06-14
"48",1993-12-01,"CUSR0000SAS2RS",164.3,2023-06-14,2023-06-14
"49",1994-01-01,"CUSR0000SAS2RS",164.6,2023-06-14,2023-06-14
"50",1994-02-01,"CUSR0000SAS2RS",165.3,2023-06-14,2023-06-14
"51",1994-03-01,"CUSR0000SAS2RS",165.7,2023-06-14,2023-06-14
"52",1994-04-01,"CUSR0000SAS2RS",166,2023-06-14,2023-06-14
"53",1994-05-01,"CUSR0000SAS2RS",166.3,2023-06-14,2023-06-14
"54",1994-06-01,"CUSR0000SAS2RS",166.6,2023-06-14,2023-06-14
"55",1994-07-01,"CUSR0000SAS2RS",166.9,2023-06-14,2023-06-14
"56",1994-08-01,"CUSR0000SAS2RS",167.7,2023-06-14,2023-06-14
"57",1994-09-01,"CUSR0000SAS2RS",168.2,2023-06-14,2023-06-14
"58",1994-10-01,"CUSR0000SAS2RS",168.7,2023-06-14,2023-06-14
"59",1994-11-01,"CUSR0000SAS2RS",169.1,2023-06-14,2023-06-14
"60",1994-12-01,"CUSR0000SAS2RS",169.2,2023-06-14,2023-06-14
"61",1995-01-01,"CUSR0000SAS2RS",169.6,2023-06-14,2023-06-14
"62",1995-02-01,"CUSR0000SAS2RS",170.1,2023-06-14,2023-06-14
"63",1995-03-01,"CUSR0000SAS2RS",170.6,2023-06-14,2023-06-14
"64",1995-04-01,"CUSR0000SAS2RS",171.2,2023-06-14,2023-06-14
"65",1995-05-01,"CUSR0000SAS2RS",171.8,2023-06-14,2023-06-14
"66",1995-06-01,"CUSR0000SAS2RS",172.2,2023-06-14,2023-06-14
"67",1995-07-01,"CUSR0000SAS2RS",172.8,2023-06-14,2023-06-14
"68",1995-08-01,"CUSR0000SAS2RS",173.1,2023-06-14,2023-06-14
"69",1995-09-01,"CUSR0000SAS2RS",173.6,2023-06-14,2023-06-14
"70",1995-10-01,"CUSR0000SAS2RS",174.2,2023-06-14,2023-06-14
"71",1995-11-01,"CUSR0000SAS2RS",174.6,2023-06-14,2023-06-14
"72",1995-12-01,"CUSR0000SAS2RS",175.1,2023-06-14,2023-06-14
"73",1996-01-01,"CUSR0000SAS2RS",175.7,2023-06-14,2023-06-14
"74",1996-02-01,"CUSR0000SAS2RS",176,2023-06-14,2023-06-14
"75",1996-03-01,"CUSR0000SAS2RS",176.4,2023-06-14,2023-06-14
"76",1996-04-01,"CUSR0000SAS2RS",176.8,2023-06-14,2023-06-14
"77",1996-05-01,"CUSR0000SAS2RS",177.2,2023-06-14,2023-06-14
"78",1996-06-01,"CUSR0000SAS2RS",177.6,2023-06-14,2023-06-14
"79",1996-07-01,"CUSR0000SAS2RS",178.5,2023-06-14,2023-06-14
"80",1996-08-01,"CUSR0000SAS2RS",178.7,2023-06-14,2023-06-14
"81",1996-09-01,"CUSR0000SAS2RS",179,2023-06-14,2023-06-14
"82",1996-10-01,"CUSR0000SAS2RS",179.4,2023-06-14,2023-06-14
"83",1996-11-01,"CUSR0000SAS2RS",179.9,2023-06-14,2023-06-14
"84",1996-12-01,"CUSR0000SAS2RS",180.3,2023-06-14,2023-06-14
"85",1997-01-01,"CUSR0000SAS2RS",180.9,2023-06-14,2023-06-14
"86",1997-02-01,"CUSR0000SAS2RS",181.4,2023-06-14,2023-06-14
"87",1997-03-01,"CUSR0000SAS2RS",181.8,2023-06-14,2023-06-14
"88",1997-04-01,"CUSR0000SAS2RS",182.2,2023-06-14,2023-06-14
"89",1997-05-01,"CUSR0000SAS2RS",182.6,2023-06-14,2023-06-14
"90",1997-06-01,"CUSR0000SAS2RS",183.1,2023-06-14,2023-06-14
"91",1997-07-01,"CUSR0000SAS2RS",183.6,2023-06-14,2023-06-14
"92",1997-08-01,"CUSR0000SAS2RS",184.1,2023-06-14,2023-06-14
"93",1997-09-01,"CUSR0000SAS2RS",184.4,2023-06-14,2023-06-14
"94",1997-10-01,"CUSR0000SAS2RS",185,2023-06-14,2023-06-14
"95",1997-11-01,"CUSR0000SAS2RS",185.5,2023-06-14,2023-06-14
"96",1997-12-01,"CUSR0000SAS2RS",186.3,2023-06-14,2023-06-14
"97",1998-01-01,"CUSR0000SAS2RS",186.7,2023-06-14,2023-06-14
"98",1998-02-01,"CUSR0000SAS2RS",187.3,2023-06-14,2023-06-14
"99",1998-03-01,"CUSR0000SAS2RS",187.6,2023-06-14,2023-06-14
"100",1998-04-01,"CUSR0000SAS2RS",188.2,2023-06-14,2023-06-14
"101",1998-05-01,"CUSR0000SAS2RS",188.8,2023-06-14,2023-06-14
"102",1998-06-01,"CUSR0000SAS2RS",189.2,2023-06-14,2023-06-14
"103",1998-07-01,"CUSR0000SAS2RS",189.6,2023-06-14,2023-06-14
