"","date","series_id","value","realtime_start","realtime_end"
"1",1985-01-01,"CUSR0000SASL2RS",111.3,2023-06-14,2023-06-14
"2",1985-02-01,"CUSR0000SASL2RS",111.4,2023-06-14,2023-06-14
"3",1985-03-01,"CUSR0000SASL2RS",112.2,2023-06-14,2023-06-14
"4",1985-04-01,"CUSR0000SASL2RS",112.6,2023-06-14,2023-06-14
"5",1985-05-01,"CUSR0000SASL2RS",113,2023-06-14,2023-06-14
"6",1985-06-01,"CUSR0000SASL2RS",113.4,2023-06-14,2023-06-14
"7",1985-07-01,"CUSR0000SASL2RS",113.8,2023-06-14,2023-06-14
"8",1985-08-01,"CUSR0000SASL2RS",114.1,2023-06-14,2023-06-14
"9",1985-09-01,"CUSR0000SASL2RS",114.5,2023-06-14,2023-06-14
"10",1985-10-01,"CUSR0000SASL2RS",114.9,2023-06-14,2023-06-14
"11",1985-11-01,"CUSR0000SASL2RS",115.4,2023-06-14,2023-06-14
"12",1985-12-01,"CUSR0000SASL2RS",115.8,2023-06-14,2023-06-14
"13",1986-01-01,"CUSR0000SASL2RS",116.4,2023-06-14,2023-06-14
"14",1986-02-01,"CUSR0000SASL2RS",116.9,2023-06-14,2023-06-14
"15",1986-03-01,"CUSR0000SASL2RS",117.4,2023-06-14,2023-06-14
"16",1986-04-01,"CUSR0000SASL2RS",117.8,2023-06-14,2023-06-14
"17",1986-05-01,"CUSR0000SASL2RS",118,2023-06-14,2023-06-14
"18",1986-06-01,"CUSR0000SASL2RS",118.8,2023-06-14,2023-06-14
"19",1986-07-01,"CUSR0000SASL2RS",119.1,2023-06-14,2023-06-14
"20",1986-08-01,"CUSR0000SASL2RS",119.4,2023-06-14,2023-06-14
"21",1986-09-01,"CUSR0000SASL2RS",119.7,2023-06-14,2023-06-14
"22",1986-10-01,"CUSR0000SASL2RS",119.9,2023-06-14,2023-06-14
"23",1986-11-01,"CUSR0000SASL2RS",120.2,2023-06-14,2023-06-14
"24",1986-12-01,"CUSR0000SASL2RS",120.6,2023-06-14,2023-06-14
"25",1987-01-01,"CUSR0000SASL2RS",121,2023-06-14,2023-06-14
"26",1987-02-01,"CUSR0000SASL2RS",121.2,2023-06-14,2023-06-14
"27",1987-03-01,"CUSR0000SASL2RS",121.6,2023-06-14,2023-06-14
"28",1987-04-01,"CUSR0000SASL2RS",122,2023-06-14,2023-06-14
"29",1987-05-01,"CUSR0000SASL2RS",122.4,2023-06-14,2023-06-14
"30",1987-06-01,"CUSR0000SASL2RS",122.8,2023-06-14,2023-06-14
"31",1987-07-01,"CUSR0000SASL2RS",123.3,2023-06-14,2023-06-14
"32",1987-08-01,"CUSR0000SASL2RS",123.8,2023-06-14,2023-06-14
"33",1987-09-01,"CUSR0000SASL2RS",124.3,2023-06-14,2023-06-14
"34",1987-10-01,"CUSR0000SASL2RS",124.5,2023-06-14,2023-06-14
"35",1987-11-01,"CUSR0000SASL2RS",124.9,2023-06-14,2023-06-14
"36",1987-12-01,"CUSR0000SASL2RS",125.1,2023-06-14,2023-06-14
"37",1988-01-01,"CUSR0000SASL2RS",125.4,2023-06-14,2023-06-14
"38",1988-02-01,"CUSR0000SASL2RS",125.9,2023-06-14,2023-06-14
"39",1988-03-01,"CUSR0000SASL2RS",126.2,2023-06-14,2023-06-14
"40",1988-04-01,"CUSR0000SASL2RS",126.8,2023-06-14,2023-06-14
"41",1988-05-01,"CUSR0000SASL2RS",127.4,2023-06-14,2023-06-14
"42",1988-06-01,"CUSR0000SASL2RS",128,2023-06-14,2023-06-14
"43",1988-07-01,"CUSR0000SASL2RS",128.5,2023-06-14,2023-06-14
"44",1988-08-01,"CUSR0000SASL2RS",129.1,2023-06-14,2023-06-14
"45",1988-09-01,"CUSR0000SASL2RS",129.8,2023-06-14,2023-06-14
"46",1988-10-01,"CUSR0000SASL2RS",130.4,2023-06-14,2023-06-14
"47",1988-11-01,"CUSR0000SASL2RS",130.9,2023-06-14,2023-06-14
"48",1988-12-01,"CUSR0000SASL2RS",131.6,2023-06-14,2023-06-14
"49",1989-01-01,"CUSR0000SASL2RS",132.1,2023-06-14,2023-06-14
"50",1989-02-01,"CUSR0000SASL2RS",132.6,2023-06-14,2023-06-14
"51",1989-03-01,"CUSR0000SASL2RS",133.2,2023-06-14,2023-06-14
"52",1989-04-01,"CUSR0000SASL2RS",133.8,2023-06-14,2023-06-14
"53",1989-05-01,"CUSR0000SASL2RS",134.3,2023-06-14,2023-06-14
"54",1989-06-01,"CUSR0000SASL2RS",134.9,2023-06-14,2023-06-14
"55",1989-07-01,"CUSR0000SASL2RS",135.5,2023-06-14,2023-06-14
"56",1989-08-01,"CUSR0000SASL2RS",136.1,2023-06-14,2023-06-14
"57",1989-09-01,"CUSR0000SASL2RS",136.5,2023-06-14,2023-06-14
"58",1989-10-01,"CUSR0000SASL2RS",136.9,2023-06-14,2023-06-14
"59",1989-11-01,"CUSR0000SASL2RS",137.5,2023-06-14,2023-06-14
"60",1989-12-01,"CUSR0000SASL2RS",138.2,2023-06-14,2023-06-14
"61",1990-01-01,"CUSR0000SASL2RS",138.9,2023-06-14,2023-06-14
"62",1990-02-01,"CUSR0000SASL2RS",139.7,2023-06-14,2023-06-14
"63",1990-03-01,"CUSR0000SASL2RS",140.3,2023-06-14,2023-06-14
"64",1990-04-01,"CUSR0000SASL2RS",140.9,2023-06-14,2023-06-14
"65",1990-05-01,"CUSR0000SASL2RS",141.6,2023-06-14,2023-06-14
"66",1990-06-01,"CUSR0000SASL2RS",142.3,2023-06-14,2023-06-14
"67",1990-07-01,"CUSR0000SASL2RS",142.8,2023-06-14,2023-06-14
"68",1990-08-01,"CUSR0000SASL2RS",143.7,2023-06-14,2023-06-14
