"","date","series_id","value","realtime_start","realtime_end"
"1",2006-01-01,"CUSR0000SEEE",13,2023-06-14,2023-06-14
"2",2006-02-01,"CUSR0000SEEE",12.9,2023-06-14,2023-06-14
"3",2006-03-01,"CUSR0000SEEE",12.9,2023-06-14,2023-06-14
"4",2006-04-01,"CUSR0000SEEE",12.8,2023-06-14,2023-06-14
"5",2006-05-01,"CUSR0000SEEE",12.7,2023-06-14,2023-06-14
"6",2006-06-01,"CUSR0000SEEE",12.7,2023-06-14,2023-06-14
"7",2006-07-01,"CUSR0000SEEE",12.7,2023-06-14,2023-06-14
"8",2006-08-01,"CUSR0000SEEE",12.5,2023-06-14,2023-06-14
"9",2006-09-01,"CUSR0000SEEE",12.3,2023-06-14,2023-06-14
"10",2006-10-01,"CUSR0000SEEE",11.9,2023-06-14,2023-06-14
"11",2006-11-01,"CUSR0000SEEE",11.5,2023-06-14,2023-06-14
"12",2006-12-01,"CUSR0000SEEE",11.2,2023-06-14,2023-06-14
"13",2007-01-01,"CUSR0000SEEE",10.878,2023-06-14,2023-06-14
"14",2007-02-01,"CUSR0000SEEE",10.836,2023-06-14,2023-06-14
"15",2007-03-01,"CUSR0000SEEE",10.816,2023-06-14,2023-06-14
"16",2007-04-01,"CUSR0000SEEE",10.819,2023-06-14,2023-06-14
"17",2007-05-01,"CUSR0000SEEE",10.769,2023-06-14,2023-06-14
"18",2007-06-01,"CUSR0000SEEE",10.612,2023-06-14,2023-06-14
"19",2007-07-01,"CUSR0000SEEE",10.539,2023-06-14,2023-06-14
"20",2007-08-01,"CUSR0000SEEE",10.502,2023-06-14,2023-06-14
"21",2007-09-01,"CUSR0000SEEE",10.502,2023-06-14,2023-06-14
"22",2007-10-01,"CUSR0000SEEE",10.403,2023-06-14,2023-06-14
"23",2007-11-01,"CUSR0000SEEE",10.232,2023-06-14,2023-06-14
"24",2007-12-01,"CUSR0000SEEE",10.247,2023-06-14,2023-06-14
"25",2008-01-01,"CUSR0000SEEE",10.215,2023-06-14,2023-06-14
"26",2008-02-01,"CUSR0000SEEE",10.229,2023-06-14,2023-06-14
"27",2008-03-01,"CUSR0000SEEE",10.204,2023-06-14,2023-06-14
"28",2008-04-01,"CUSR0000SEEE",10.118,2023-06-14,2023-06-14
"29",2008-05-01,"CUSR0000SEEE",10.1,2023-06-14,2023-06-14
"30",2008-06-01,"CUSR0000SEEE",10.085,2023-06-14,2023-06-14
"31",2008-07-01,"CUSR0000SEEE",10.094,2023-06-14,2023-06-14
