"","date","series_id","value","realtime_start","realtime_end"
"1",2003-01-01,"CUSR0000SEFP01",145.3,2023-06-14,2023-06-14
"2",2003-02-01,"CUSR0000SEFP01",143.8,2023-06-14,2023-06-14
"3",2003-03-01,"CUSR0000SEFP01",144.4,2023-06-14,2023-06-14
"4",2003-04-01,"CUSR0000SEFP01",145.5,2023-06-14,2023-06-14
"5",2003-05-01,"CUSR0000SEFP01",144.6,2023-06-14,2023-06-14
"6",2003-06-01,"CUSR0000SEFP01",145.7,2023-06-14,2023-06-14
"7",2003-07-01,"CUSR0000SEFP01",145.2,2023-06-14,2023-06-14
"8",2003-08-01,"CUSR0000SEFP01",145.6,2023-06-14,2023-06-14
"9",2003-09-01,"CUSR0000SEFP01",145.6,2023-06-14,2023-06-14
"10",2003-10-01,"CUSR0000SEFP01",144.4,2023-06-14,2023-06-14
"11",2003-11-01,"CUSR0000SEFP01",144.1,2023-06-14,2023-06-14
"12",2003-12-01,"CUSR0000SEFP01",145.2,2023-06-14,2023-06-14
"13",2004-01-01,"CUSR0000SEFP01",144.2,2023-06-14,2023-06-14
"14",2004-02-01,"CUSR0000SEFP01",145.7,2023-06-14,2023-06-14
"15",2004-03-01,"CUSR0000SEFP01",145.2,2023-06-14,2023-06-14
"16",2004-04-01,"CUSR0000SEFP01",144.8,2023-06-14,2023-06-14
"17",2004-05-01,"CUSR0000SEFP01",144.4,2023-06-14,2023-06-14
"18",2004-06-01,"CUSR0000SEFP01",142.3,2023-06-14,2023-06-14
"19",2004-07-01,"CUSR0000SEFP01",145,2023-06-14,2023-06-14
"20",2004-08-01,"CUSR0000SEFP01",145.5,2023-06-14,2023-06-14
"21",2004-09-01,"CUSR0000SEFP01",146.3,2023-06-14,2023-06-14
"22",2004-10-01,"CUSR0000SEFP01",146.1,2023-06-14,2023-06-14
"23",2004-11-01,"CUSR0000SEFP01",146.8,2023-06-14,2023-06-14
"24",2004-12-01,"CUSR0000SEFP01",147.8,2023-06-14,2023-06-14
"25",2005-01-01,"CUSR0000SEFP01",151.7,2023-06-14,2023-06-14
"26",2005-02-01,"CUSR0000SEFP01",153.8,2023-06-14,2023-06-14
"27",2005-03-01,"CUSR0000SEFP01",153.5,2023-06-14,2023-06-14
"28",2005-04-01,"CUSR0000SEFP01",160.6,2023-06-14,2023-06-14
"29",2005-05-01,"CUSR0000SEFP01",161.6,2023-06-14,2023-06-14
"30",2005-06-01,"CUSR0000SEFP01",164.4,2023-06-14,2023-06-14
"31",2005-07-01,"CUSR0000SEFP01",163.7,2023-06-14,2023-06-14
"32",2005-08-01,"CUSR0000SEFP01",164.4,2023-06-14,2023-06-14
"33",2005-09-01,"CUSR0000SEFP01",163.5,2023-06-14,2023-06-14
"34",2005-10-01,"CUSR0000SEFP01",165.2,2023-06-14,2023-06-14
"35",2005-11-01,"CUSR0000SEFP01",167.3,2023-06-14,2023-06-14
"36",2005-12-01,"CUSR0000SEFP01",165.2,2023-06-14,2023-06-14
"37",2006-01-01,"CUSR0000SEFP01",163.5,2023-06-14,2023-06-14
"38",2006-02-01,"CUSR0000SEFP01",164.2,2023-06-14,2023-06-14
"39",2006-03-01,"CUSR0000SEFP01",165.8,2023-06-14,2023-06-14
"40",2006-04-01,"CUSR0000SEFP01",165.4,2023-06-14,2023-06-14
"41",2006-05-01,"CUSR0000SEFP01",166.9,2023-06-14,2023-06-14
"42",2006-06-01,"CUSR0000SEFP01",164.6,2023-06-14,2023-06-14
"43",2006-07-01,"CUSR0000SEFP01",163.1,2023-06-14,2023-06-14
"44",2006-08-01,"CUSR0000SEFP01",163.9,2023-06-14,2023-06-14
"45",2006-09-01,"CUSR0000SEFP01",164.8,2023-06-14,2023-06-14
"46",2006-10-01,"CUSR0000SEFP01",165.8,2023-06-14,2023-06-14
"47",2006-11-01,"CUSR0000SEFP01",166.5,2023-06-14,2023-06-14
"48",2006-12-01,"CUSR0000SEFP01",169,2023-06-14,2023-06-14
"49",2007-01-01,"CUSR0000SEFP01",170.832,2023-06-14,2023-06-14
"50",2007-02-01,"CUSR0000SEFP01",173.934,2023-06-14,2023-06-14
"51",2007-03-01,"CUSR0000SEFP01",173.131,2023-06-14,2023-06-14
"52",2007-04-01,"CUSR0000SEFP01",173.701,2023-06-14,2023-06-14
"53",2007-05-01,"CUSR0000SEFP01",175.333,2023-06-14,2023-06-14
"54",2007-06-01,"CUSR0000SEFP01",175.596,2023-06-14,2023-06-14
"55",2007-07-01,"CUSR0000SEFP01",177.548,2023-06-14,2023-06-14
"56",2007-08-01,"CUSR0000SEFP01",178.011,2023-06-14,2023-06-14
"57",2007-09-01,"CUSR0000SEFP01",176.138,2023-06-14,2023-06-14
"58",2007-10-01,"CUSR0000SEFP01",176.963,2023-06-14,2023-06-14
"59",2007-11-01,"CUSR0000SEFP01",177.903,2023-06-14,2023-06-14
"60",2007-12-01,"CUSR0000SEFP01",178.735,2023-06-14,2023-06-14
"61",2008-01-01,"CUSR0000SEFP01",179.614,2023-06-14,2023-06-14
"62",2008-02-01,"CUSR0000SEFP01",178.849,2023-06-14,2023-06-14
"63",2008-03-01,"CUSR0000SEFP01",181.808,2023-06-14,2023-06-14
"64",2008-04-01,"CUSR0000SEFP01",189.182,2023-06-14,2023-06-14
"65",2008-05-01,"CUSR0000SEFP01",189.867,2023-06-14,2023-06-14
"66",2008-06-01,"CUSR0000SEFP01",189.818,2023-06-14,2023-06-14
"67",2008-07-01,"CUSR0000SEFP01",191.177,2023-06-14,2023-06-14
"68",2008-08-01,"CUSR0000SEFP01",191.224,2023-06-14,2023-06-14
"69",2008-09-01,"CUSR0000SEFP01",192.424,2023-06-14,2023-06-14
"70",2008-10-01,"CUSR0000SEFP01",191.859,2023-06-14,2023-06-14
"71",2008-11-01,"CUSR0000SEFP01",190.222,2023-06-14,2023-06-14
"72",2008-12-01,"CUSR0000SEFP01",190.038,2023-06-14,2023-06-14
"73",2009-01-01,"CUSR0000SEFP01",187.612,2023-06-14,2023-06-14
"74",2009-02-01,"CUSR0000SEFP01",187.771,2023-06-14,2023-06-14
"75",2009-03-01,"CUSR0000SEFP01",186.39,2023-06-14,2023-06-14
"76",2009-04-01,"CUSR0000SEFP01",185.481,2023-06-14,2023-06-14
"77",2009-05-01,"CUSR0000SEFP01",184.424,2023-06-14,2023-06-14
"78",2009-06-01,"CUSR0000SEFP01",186.652,2023-06-14,2023-06-14
"79",2009-07-01,"CUSR0000SEFP01",186.055,2023-06-14,2023-06-14
"80",2009-08-01,"CUSR0000SEFP01",187.143,2023-06-14,2023-06-14
"81",2009-09-01,"CUSR0000SEFP01",187.795,2023-06-14,2023-06-14
"82",2009-10-01,"CUSR0000SEFP01",186.433,2023-06-14,2023-06-14
"83",2009-11-01,"CUSR0000SEFP01",185.669,2023-06-14,2023-06-14
"84",2009-12-01,"CUSR0000SEFP01",184.224,2023-06-14,2023-06-14
"85",2010-01-01,"CUSR0000SEFP01",185.216,2023-06-14,2023-06-14
"86",2010-02-01,"CUSR0000SEFP01",184.73,2023-06-14,2023-06-14
"87",2010-03-01,"CUSR0000SEFP01",183.704,2023-06-14,2023-06-14
"88",2010-04-01,"CUSR0000SEFP01",183.509,2023-06-14,2023-06-14
"89",2010-05-01,"CUSR0000SEFP01",183.325,2023-06-14,2023-06-14
"90",2010-06-01,"CUSR0000SEFP01",183.914,2023-06-14,2023-06-14
"91",2010-07-01,"CUSR0000SEFP01",182.975,2023-06-14,2023-06-14
"92",2010-08-01,"CUSR0000SEFP01",186.096,2023-06-14,2023-06-14
"93",2010-09-01,"CUSR0000SEFP01",190.494,2023-06-14,2023-06-14
"94",2010-10-01,"CUSR0000SEFP01",192.093,2023-06-14,2023-06-14
"95",2010-11-01,"CUSR0000SEFP01",192.519,2023-06-14,2023-06-14
"96",2010-12-01,"CUSR0000SEFP01",188.679,2023-06-14,2023-06-14
"97",2011-01-01,"CUSR0000SEFP01",193.825,2023-06-14,2023-06-14
"98",2011-02-01,"CUSR0000SEFP01",194.494,2023-06-14,2023-06-14
"99",2011-03-01,"CUSR0000SEFP01",201.2,2023-06-14,2023-06-14
"100",2011-04-01,"CUSR0000SEFP01",209.01,2023-06-14,2023-06-14
"101",2011-05-01,"CUSR0000SEFP01",212.938,2023-06-14,2023-06-14
"102",2011-06-01,"CUSR0000SEFP01",217.118,2023-06-14,2023-06-14
"103",2011-07-01,"CUSR0000SEFP01",221.841,2023-06-14,2023-06-14
"104",2011-08-01,"CUSR0000SEFP01",223.444,2023-06-14,2023-06-14
"105",2011-09-01,"CUSR0000SEFP01",221.485,2023-06-14,2023-06-14
"106",2011-10-01,"CUSR0000SEFP01",222.399,2023-06-14,2023-06-14
"107",2011-11-01,"CUSR0000SEFP01",224.707,2023-06-14,2023-06-14
"108",2011-12-01,"CUSR0000SEFP01",223.709,2023-06-14,2023-06-14
"109",2012-01-01,"CUSR0000SEFP01",223.284,2023-06-14,2023-06-14
"110",2012-02-01,"CUSR0000SEFP01",221.591,2023-06-14,2023-06-14
"111",2012-03-01,"CUSR0000SEFP01",220.653,2023-06-14,2023-06-14
"112",2012-04-01,"CUSR0000SEFP01",220.758,2023-06-14,2023-06-14
"113",2012-05-01,"CUSR0000SEFP01",218.626,2023-06-14,2023-06-14
"114",2012-06-01,"CUSR0000SEFP01",216.898,2023-06-14,2023-06-14
"115",2012-07-01,"CUSR0000SEFP01",215.79,2023-06-14,2023-06-14
"116",2012-08-01,"CUSR0000SEFP01",215.396,2023-06-14,2023-06-14
"117",2012-09-01,"CUSR0000SEFP01",214.924,2023-06-14,2023-06-14
"118",2012-10-01,"CUSR0000SEFP01",213.988,2023-06-14,2023-06-14
"119",2012-11-01,"CUSR0000SEFP01",213.159,2023-06-14,2023-06-14
"120",2012-12-01,"CUSR0000SEFP01",213.91,2023-06-14,2023-06-14
"121",2013-01-01,"CUSR0000SEFP01",212.082,2023-06-14,2023-06-14
"122",2013-02-01,"CUSR0000SEFP01",212.289,2023-06-14,2023-06-14
"123",2013-03-01,"CUSR0000SEFP01",209.945,2023-06-14,2023-06-14
"124",2013-04-01,"CUSR0000SEFP01",206.505,2023-06-14,2023-06-14
"125",2013-05-01,"CUSR0000SEFP01",206.163,2023-06-14,2023-06-14
"126",2013-06-01,"CUSR0000SEFP01",205.128,2023-06-14,2023-06-14
"127",2013-07-01,"CUSR0000SEFP01",205.044,2023-06-14,2023-06-14
"128",2013-08-01,"CUSR0000SEFP01",200.821,2023-06-14,2023-06-14
"129",2013-09-01,"CUSR0000SEFP01",200.266,2023-06-14,2023-06-14
"130",2013-10-01,"CUSR0000SEFP01",200.216,2023-06-14,2023-06-14
"131",2013-11-01,"CUSR0000SEFP01",200.068,2023-06-14,2023-06-14
"132",2013-12-01,"CUSR0000SEFP01",197.828,2023-06-14,2023-06-14
"133",2014-01-01,"CUSR0000SEFP01",196.557,2023-06-14,2023-06-14
"134",2014-02-01,"CUSR0000SEFP01",195.805,2023-06-14,2023-06-14
"135",2014-03-01,"CUSR0000SEFP01",197.648,2023-06-14,2023-06-14
"136",2014-04-01,"CUSR0000SEFP01",197.192,2023-06-14,2023-06-14
"137",2014-05-01,"CUSR0000SEFP01",197.848,2023-06-14,2023-06-14
"138",2014-06-01,"CUSR0000SEFP01",199.389,2023-06-14,2023-06-14
"139",2014-07-01,"CUSR0000SEFP01",201.143,2023-06-14,2023-06-14
"140",2014-08-01,"CUSR0000SEFP01",204.418,2023-06-14,2023-06-14
"141",2014-09-01,"CUSR0000SEFP01",205.056,2023-06-14,2023-06-14
"142",2014-10-01,"CUSR0000SEFP01",204.966,2023-06-14,2023-06-14
"143",2014-11-01,"CUSR0000SEFP01",206.215,2023-06-14,2023-06-14
"144",2014-12-01,"CUSR0000SEFP01",205.744,2023-06-14,2023-06-14
"145",2015-01-01,"CUSR0000SEFP01",208.35,2023-06-14,2023-06-14
"146",2015-02-01,"CUSR0000SEFP01",207.385,2023-06-14,2023-06-14
"147",2015-03-01,"CUSR0000SEFP01",206.93,2023-06-14,2023-06-14
"148",2015-04-01,"CUSR0000SEFP01",208.786,2023-06-14,2023-06-14
"149",2015-05-01,"CUSR0000SEFP01",206.467,2023-06-14,2023-06-14
"150",2015-06-01,"CUSR0000SEFP01",204.484,2023-06-14,2023-06-14
"151",2015-07-01,"CUSR0000SEFP01",206.821,2023-06-14,2023-06-14
"152",2015-08-01,"CUSR0000SEFP01",205.349,2023-06-14,2023-06-14
"153",2015-09-01,"CUSR0000SEFP01",204.051,2023-06-14,2023-06-14
"154",2015-10-01,"CUSR0000SEFP01",203.45,2023-06-14,2023-06-14
"155",2015-11-01,"CUSR0000SEFP01",201.762,2023-06-14,2023-06-14
"156",2015-12-01,"CUSR0000SEFP01",202.492,2023-06-14,2023-06-14
"157",2016-01-01,"CUSR0000SEFP01",202.882,2023-06-14,2023-06-14
"158",2016-02-01,"CUSR0000SEFP01",201.77,2023-06-14,2023-06-14
"159",2016-03-01,"CUSR0000SEFP01",200.018,2023-06-14,2023-06-14
"160",2016-04-01,"CUSR0000SEFP01",199.833,2023-06-14,2023-06-14
"161",2016-05-01,"CUSR0000SEFP01",200.845,2023-06-14,2023-06-14
"162",2016-06-01,"CUSR0000SEFP01",199.67,2023-06-14,2023-06-14
"163",2016-07-01,"CUSR0000SEFP01",198.417,2023-06-14,2023-06-14
"164",2016-08-01,"CUSR0000SEFP01",197.46,2023-06-14,2023-06-14
"165",2016-09-01,"CUSR0000SEFP01",198.135,2023-06-14,2023-06-14
"166",2016-10-01,"CUSR0000SEFP01",197.531,2023-06-14,2023-06-14
"167",2016-11-01,"CUSR0000SEFP01",198.789,2023-06-14,2023-06-14
"168",2016-12-01,"CUSR0000SEFP01",196.176,2023-06-14,2023-06-14
"169",2017-01-01,"CUSR0000SEFP01",197.897,2023-06-14,2023-06-14
"170",2017-02-01,"CUSR0000SEFP01",200.139,2023-06-14,2023-06-14
"171",2017-03-01,"CUSR0000SEFP01",199.723,2023-06-14,2023-06-14
"172",2017-04-01,"CUSR0000SEFP01",200.831,2023-06-14,2023-06-14
"173",2017-05-01,"CUSR0000SEFP01",202.335,2023-06-14,2023-06-14
"174",2017-06-01,"CUSR0000SEFP01",199.627,2023-06-14,2023-06-14
"175",2017-07-01,"CUSR0000SEFP01",199.212,2023-06-14,2023-06-14
"176",2017-08-01,"CUSR0000SEFP01",196.051,2023-06-14,2023-06-14
"177",2017-09-01,"CUSR0000SEFP01",198.913,2023-06-14,2023-06-14
"178",2017-10-01,"CUSR0000SEFP01",198.472,2023-06-14,2023-06-14
