"","date","series_id","value","realtime_start","realtime_end"
"1",1986-01-01,"CUSR0000SEGA",121.2,2023-06-14,2023-06-14
"2",1986-02-01,"CUSR0000SEGA",121.8,2023-06-14,2023-06-14
"3",1986-03-01,"CUSR0000SEGA",122.4,2023-06-14,2023-06-14
"4",1986-04-01,"CUSR0000SEGA",123.2,2023-06-14,2023-06-14
"5",1986-05-01,"CUSR0000SEGA",123.7,2023-06-14,2023-06-14
"6",1986-06-01,"CUSR0000SEGA",124,2023-06-14,2023-06-14
"7",1986-07-01,"CUSR0000SEGA",125,2023-06-14,2023-06-14
"8",1986-08-01,"CUSR0000SEGA",125.8,2023-06-14,2023-06-14
"9",1986-09-01,"CUSR0000SEGA",126.6,2023-06-14,2023-06-14
"10",1986-10-01,"CUSR0000SEGA",127.1,2023-06-14,2023-06-14
"11",1986-11-01,"CUSR0000SEGA",127.7,2023-06-14,2023-06-14
"12",1986-12-01,"CUSR0000SEGA",128.3,2023-06-14,2023-06-14
"13",1987-01-01,"CUSR0000SEGA",129,2023-06-14,2023-06-14
"14",1987-02-01,"CUSR0000SEGA",130,2023-06-14,2023-06-14
"15",1987-03-01,"CUSR0000SEGA",130.9,2023-06-14,2023-06-14
"16",1987-04-01,"CUSR0000SEGA",131.7,2023-06-14,2023-06-14
"17",1987-05-01,"CUSR0000SEGA",132.4,2023-06-14,2023-06-14
"18",1987-06-01,"CUSR0000SEGA",133,2023-06-14,2023-06-14
"19",1987-07-01,"CUSR0000SEGA",134,2023-06-14,2023-06-14
"20",1987-08-01,"CUSR0000SEGA",134.6,2023-06-14,2023-06-14
"21",1987-09-01,"CUSR0000SEGA",135.8,2023-06-14,2023-06-14
"22",1987-10-01,"CUSR0000SEGA",136.6,2023-06-14,2023-06-14
"23",1987-11-01,"CUSR0000SEGA",137.4,2023-06-14,2023-06-14
"24",1987-12-01,"CUSR0000SEGA",138.3,2023-06-14,2023-06-14
"25",1988-01-01,"CUSR0000SEGA",140.1,2023-06-14,2023-06-14
"26",1988-02-01,"CUSR0000SEGA",141.4,2023-06-14,2023-06-14
"27",1988-03-01,"CUSR0000SEGA",142.3,2023-06-14,2023-06-14
"28",1988-04-01,"CUSR0000SEGA",143,2023-06-14,2023-06-14
"29",1988-05-01,"CUSR0000SEGA",143.8,2023-06-14,2023-06-14
"30",1988-06-01,"CUSR0000SEGA",144.2,2023-06-14,2023-06-14
"31",1988-07-01,"CUSR0000SEGA",146.4,2023-06-14,2023-06-14
"32",1988-08-01,"CUSR0000SEGA",148,2023-06-14,2023-06-14
"33",1988-09-01,"CUSR0000SEGA",148.8,2023-06-14,2023-06-14
"34",1988-10-01,"CUSR0000SEGA",149.7,2023-06-14,2023-06-14
"35",1988-11-01,"CUSR0000SEGA",150.7,2023-06-14,2023-06-14
"36",1988-12-01,"CUSR0000SEGA",151,2023-06-14,2023-06-14
"37",1989-01-01,"CUSR0000SEGA",156.1,2023-06-14,2023-06-14
"38",1989-02-01,"CUSR0000SEGA",157.4,2023-06-14,2023-06-14
"39",1989-03-01,"CUSR0000SEGA",158.6,2023-06-14,2023-06-14
"40",1989-04-01,"CUSR0000SEGA",159.5,2023-06-14,2023-06-14
"41",1989-05-01,"CUSR0000SEGA",161.3,2023-06-14,2023-06-14
"42",1989-06-01,"CUSR0000SEGA",164.3,2023-06-14,2023-06-14
"43",1989-07-01,"CUSR0000SEGA",166.5,2023-06-14,2023-06-14
"44",1989-08-01,"CUSR0000SEGA",168.1,2023-06-14,2023-06-14
"45",1989-09-01,"CUSR0000SEGA",168.5,2023-06-14,2023-06-14
"46",1989-10-01,"CUSR0000SEGA",169.9,2023-06-14,2023-06-14
"47",1989-11-01,"CUSR0000SEGA",170.4,2023-06-14,2023-06-14
"48",1989-12-01,"CUSR0000SEGA",173.1,2023-06-14,2023-06-14
"49",1990-01-01,"CUSR0000SEGA",173.1,2023-06-14,2023-06-14
"50",1990-02-01,"CUSR0000SEGA",173.7,2023-06-14,2023-06-14
"51",1990-03-01,"CUSR0000SEGA",174.5,2023-06-14,2023-06-14
"52",1990-04-01,"CUSR0000SEGA",175.5,2023-06-14,2023-06-14
"53",1990-05-01,"CUSR0000SEGA",176.4,2023-06-14,2023-06-14
"54",1990-06-01,"CUSR0000SEGA",180.4,2023-06-14,2023-06-14
"55",1990-07-01,"CUSR0000SEGA",184.9,2023-06-14,2023-06-14
"56",1990-08-01,"CUSR0000SEGA",185.4,2023-06-14,2023-06-14
"57",1990-09-01,"CUSR0000SEGA",186.4,2023-06-14,2023-06-14
"58",1990-10-01,"CUSR0000SEGA",187.5,2023-06-14,2023-06-14
"59",1990-11-01,"CUSR0000SEGA",189.4,2023-06-14,2023-06-14
"60",1990-12-01,"CUSR0000SEGA",191.7,2023-06-14,2023-06-14
"61",1991-01-01,"CUSR0000SEGA",194.8,2023-06-14,2023-06-14
"62",1991-02-01,"CUSR0000SEGA",195.5,2023-06-14,2023-06-14
"63",1991-03-01,"CUSR0000SEGA",197.1,2023-06-14,2023-06-14
"64",1991-04-01,"CUSR0000SEGA",199,2023-06-14,2023-06-14
"65",1991-05-01,"CUSR0000SEGA",199,2023-06-14,2023-06-14
"66",1991-06-01,"CUSR0000SEGA",202.6,2023-06-14,2023-06-14
"67",1991-07-01,"CUSR0000SEGA",203,2023-06-14,2023-06-14
"68",1991-08-01,"CUSR0000SEGA",204.5,2023-06-14,2023-06-14
"69",1991-09-01,"CUSR0000SEGA",206.5,2023-06-14,2023-06-14
"70",1991-10-01,"CUSR0000SEGA",207.7,2023-06-14,2023-06-14
