"","date","series_id","value","realtime_start","realtime_end"
"1",2004-01-01,"CUSR0000SEGD03",117.6,2023-06-14,2023-06-14
"2",2004-02-01,"CUSR0000SEGD03",117.8,2023-06-14,2023-06-14
"3",2004-03-01,"CUSR0000SEGD03",118.1,2023-06-14,2023-06-14
"4",2004-04-01,"CUSR0000SEGD03",118.5,2023-06-14,2023-06-14
"5",2004-05-01,"CUSR0000SEGD03",118.6,2023-06-14,2023-06-14
"6",2004-06-01,"CUSR0000SEGD03",118.7,2023-06-14,2023-06-14
"7",2004-07-01,"CUSR0000SEGD03",119,2023-06-14,2023-06-14
"8",2004-08-01,"CUSR0000SEGD03",119.2,2023-06-14,2023-06-14
"9",2004-09-01,"CUSR0000SEGD03",119.6,2023-06-14,2023-06-14
"10",2004-10-01,"CUSR0000SEGD03",120,2023-06-14,2023-06-14
"11",2004-11-01,"CUSR0000SEGD03",120.2,2023-06-14,2023-06-14
"12",2004-12-01,"CUSR0000SEGD03",121,2023-06-14,2023-06-14
"13",2005-01-01,"CUSR0000SEGD03",120.9,2023-06-14,2023-06-14
"14",2005-02-01,"CUSR0000SEGD03",120.9,2023-06-14,2023-06-14
"15",2005-03-01,"CUSR0000SEGD03",121.1,2023-06-14,2023-06-14
"16",2005-04-01,"CUSR0000SEGD03",121.1,2023-06-14,2023-06-14
"17",2005-05-01,"CUSR0000SEGD03",121.2,2023-06-14,2023-06-14
"18",2005-06-01,"CUSR0000SEGD03",121.6,2023-06-14,2023-06-14
"19",2005-07-01,"CUSR0000SEGD03",121.9,2023-06-14,2023-06-14
"20",2005-08-01,"CUSR0000SEGD03",122.1,2023-06-14,2023-06-14
"21",2005-09-01,"CUSR0000SEGD03",122.2,2023-06-14,2023-06-14
"22",2005-10-01,"CUSR0000SEGD03",122.3,2023-06-14,2023-06-14
"23",2005-11-01,"CUSR0000SEGD03",122.6,2023-06-14,2023-06-14
"24",2005-12-01,"CUSR0000SEGD03",123.2,2023-06-14,2023-06-14
"25",2006-01-01,"CUSR0000SEGD03",123.6,2023-06-14,2023-06-14
"26",2006-02-01,"CUSR0000SEGD03",124.2,2023-06-14,2023-06-14
"27",2006-03-01,"CUSR0000SEGD03",124.6,2023-06-14,2023-06-14
"28",2006-04-01,"CUSR0000SEGD03",124.7,2023-06-14,2023-06-14
"29",2006-05-01,"CUSR0000SEGD03",124.7,2023-06-14,2023-06-14
"30",2006-06-01,"CUSR0000SEGD03",125.1,2023-06-14,2023-06-14
"31",2006-07-01,"CUSR0000SEGD03",125.5,2023-06-14,2023-06-14
"32",2006-08-01,"CUSR0000SEGD03",125.9,2023-06-14,2023-06-14
"33",2006-09-01,"CUSR0000SEGD03",126.2,2023-06-14,2023-06-14
"34",2006-10-01,"CUSR0000SEGD03",126.6,2023-06-14,2023-06-14
"35",2006-11-01,"CUSR0000SEGD03",127,2023-06-14,2023-06-14
"36",2006-12-01,"CUSR0000SEGD03",127.3,2023-06-14,2023-06-14
"37",2007-01-01,"CUSR0000SEGD03",127.59,2023-06-14,2023-06-14
"38",2007-02-01,"CUSR0000SEGD03",127.988,2023-06-14,2023-06-14
"39",2007-03-01,"CUSR0000SEGD03",127.279,2023-06-14,2023-06-14
"40",2007-04-01,"CUSR0000SEGD03",129.02,2023-06-14,2023-06-14
"41",2007-05-01,"CUSR0000SEGD03",129.168,2023-06-14,2023-06-14
"42",2007-06-01,"CUSR0000SEGD03",129.34,2023-06-14,2023-06-14
"43",2007-07-01,"CUSR0000SEGD03",129.576,2023-06-14,2023-06-14
