"","date","series_id","value","realtime_start","realtime_end"
"1",1981-01-01,"CUSR0000SEHA",84.7,2023-06-14,2023-06-14
"2",1981-02-01,"CUSR0000SEHA",85.2,2023-06-14,2023-06-14
"3",1981-03-01,"CUSR0000SEHA",85.9,2023-06-14,2023-06-14
"4",1981-04-01,"CUSR0000SEHA",86.5,2023-06-14,2023-06-14
"5",1981-05-01,"CUSR0000SEHA",87.1,2023-06-14,2023-06-14
"6",1981-06-01,"CUSR0000SEHA",87.6,2023-06-14,2023-06-14
"7",1981-07-01,"CUSR0000SEHA",87.9,2023-06-14,2023-06-14
"8",1981-08-01,"CUSR0000SEHA",88.8,2023-06-14,2023-06-14
"9",1981-09-01,"CUSR0000SEHA",89.5,2023-06-14,2023-06-14
"10",1981-10-01,"CUSR0000SEHA",90,2023-06-14,2023-06-14
"11",1981-11-01,"CUSR0000SEHA",90.6,2023-06-14,2023-06-14
"12",1981-12-01,"CUSR0000SEHA",91.3,2023-06-14,2023-06-14
"13",1982-01-01,"CUSR0000SEHA",91.9,2023-06-14,2023-06-14
"14",1982-02-01,"CUSR0000SEHA",92.3,2023-06-14,2023-06-14
"15",1982-03-01,"CUSR0000SEHA",92.9,2023-06-14,2023-06-14
"16",1982-04-01,"CUSR0000SEHA",93.2,2023-06-14,2023-06-14
"17",1982-05-01,"CUSR0000SEHA",93.8,2023-06-14,2023-06-14
"18",1982-06-01,"CUSR0000SEHA",94.3,2023-06-14,2023-06-14
"19",1982-07-01,"CUSR0000SEHA",95,2023-06-14,2023-06-14
"20",1982-08-01,"CUSR0000SEHA",95.5,2023-06-14,2023-06-14
"21",1982-09-01,"CUSR0000SEHA",95.7,2023-06-14,2023-06-14
"22",1982-10-01,"CUSR0000SEHA",96.5,2023-06-14,2023-06-14
"23",1982-11-01,"CUSR0000SEHA",97,2023-06-14,2023-06-14
"24",1982-12-01,"CUSR0000SEHA",97.4,2023-06-14,2023-06-14
"25",1983-01-01,"CUSR0000SEHA",98,2023-06-14,2023-06-14
"26",1983-02-01,"CUSR0000SEHA",98.5,2023-06-14,2023-06-14
"27",1983-03-01,"CUSR0000SEHA",98.8,2023-06-14,2023-06-14
"28",1983-04-01,"CUSR0000SEHA",99.3,2023-06-14,2023-06-14
"29",1983-05-01,"CUSR0000SEHA",99.5,2023-06-14,2023-06-14
"30",1983-06-01,"CUSR0000SEHA",99.9,2023-06-14,2023-06-14
"31",1983-07-01,"CUSR0000SEHA",100.2,2023-06-14,2023-06-14
"32",1983-08-01,"CUSR0000SEHA",100.6,2023-06-14,2023-06-14
"33",1983-09-01,"CUSR0000SEHA",101.1,2023-06-14,2023-06-14
"34",1983-10-01,"CUSR0000SEHA",101.3,2023-06-14,2023-06-14
"35",1983-11-01,"CUSR0000SEHA",101.7,2023-06-14,2023-06-14
"36",1983-12-01,"CUSR0000SEHA",102.1,2023-06-14,2023-06-14
"37",1984-01-01,"CUSR0000SEHA",102.5,2023-06-14,2023-06-14
"38",1984-02-01,"CUSR0000SEHA",102.9,2023-06-14,2023-06-14
"39",1984-03-01,"CUSR0000SEHA",103.5,2023-06-14,2023-06-14
"40",1984-04-01,"CUSR0000SEHA",104.3,2023-06-14,2023-06-14
"41",1984-05-01,"CUSR0000SEHA",104.6,2023-06-14,2023-06-14
"42",1984-06-01,"CUSR0000SEHA",105.1,2023-06-14,2023-06-14
"43",1984-07-01,"CUSR0000SEHA",105.6,2023-06-14,2023-06-14
"44",1984-08-01,"CUSR0000SEHA",106.1,2023-06-14,2023-06-14
"45",1984-09-01,"CUSR0000SEHA",106.5,2023-06-14,2023-06-14
"46",1984-10-01,"CUSR0000SEHA",107,2023-06-14,2023-06-14
"47",1984-11-01,"CUSR0000SEHA",107.4,2023-06-14,2023-06-14
"48",1984-12-01,"CUSR0000SEHA",108.1,2023-06-14,2023-06-14
"49",1985-01-01,"CUSR0000SEHA",108.5,2023-06-14,2023-06-14
"50",1985-02-01,"CUSR0000SEHA",109.2,2023-06-14,2023-06-14
"51",1985-03-01,"CUSR0000SEHA",109.7,2023-06-14,2023-06-14
"52",1985-04-01,"CUSR0000SEHA",110.2,2023-06-14,2023-06-14
"53",1985-05-01,"CUSR0000SEHA",111,2023-06-14,2023-06-14
"54",1985-06-01,"CUSR0000SEHA",111.6,2023-06-14,2023-06-14
"55",1985-07-01,"CUSR0000SEHA",112,2023-06-14,2023-06-14
"56",1985-08-01,"CUSR0000SEHA",112.6,2023-06-14,2023-06-14
"57",1985-09-01,"CUSR0000SEHA",113,2023-06-14,2023-06-14
"58",1985-10-01,"CUSR0000SEHA",113.8,2023-06-14,2023-06-14
"59",1985-11-01,"CUSR0000SEHA",114.6,2023-06-14,2023-06-14
"60",1985-12-01,"CUSR0000SEHA",115,2023-06-14,2023-06-14
"61",1986-01-01,"CUSR0000SEHA",115.4,2023-06-14,2023-06-14
"62",1986-02-01,"CUSR0000SEHA",115.6,2023-06-14,2023-06-14
"63",1986-03-01,"CUSR0000SEHA",116.4,2023-06-14,2023-06-14
"64",1986-04-01,"CUSR0000SEHA",117.6,2023-06-14,2023-06-14
"65",1986-05-01,"CUSR0000SEHA",117.8,2023-06-14,2023-06-14
"66",1986-06-01,"CUSR0000SEHA",118.2,2023-06-14,2023-06-14
"67",1986-07-01,"CUSR0000SEHA",118.9,2023-06-14,2023-06-14
"68",1986-08-01,"CUSR0000SEHA",119,2023-06-14,2023-06-14
"69",1986-09-01,"CUSR0000SEHA",119.4,2023-06-14,2023-06-14
"70",1986-10-01,"CUSR0000SEHA",120,2023-06-14,2023-06-14
"71",1986-11-01,"CUSR0000SEHA",120.4,2023-06-14,2023-06-14
"72",1986-12-01,"CUSR0000SEHA",120.7,2023-06-14,2023-06-14
"73",1987-01-01,"CUSR0000SEHA",121.2,2023-06-14,2023-06-14
"74",1987-02-01,"CUSR0000SEHA",121.6,2023-06-14,2023-06-14
"75",1987-03-01,"CUSR0000SEHA",122,2023-06-14,2023-06-14
"76",1987-04-01,"CUSR0000SEHA",122.2,2023-06-14,2023-06-14
"77",1987-05-01,"CUSR0000SEHA",122.5,2023-06-14,2023-06-14
"78",1987-06-01,"CUSR0000SEHA",122.5,2023-06-14,2023-06-14
"79",1987-07-01,"CUSR0000SEHA",123,2023-06-14,2023-06-14
"80",1987-08-01,"CUSR0000SEHA",123.8,2023-06-14,2023-06-14
"81",1987-09-01,"CUSR0000SEHA",124.2,2023-06-14,2023-06-14
"82",1987-10-01,"CUSR0000SEHA",124.6,2023-06-14,2023-06-14
"83",1987-11-01,"CUSR0000SEHA",124.6,2023-06-14,2023-06-14
"84",1987-12-01,"CUSR0000SEHA",125.5,2023-06-14,2023-06-14
"85",1988-01-01,"CUSR0000SEHA",125.9,2023-06-14,2023-06-14
"86",1988-02-01,"CUSR0000SEHA",126.2,2023-06-14,2023-06-14
"87",1988-03-01,"CUSR0000SEHA",126.6,2023-06-14,2023-06-14
"88",1988-04-01,"CUSR0000SEHA",126.9,2023-06-14,2023-06-14
"89",1988-05-01,"CUSR0000SEHA",127.2,2023-06-14,2023-06-14
"90",1988-06-01,"CUSR0000SEHA",127.6,2023-06-14,2023-06-14
"91",1988-07-01,"CUSR0000SEHA",127.9,2023-06-14,2023-06-14
"92",1988-08-01,"CUSR0000SEHA",128.4,2023-06-14,2023-06-14
"93",1988-09-01,"CUSR0000SEHA",128.9,2023-06-14,2023-06-14
"94",1988-10-01,"CUSR0000SEHA",129.1,2023-06-14,2023-06-14
"95",1988-11-01,"CUSR0000SEHA",129.5,2023-06-14,2023-06-14
"96",1988-12-01,"CUSR0000SEHA",129.9,2023-06-14,2023-06-14
"97",1989-01-01,"CUSR0000SEHA",130.4,2023-06-14,2023-06-14
"98",1989-02-01,"CUSR0000SEHA",130.9,2023-06-14,2023-06-14
"99",1989-03-01,"CUSR0000SEHA",131.2,2023-06-14,2023-06-14
"100",1989-04-01,"CUSR0000SEHA",131.6,2023-06-14,2023-06-14
"101",1989-05-01,"CUSR0000SEHA",132,2023-06-14,2023-06-14
"102",1989-06-01,"CUSR0000SEHA",132.6,2023-06-14,2023-06-14
"103",1989-07-01,"CUSR0000SEHA",133,2023-06-14,2023-06-14
"104",1989-08-01,"CUSR0000SEHA",133.5,2023-06-14,2023-06-14
"105",1989-09-01,"CUSR0000SEHA",133.7,2023-06-14,2023-06-14
"106",1989-10-01,"CUSR0000SEHA",134.4,2023-06-14,2023-06-14
"107",1989-11-01,"CUSR0000SEHA",135,2023-06-14,2023-06-14
"108",1989-12-01,"CUSR0000SEHA",135.3,2023-06-14,2023-06-14
"109",1990-01-01,"CUSR0000SEHA",135.8,2023-06-14,2023-06-14
"110",1990-02-01,"CUSR0000SEHA",136.1,2023-06-14,2023-06-14
"111",1990-03-01,"CUSR0000SEHA",136.7,2023-06-14,2023-06-14
"112",1990-04-01,"CUSR0000SEHA",137.2,2023-06-14,2023-06-14
"113",1990-05-01,"CUSR0000SEHA",137.6,2023-06-14,2023-06-14
"114",1990-06-01,"CUSR0000SEHA",138.2,2023-06-14,2023-06-14
"115",1990-07-01,"CUSR0000SEHA",138.7,2023-06-14,2023-06-14
"116",1990-08-01,"CUSR0000SEHA",139.3,2023-06-14,2023-06-14
"117",1990-09-01,"CUSR0000SEHA",139.7,2023-06-14,2023-06-14
"118",1990-10-01,"CUSR0000SEHA",140.2,2023-06-14,2023-06-14
"119",1990-11-01,"CUSR0000SEHA",140.5,2023-06-14,2023-06-14
"120",1990-12-01,"CUSR0000SEHA",141,2023-06-14,2023-06-14
"121",1991-01-01,"CUSR0000SEHA",141.2,2023-06-14,2023-06-14
"122",1991-02-01,"CUSR0000SEHA",141.6,2023-06-14,2023-06-14
"123",1991-03-01,"CUSR0000SEHA",142.1,2023-06-14,2023-06-14
"124",1991-04-01,"CUSR0000SEHA",142.6,2023-06-14,2023-06-14
"125",1991-05-01,"CUSR0000SEHA",143,2023-06-14,2023-06-14
"126",1991-06-01,"CUSR0000SEHA",143.2,2023-06-14,2023-06-14
"127",1991-07-01,"CUSR0000SEHA",143.7,2023-06-14,2023-06-14
"128",1991-08-01,"CUSR0000SEHA",143.7,2023-06-14,2023-06-14
"129",1991-09-01,"CUSR0000SEHA",144.4,2023-06-14,2023-06-14
"130",1991-10-01,"CUSR0000SEHA",144.4,2023-06-14,2023-06-14
"131",1991-11-01,"CUSR0000SEHA",144.8,2023-06-14,2023-06-14
"132",1991-12-01,"CUSR0000SEHA",145.1,2023-06-14,2023-06-14
"133",1992-01-01,"CUSR0000SEHA",145.4,2023-06-14,2023-06-14
"134",1992-02-01,"CUSR0000SEHA",145.7,2023-06-14,2023-06-14
"135",1992-03-01,"CUSR0000SEHA",146.5,2023-06-14,2023-06-14
"136",1992-04-01,"CUSR0000SEHA",146.2,2023-06-14,2023-06-14
"137",1992-05-01,"CUSR0000SEHA",146.5,2023-06-14,2023-06-14
"138",1992-06-01,"CUSR0000SEHA",146.7,2023-06-14,2023-06-14
"139",1992-07-01,"CUSR0000SEHA",147,2023-06-14,2023-06-14
"140",1992-08-01,"CUSR0000SEHA",147,2023-06-14,2023-06-14
"141",1992-09-01,"CUSR0000SEHA",147.1,2023-06-14,2023-06-14
"142",1992-10-01,"CUSR0000SEHA",147.9,2023-06-14,2023-06-14
"143",1992-11-01,"CUSR0000SEHA",148.4,2023-06-14,2023-06-14
"144",1992-12-01,"CUSR0000SEHA",148.5,2023-06-14,2023-06-14
"145",1993-01-01,"CUSR0000SEHA",148.9,2023-06-14,2023-06-14
"146",1993-02-01,"CUSR0000SEHA",149.1,2023-06-14,2023-06-14
"147",1993-03-01,"CUSR0000SEHA",149.1,2023-06-14,2023-06-14
"148",1993-04-01,"CUSR0000SEHA",149.7,2023-06-14,2023-06-14
"149",1993-05-01,"CUSR0000SEHA",150,2023-06-14,2023-06-14
"150",1993-06-01,"CUSR0000SEHA",150.4,2023-06-14,2023-06-14
"151",1993-07-01,"CUSR0000SEHA",150.4,2023-06-14,2023-06-14
"152",1993-08-01,"CUSR0000SEHA",150.8,2023-06-14,2023-06-14
"153",1993-09-01,"CUSR0000SEHA",151,2023-06-14,2023-06-14
"154",1993-10-01,"CUSR0000SEHA",151.3,2023-06-14,2023-06-14
"155",1993-11-01,"CUSR0000SEHA",151.5,2023-06-14,2023-06-14
"156",1993-12-01,"CUSR0000SEHA",151.9,2023-06-14,2023-06-14
"157",1994-01-01,"CUSR0000SEHA",152.2,2023-06-14,2023-06-14
"158",1994-02-01,"CUSR0000SEHA",152.7,2023-06-14,2023-06-14
"159",1994-03-01,"CUSR0000SEHA",153.2,2023-06-14,2023-06-14
"160",1994-04-01,"CUSR0000SEHA",153.3,2023-06-14,2023-06-14
"161",1994-05-01,"CUSR0000SEHA",153.4,2023-06-14,2023-06-14
