"","date","series_id","value","realtime_start","realtime_end"
"1",1952-01-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"2",1952-02-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"3",1952-03-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"4",1952-04-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"5",1952-05-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"6",1952-06-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"7",1952-07-01,"CUSR0000SEHF01",27.5,2023-06-14,2023-06-14
"8",1952-08-01,"CUSR0000SEHF01",27.8,2023-06-14,2023-06-14
"9",1952-09-01,"CUSR0000SEHF01",27.8,2023-06-14,2023-06-14
"10",1952-10-01,"CUSR0000SEHF01",27.8,2023-06-14,2023-06-14
"11",1952-11-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"12",1952-12-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"13",1953-01-01,"CUSR0000SEHF01",28.1,2023-06-14,2023-06-14
"14",1953-02-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"15",1953-03-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"16",1953-04-01,"CUSR0000SEHF01",28.1,2023-06-14,2023-06-14
"17",1953-05-01,"CUSR0000SEHF01",28.1,2023-06-14,2023-06-14
"18",1953-06-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"19",1953-07-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"20",1953-08-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"21",1953-09-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"22",1953-10-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"23",1953-11-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"24",1953-12-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"25",1954-01-01,"CUSR0000SEHF01",27.9,2023-06-14,2023-06-14
"26",1954-02-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"27",1954-03-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"28",1954-04-01,"CUSR0000SEHF01",28.1,2023-06-14,2023-06-14
"29",1954-05-01,"CUSR0000SEHF01",28,2023-06-14,2023-06-14
"30",1954-06-01,"CUSR0000SEHF01",28.1,2023-06-14,2023-06-14
"31",1954-07-01,"CUSR0000SEHF01",28.2,2023-06-14,2023-06-14
"32",1954-08-01,"CUSR0000SEHF01",28.2,2023-06-14,2023-06-14
"33",1954-09-01,"CUSR0000SEHF01",28.2,2023-06-14,2023-06-14
"34",1954-10-01,"CUSR0000SEHF01",28.2,2023-06-14,2023-06-14
"35",1954-11-01,"CUSR0000SEHF01",28.3,2023-06-14,2023-06-14
"36",1954-12-01,"CUSR0000SEHF01",28.3,2023-06-14,2023-06-14
"37",1955-01-01,"CUSR0000SEHF01",28.4,2023-06-14,2023-06-14
"38",1955-02-01,"CUSR0000SEHF01",28.4,2023-06-14,2023-06-14
"39",1955-03-01,"CUSR0000SEHF01",28.4,2023-06-14,2023-06-14
"40",1955-04-01,"CUSR0000SEHF01",28.4,2023-06-14,2023-06-14
"41",1955-05-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"42",1955-06-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"43",1955-07-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"44",1955-08-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"45",1955-09-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"46",1955-10-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"47",1955-11-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"48",1955-12-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"49",1956-01-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"50",1956-02-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"51",1956-03-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"52",1956-04-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"53",1956-05-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"54",1956-06-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"55",1956-07-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"56",1956-08-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"57",1956-09-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"58",1956-10-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"59",1956-11-01,"CUSR0000SEHF01",28.5,2023-06-14,2023-06-14
"60",1956-12-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"61",1957-01-01,"CUSR0000SEHF01",28.6,2023-06-14,2023-06-14
"62",1957-02-01,"CUSR0000SEHF01",28.7,2023-06-14,2023-06-14
