"","date","series_id","value","realtime_start","realtime_end"
"1",1978-01-01,"CUSR0000SEMD",52.3,2023-06-14,2023-06-14
"2",1978-02-01,"CUSR0000SEMD",52.9,2023-06-14,2023-06-14
"3",1978-03-01,"CUSR0000SEMD",53.4,2023-06-14,2023-06-14
"4",1978-04-01,"CUSR0000SEMD",53.9,2023-06-14,2023-06-14
"5",1978-05-01,"CUSR0000SEMD",54.6,2023-06-14,2023-06-14
"6",1978-06-01,"CUSR0000SEMD",54.9,2023-06-14,2023-06-14
"7",1978-07-01,"CUSR0000SEMD",55.4,2023-06-14,2023-06-14
"8",1978-08-01,"CUSR0000SEMD",55.9,2023-06-14,2023-06-14
"9",1978-09-01,"CUSR0000SEMD",56.2,2023-06-14,2023-06-14
"10",1978-10-01,"CUSR0000SEMD",56.7,2023-06-14,2023-06-14
"11",1978-11-01,"CUSR0000SEMD",57.2,2023-06-14,2023-06-14
"12",1978-12-01,"CUSR0000SEMD",57.7,2023-06-14,2023-06-14
"13",1979-01-01,"CUSR0000SEMD",58.2,2023-06-14,2023-06-14
"14",1979-02-01,"CUSR0000SEMD",58.6,2023-06-14,2023-06-14
"15",1979-03-01,"CUSR0000SEMD",59.2,2023-06-14,2023-06-14
"16",1979-04-01,"CUSR0000SEMD",59.7,2023-06-14,2023-06-14
"17",1979-05-01,"CUSR0000SEMD",60.2,2023-06-14,2023-06-14
"18",1979-06-01,"CUSR0000SEMD",60.8,2023-06-14,2023-06-14
"19",1979-07-01,"CUSR0000SEMD",61.2,2023-06-14,2023-06-14
"20",1979-08-01,"CUSR0000SEMD",61.6,2023-06-14,2023-06-14
"21",1979-09-01,"CUSR0000SEMD",62.2,2023-06-14,2023-06-14
"22",1979-10-01,"CUSR0000SEMD",62.8,2023-06-14,2023-06-14
"23",1979-11-01,"CUSR0000SEMD",63.3,2023-06-14,2023-06-14
"24",1979-12-01,"CUSR0000SEMD",64.2,2023-06-14,2023-06-14
"25",1980-01-01,"CUSR0000SEMD",64.8,2023-06-14,2023-06-14
"26",1980-02-01,"CUSR0000SEMD",65.7,2023-06-14,2023-06-14
"27",1980-03-01,"CUSR0000SEMD",66.4,2023-06-14,2023-06-14
"28",1980-04-01,"CUSR0000SEMD",67.2,2023-06-14,2023-06-14
"29",1980-05-01,"CUSR0000SEMD",68,2023-06-14,2023-06-14
"30",1980-06-01,"CUSR0000SEMD",68.8,2023-06-14,2023-06-14
"31",1980-07-01,"CUSR0000SEMD",69.6,2023-06-14,2023-06-14
"32",1980-08-01,"CUSR0000SEMD",70.3,2023-06-14,2023-06-14
"33",1980-09-01,"CUSR0000SEMD",71.2,2023-06-14,2023-06-14
"34",1980-10-01,"CUSR0000SEMD",72.2,2023-06-14,2023-06-14
"35",1980-11-01,"CUSR0000SEMD",72.8,2023-06-14,2023-06-14
"36",1980-12-01,"CUSR0000SEMD",73.5,2023-06-14,2023-06-14
"37",1981-01-01,"CUSR0000SEMD",74.6,2023-06-14,2023-06-14
"38",1981-02-01,"CUSR0000SEMD",75.2,2023-06-14,2023-06-14
"39",1981-03-01,"CUSR0000SEMD",75.9,2023-06-14,2023-06-14
"40",1981-04-01,"CUSR0000SEMD",76.7,2023-06-14,2023-06-14
"41",1981-05-01,"CUSR0000SEMD",77.3,2023-06-14,2023-06-14
"42",1981-06-01,"CUSR0000SEMD",78.3,2023-06-14,2023-06-14
"43",1981-07-01,"CUSR0000SEMD",79,2023-06-14,2023-06-14
"44",1981-08-01,"CUSR0000SEMD",80.3,2023-06-14,2023-06-14
"45",1981-09-01,"CUSR0000SEMD",81.3,2023-06-14,2023-06-14
"46",1981-10-01,"CUSR0000SEMD",82.4,2023-06-14,2023-06-14
"47",1981-11-01,"CUSR0000SEMD",83.6,2023-06-14,2023-06-14
"48",1981-12-01,"CUSR0000SEMD",84.4,2023-06-14,2023-06-14
"49",1982-01-01,"CUSR0000SEMD",85.5,2023-06-14,2023-06-14
"50",1982-02-01,"CUSR0000SEMD",86,2023-06-14,2023-06-14
"51",1982-03-01,"CUSR0000SEMD",87,2023-06-14,2023-06-14
"52",1982-04-01,"CUSR0000SEMD",88,2023-06-14,2023-06-14
"53",1982-05-01,"CUSR0000SEMD",88.9,2023-06-14,2023-06-14
"54",1982-06-01,"CUSR0000SEMD",89.8,2023-06-14,2023-06-14
"55",1982-07-01,"CUSR0000SEMD",91,2023-06-14,2023-06-14
"56",1982-08-01,"CUSR0000SEMD",91.8,2023-06-14,2023-06-14
"57",1982-09-01,"CUSR0000SEMD",92.6,2023-06-14,2023-06-14
"58",1982-10-01,"CUSR0000SEMD",93.3,2023-06-14,2023-06-14
"59",1982-11-01,"CUSR0000SEMD",94.3,2023-06-14,2023-06-14
"60",1982-12-01,"CUSR0000SEMD",95,2023-06-14,2023-06-14
"61",1983-01-01,"CUSR0000SEMD",95.6,2023-06-14,2023-06-14
"62",1983-02-01,"CUSR0000SEMD",97.2,2023-06-14,2023-06-14
"63",1983-03-01,"CUSR0000SEMD",97.8,2023-06-14,2023-06-14
"64",1983-04-01,"CUSR0000SEMD",98.6,2023-06-14,2023-06-14
"65",1983-05-01,"CUSR0000SEMD",99.4,2023-06-14,2023-06-14
"66",1983-06-01,"CUSR0000SEMD",100.2,2023-06-14,2023-06-14
"67",1983-07-01,"CUSR0000SEMD",100.8,2023-06-14,2023-06-14
"68",1983-08-01,"CUSR0000SEMD",101.9,2023-06-14,2023-06-14
"69",1983-09-01,"CUSR0000SEMD",102.7,2023-06-14,2023-06-14
"70",1983-10-01,"CUSR0000SEMD",103.4,2023-06-14,2023-06-14
"71",1983-11-01,"CUSR0000SEMD",103.7,2023-06-14,2023-06-14
"72",1983-12-01,"CUSR0000SEMD",104.9,2023-06-14,2023-06-14
"73",1984-01-01,"CUSR0000SEMD",105.6,2023-06-14,2023-06-14
"74",1984-02-01,"CUSR0000SEMD",106.4,2023-06-14,2023-06-14
"75",1984-03-01,"CUSR0000SEMD",106.9,2023-06-14,2023-06-14
"76",1984-04-01,"CUSR0000SEMD",107.6,2023-06-14,2023-06-14
"77",1984-05-01,"CUSR0000SEMD",108.2,2023-06-14,2023-06-14
"78",1984-06-01,"CUSR0000SEMD",108.9,2023-06-14,2023-06-14
"79",1984-07-01,"CUSR0000SEMD",109.6,2023-06-14,2023-06-14
"80",1984-08-01,"CUSR0000SEMD",110.1,2023-06-14,2023-06-14
"81",1984-09-01,"CUSR0000SEMD",110.5,2023-06-14,2023-06-14
"82",1984-10-01,"CUSR0000SEMD",111.5,2023-06-14,2023-06-14
"83",1984-11-01,"CUSR0000SEMD",112.3,2023-06-14,2023-06-14
"84",1984-12-01,"CUSR0000SEMD",112.9,2023-06-14,2023-06-14
"85",1985-01-01,"CUSR0000SEMD",113.5,2023-06-14,2023-06-14
"86",1985-02-01,"CUSR0000SEMD",113.8,2023-06-14,2023-06-14
"87",1985-03-01,"CUSR0000SEMD",114.5,2023-06-14,2023-06-14
"88",1985-04-01,"CUSR0000SEMD",115.1,2023-06-14,2023-06-14
"89",1985-05-01,"CUSR0000SEMD",115.7,2023-06-14,2023-06-14
"90",1985-06-01,"CUSR0000SEMD",116.4,2023-06-14,2023-06-14
"91",1985-07-01,"CUSR0000SEMD",116.4,2023-06-14,2023-06-14
"92",1985-08-01,"CUSR0000SEMD",116.9,2023-06-14,2023-06-14
"93",1985-09-01,"CUSR0000SEMD",117.3,2023-06-14,2023-06-14
"94",1985-10-01,"CUSR0000SEMD",117.6,2023-06-14,2023-06-14
"95",1985-11-01,"CUSR0000SEMD",118,2023-06-14,2023-06-14
"96",1985-12-01,"CUSR0000SEMD",118.6,2023-06-14,2023-06-14
"97",1986-01-01,"CUSR0000SEMD",119.3,2023-06-14,2023-06-14
"98",1986-02-01,"CUSR0000SEMD",120.1,2023-06-14,2023-06-14
"99",1986-03-01,"CUSR0000SEMD",120.8,2023-06-14,2023-06-14
"100",1986-04-01,"CUSR0000SEMD",121.3,2023-06-14,2023-06-14
"101",1986-05-01,"CUSR0000SEMD",121.9,2023-06-14,2023-06-14
"102",1986-06-01,"CUSR0000SEMD",122.7,2023-06-14,2023-06-14
"103",1986-07-01,"CUSR0000SEMD",123.3,2023-06-14,2023-06-14
"104",1986-08-01,"CUSR0000SEMD",124.1,2023-06-14,2023-06-14
"105",1986-09-01,"CUSR0000SEMD",124.7,2023-06-14,2023-06-14
"106",1986-10-01,"CUSR0000SEMD",125.6,2023-06-14,2023-06-14
"107",1986-11-01,"CUSR0000SEMD",126.2,2023-06-14,2023-06-14
"108",1986-12-01,"CUSR0000SEMD",127.2,2023-06-14,2023-06-14
"109",1987-01-01,"CUSR0000SEMD",127.5,2023-06-14,2023-06-14
"110",1987-02-01,"CUSR0000SEMD",127.9,2023-06-14,2023-06-14
"111",1987-03-01,"CUSR0000SEMD",128.7,2023-06-14,2023-06-14
"112",1987-04-01,"CUSR0000SEMD",129.7,2023-06-14,2023-06-14
"113",1987-05-01,"CUSR0000SEMD",130.6,2023-06-14,2023-06-14
"114",1987-06-01,"CUSR0000SEMD",131.5,2023-06-14,2023-06-14
"115",1987-07-01,"CUSR0000SEMD",132.2,2023-06-14,2023-06-14
"116",1987-08-01,"CUSR0000SEMD",132.9,2023-06-14,2023-06-14
"117",1987-09-01,"CUSR0000SEMD",133.5,2023-06-14,2023-06-14
"118",1987-10-01,"CUSR0000SEMD",134.2,2023-06-14,2023-06-14
"119",1987-11-01,"CUSR0000SEMD",135.2,2023-06-14,2023-06-14
"120",1987-12-01,"CUSR0000SEMD",136.1,2023-06-14,2023-06-14
"121",1988-01-01,"CUSR0000SEMD",137.2,2023-06-14,2023-06-14
"122",1988-02-01,"CUSR0000SEMD",138.3,2023-06-14,2023-06-14
"123",1988-03-01,"CUSR0000SEMD",139.5,2023-06-14,2023-06-14
"124",1988-04-01,"CUSR0000SEMD",140.7,2023-06-14,2023-06-14
"125",1988-05-01,"CUSR0000SEMD",142.3,2023-06-14,2023-06-14
"126",1988-06-01,"CUSR0000SEMD",143,2023-06-14,2023-06-14
"127",1988-07-01,"CUSR0000SEMD",144.5,2023-06-14,2023-06-14
"128",1988-08-01,"CUSR0000SEMD",145.7,2023-06-14,2023-06-14
"129",1988-09-01,"CUSR0000SEMD",147.2,2023-06-14,2023-06-14
"130",1988-10-01,"CUSR0000SEMD",148.4,2023-06-14,2023-06-14
"131",1988-11-01,"CUSR0000SEMD",149.5,2023-06-14,2023-06-14
"132",1988-12-01,"CUSR0000SEMD",151.1,2023-06-14,2023-06-14
"133",1989-01-01,"CUSR0000SEMD",152.5,2023-06-14,2023-06-14
"134",1989-02-01,"CUSR0000SEMD",154.2,2023-06-14,2023-06-14
"135",1989-03-01,"CUSR0000SEMD",155.3,2023-06-14,2023-06-14
"136",1989-04-01,"CUSR0000SEMD",156.6,2023-06-14,2023-06-14
"137",1989-05-01,"CUSR0000SEMD",158,2023-06-14,2023-06-14
"138",1989-06-01,"CUSR0000SEMD",159.6,2023-06-14,2023-06-14
"139",1989-07-01,"CUSR0000SEMD",161,2023-06-14,2023-06-14
"140",1989-08-01,"CUSR0000SEMD",162.5,2023-06-14,2023-06-14
"141",1989-09-01,"CUSR0000SEMD",164.5,2023-06-14,2023-06-14
"142",1989-10-01,"CUSR0000SEMD",165.9,2023-06-14,2023-06-14
"143",1989-11-01,"CUSR0000SEMD",167.6,2023-06-14,2023-06-14
"144",1989-12-01,"CUSR0000SEMD",168.2,2023-06-14,2023-06-14
"145",1990-01-01,"CUSR0000SEMD",169.5,2023-06-14,2023-06-14
"146",1990-02-01,"CUSR0000SEMD",170.5,2023-06-14,2023-06-14
"147",1990-03-01,"CUSR0000SEMD",172.4,2023-06-14,2023-06-14
"148",1990-04-01,"CUSR0000SEMD",173.8,2023-06-14,2023-06-14
"149",1990-05-01,"CUSR0000SEMD",175.1,2023-06-14,2023-06-14
"150",1990-06-01,"CUSR0000SEMD",176.6,2023-06-14,2023-06-14
"151",1990-07-01,"CUSR0000SEMD",178.4,2023-06-14,2023-06-14
"152",1990-08-01,"CUSR0000SEMD",180.7,2023-06-14,2023-06-14
"153",1990-09-01,"CUSR0000SEMD",182.1,2023-06-14,2023-06-14
"154",1990-10-01,"CUSR0000SEMD",183.9,2023-06-14,2023-06-14
"155",1990-11-01,"CUSR0000SEMD",185.9,2023-06-14,2023-06-14
"156",1990-12-01,"CUSR0000SEMD",187.3,2023-06-14,2023-06-14
"157",1991-01-01,"CUSR0000SEMD",188.8,2023-06-14,2023-06-14
"158",1991-02-01,"CUSR0000SEMD",190.2,2023-06-14,2023-06-14
"159",1991-03-01,"CUSR0000SEMD",191.4,2023-06-14,2023-06-14
"160",1991-04-01,"CUSR0000SEMD",192.7,2023-06-14,2023-06-14
"161",1991-05-01,"CUSR0000SEMD",193.9,2023-06-14,2023-06-14
"162",1991-06-01,"CUSR0000SEMD",195.3,2023-06-14,2023-06-14
"163",1991-07-01,"CUSR0000SEMD",196.7,2023-06-14,2023-06-14
"164",1991-08-01,"CUSR0000SEMD",198.2,2023-06-14,2023-06-14
"165",1991-09-01,"CUSR0000SEMD",199.2,2023-06-14,2023-06-14
"166",1991-10-01,"CUSR0000SEMD",200.5,2023-06-14,2023-06-14
"167",1991-11-01,"CUSR0000SEMD",202.2,2023-06-14,2023-06-14
"168",1991-12-01,"CUSR0000SEMD",203.9,2023-06-14,2023-06-14
"169",1992-01-01,"CUSR0000SEMD",205.6,2023-06-14,2023-06-14
"170",1992-02-01,"CUSR0000SEMD",207.3,2023-06-14,2023-06-14
"171",1992-03-01,"CUSR0000SEMD",209.1,2023-06-14,2023-06-14
"172",1992-04-01,"CUSR0000SEMD",210.4,2023-06-14,2023-06-14
"173",1992-05-01,"CUSR0000SEMD",212.1,2023-06-14,2023-06-14
"174",1992-06-01,"CUSR0000SEMD",213.4,2023-06-14,2023-06-14
"175",1992-07-01,"CUSR0000SEMD",214.9,2023-06-14,2023-06-14
"176",1992-08-01,"CUSR0000SEMD",216.1,2023-06-14,2023-06-14
"177",1992-09-01,"CUSR0000SEMD",217.6,2023-06-14,2023-06-14
"178",1992-10-01,"CUSR0000SEMD",219.2,2023-06-14,2023-06-14
"179",1992-11-01,"CUSR0000SEMD",220.6,2023-06-14,2023-06-14
"180",1992-12-01,"CUSR0000SEMD",221.9,2023-06-14,2023-06-14
"181",1993-01-01,"CUSR0000SEMD",223.7,2023-06-14,2023-06-14
"182",1993-02-01,"CUSR0000SEMD",225.7,2023-06-14,2023-06-14
"183",1993-03-01,"CUSR0000SEMD",226.9,2023-06-14,2023-06-14
"184",1993-04-01,"CUSR0000SEMD",229,2023-06-14,2023-06-14
"185",1993-05-01,"CUSR0000SEMD",230.5,2023-06-14,2023-06-14
