"","date","series_id","value","realtime_start","realtime_end"
"1",1994-01-01,"CUSR0000SERA",96.7,2023-06-14,2023-06-14
"2",1994-02-01,"CUSR0000SERA",96.4,2023-06-14,2023-06-14
"3",1994-03-01,"CUSR0000SERA",96.3,2023-06-14,2023-06-14
"4",1994-04-01,"CUSR0000SERA",95.8,2023-06-14,2023-06-14
"5",1994-05-01,"CUSR0000SERA",95.9,2023-06-14,2023-06-14
"6",1994-06-01,"CUSR0000SERA",95.7,2023-06-14,2023-06-14
"7",1994-07-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"8",1994-08-01,"CUSR0000SERA",94.7,2023-06-14,2023-06-14
"9",1994-09-01,"CUSR0000SERA",94.6,2023-06-14,2023-06-14
"10",1994-10-01,"CUSR0000SERA",94.4,2023-06-14,2023-06-14
"11",1994-11-01,"CUSR0000SERA",94.5,2023-06-14,2023-06-14
"12",1994-12-01,"CUSR0000SERA",94.6,2023-06-14,2023-06-14
"13",1995-01-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"14",1995-02-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"15",1995-03-01,"CUSR0000SERA",94.9,2023-06-14,2023-06-14
"16",1995-04-01,"CUSR0000SERA",95.3,2023-06-14,2023-06-14
"17",1995-05-01,"CUSR0000SERA",95.9,2023-06-14,2023-06-14
"18",1995-06-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"19",1995-07-01,"CUSR0000SERA",94.9,2023-06-14,2023-06-14
"20",1995-08-01,"CUSR0000SERA",94.9,2023-06-14,2023-06-14
"21",1995-09-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"22",1995-10-01,"CUSR0000SERA",94.9,2023-06-14,2023-06-14
"23",1995-11-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"24",1995-12-01,"CUSR0000SERA",95,2023-06-14,2023-06-14
"25",1996-01-01,"CUSR0000SERA",94.8,2023-06-14,2023-06-14
"26",1996-02-01,"CUSR0000SERA",95.3,2023-06-14,2023-06-14
"27",1996-03-01,"CUSR0000SERA",95.5,2023-06-14,2023-06-14
"28",1996-04-01,"CUSR0000SERA",95.8,2023-06-14,2023-06-14
"29",1996-05-01,"CUSR0000SERA",96,2023-06-14,2023-06-14
"30",1996-06-01,"CUSR0000SERA",96.4,2023-06-14,2023-06-14
"31",1996-07-01,"CUSR0000SERA",97.3,2023-06-14,2023-06-14
"32",1996-08-01,"CUSR0000SERA",97.3,2023-06-14,2023-06-14
"33",1996-09-01,"CUSR0000SERA",97.4,2023-06-14,2023-06-14
"34",1996-10-01,"CUSR0000SERA",97.8,2023-06-14,2023-06-14
"35",1996-11-01,"CUSR0000SERA",97.9,2023-06-14,2023-06-14
"36",1996-12-01,"CUSR0000SERA",98.2,2023-06-14,2023-06-14
"37",1997-01-01,"CUSR0000SERA",98.2,2023-06-14,2023-06-14
"38",1997-02-01,"CUSR0000SERA",98.6,2023-06-14,2023-06-14
"39",1997-03-01,"CUSR0000SERA",98.7,2023-06-14,2023-06-14
"40",1997-04-01,"CUSR0000SERA",98.1,2023-06-14,2023-06-14
"41",1997-05-01,"CUSR0000SERA",98.8,2023-06-14,2023-06-14
"42",1997-06-01,"CUSR0000SERA",99.5,2023-06-14,2023-06-14
"43",1997-07-01,"CUSR0000SERA",99.8,2023-06-14,2023-06-14
"44",1997-08-01,"CUSR0000SERA",99.9,2023-06-14,2023-06-14
"45",1997-09-01,"CUSR0000SERA",100.2,2023-06-14,2023-06-14
"46",1997-10-01,"CUSR0000SERA",100.2,2023-06-14,2023-06-14
"47",1997-11-01,"CUSR0000SERA",100.6,2023-06-14,2023-06-14
"48",1997-12-01,"CUSR0000SERA",100.5,2023-06-14,2023-06-14
"49",1998-01-01,"CUSR0000SERA",100.8,2023-06-14,2023-06-14
"50",1998-02-01,"CUSR0000SERA",100.8,2023-06-14,2023-06-14
"51",1998-03-01,"CUSR0000SERA",101.1,2023-06-14,2023-06-14
"52",1998-04-01,"CUSR0000SERA",101.1,2023-06-14,2023-06-14
"53",1998-05-01,"CUSR0000SERA",101.1,2023-06-14,2023-06-14
"54",1998-06-01,"CUSR0000SERA",101.1,2023-06-14,2023-06-14
"55",1998-07-01,"CUSR0000SERA",101,2023-06-14,2023-06-14
"56",1998-08-01,"CUSR0000SERA",101,2023-06-14,2023-06-14
"57",1998-09-01,"CUSR0000SERA",101.7,2023-06-14,2023-06-14
"58",1998-10-01,"CUSR0000SERA",101.4,2023-06-14,2023-06-14
"59",1998-11-01,"CUSR0000SERA",101.1,2023-06-14,2023-06-14
"60",1998-12-01,"CUSR0000SERA",101.2,2023-06-14,2023-06-14
"61",1999-01-01,"CUSR0000SERA",101.4,2023-06-14,2023-06-14
"62",1999-02-01,"CUSR0000SERA",101.2,2023-06-14,2023-06-14
