"","date","series_id","value","realtime_start","realtime_end"
"1",1992-01-01,"CUSR0000SERA02",180.8,2023-06-14,2023-06-14
"2",1992-02-01,"CUSR0000SERA02",181.8,2023-06-14,2023-06-14
"3",1992-03-01,"CUSR0000SERA02",183.3,2023-06-14,2023-06-14
"4",1992-04-01,"CUSR0000SERA02",186.2,2023-06-14,2023-06-14
"5",1992-05-01,"CUSR0000SERA02",185.2,2023-06-14,2023-06-14
"6",1992-06-01,"CUSR0000SERA02",185.9,2023-06-14,2023-06-14
"7",1992-07-01,"CUSR0000SERA02",188,2023-06-14,2023-06-14
"8",1992-08-01,"CUSR0000SERA02",188.8,2023-06-14,2023-06-14
"9",1992-09-01,"CUSR0000SERA02",186.7,2023-06-14,2023-06-14
"10",1992-10-01,"CUSR0000SERA02",188.6,2023-06-14,2023-06-14
"11",1992-11-01,"CUSR0000SERA02",190.3,2023-06-14,2023-06-14
"12",1992-12-01,"CUSR0000SERA02",188.4,2023-06-14,2023-06-14
"13",1993-01-01,"CUSR0000SERA02",190.5,2023-06-14,2023-06-14
"14",1993-02-01,"CUSR0000SERA02",194.5,2023-06-14,2023-06-14
"15",1993-03-01,"CUSR0000SERA02",199.4,2023-06-14,2023-06-14
"16",1993-04-01,"CUSR0000SERA02",200,2023-06-14,2023-06-14
"17",1993-05-01,"CUSR0000SERA02",196.2,2023-06-14,2023-06-14
"18",1993-06-01,"CUSR0000SERA02",198.4,2023-06-14,2023-06-14
"19",1993-07-01,"CUSR0000SERA02",199,2023-06-14,2023-06-14
"20",1993-08-01,"CUSR0000SERA02",200.7,2023-06-14,2023-06-14
"21",1993-09-01,"CUSR0000SERA02",201.8,2023-06-14,2023-06-14
"22",1993-10-01,"CUSR0000SERA02",202.6,2023-06-14,2023-06-14
"23",1993-11-01,"CUSR0000SERA02",202.2,2023-06-14,2023-06-14
"24",1993-12-01,"CUSR0000SERA02",202.1,2023-06-14,2023-06-14
"25",1994-01-01,"CUSR0000SERA02",201.8,2023-06-14,2023-06-14
"26",1994-02-01,"CUSR0000SERA02",200.5,2023-06-14,2023-06-14
"27",1994-03-01,"CUSR0000SERA02",199.5,2023-06-14,2023-06-14
"28",1994-04-01,"CUSR0000SERA02",198.5,2023-06-14,2023-06-14
"29",1994-05-01,"CUSR0000SERA02",198.7,2023-06-14,2023-06-14
"30",1994-06-01,"CUSR0000SERA02",197.8,2023-06-14,2023-06-14
"31",1994-07-01,"CUSR0000SERA02",196.1,2023-06-14,2023-06-14
"32",1994-08-01,"CUSR0000SERA02",195.3,2023-06-14,2023-06-14
"33",1994-09-01,"CUSR0000SERA02",194.5,2023-06-14,2023-06-14
"34",1994-10-01,"CUSR0000SERA02",194.5,2023-06-14,2023-06-14
"35",1994-11-01,"CUSR0000SERA02",195.3,2023-06-14,2023-06-14
"36",1994-12-01,"CUSR0000SERA02",196.7,2023-06-14,2023-06-14
"37",1995-01-01,"CUSR0000SERA02",197.1,2023-06-14,2023-06-14
"38",1995-02-01,"CUSR0000SERA02",197.3,2023-06-14,2023-06-14
"39",1995-03-01,"CUSR0000SERA02",198.3,2023-06-14,2023-06-14
"40",1995-04-01,"CUSR0000SERA02",199,2023-06-14,2023-06-14
"41",1995-05-01,"CUSR0000SERA02",200.2,2023-06-14,2023-06-14
"42",1995-06-01,"CUSR0000SERA02",200.1,2023-06-14,2023-06-14
"43",1995-07-01,"CUSR0000SERA02",200.6,2023-06-14,2023-06-14
"44",1995-08-01,"CUSR0000SERA02",201.5,2023-06-14,2023-06-14
"45",1995-09-01,"CUSR0000SERA02",202.3,2023-06-14,2023-06-14
"46",1995-10-01,"CUSR0000SERA02",203.2,2023-06-14,2023-06-14
"47",1995-11-01,"CUSR0000SERA02",203.8,2023-06-14,2023-06-14
"48",1995-12-01,"CUSR0000SERA02",204.3,2023-06-14,2023-06-14
"49",1996-01-01,"CUSR0000SERA02",204.8,2023-06-14,2023-06-14
"50",1996-02-01,"CUSR0000SERA02",206,2023-06-14,2023-06-14
"51",1996-03-01,"CUSR0000SERA02",206.8,2023-06-14,2023-06-14
"52",1996-04-01,"CUSR0000SERA02",208.6,2023-06-14,2023-06-14
"53",1996-05-01,"CUSR0000SERA02",209.9,2023-06-14,2023-06-14
"54",1996-06-01,"CUSR0000SERA02",210.7,2023-06-14,2023-06-14
"55",1996-07-01,"CUSR0000SERA02",214.4,2023-06-14,2023-06-14
"56",1996-08-01,"CUSR0000SERA02",215.3,2023-06-14,2023-06-14
