"","date","series_id","value","realtime_start","realtime_end"
"1",2010-01-01,"CUSR0000SERAC",98.952,2023-06-14,2023-06-14
"2",2010-02-01,"CUSR0000SERAC",97.23,2023-06-14,2023-06-14
"3",2010-03-01,"CUSR0000SERAC",96.987,2023-06-14,2023-06-14
"4",2010-04-01,"CUSR0000SERAC",96.655,2023-06-14,2023-06-14
"5",2010-05-01,"CUSR0000SERAC",95.488,2023-06-14,2023-06-14
"6",2010-06-01,"CUSR0000SERAC",94.917,2023-06-14,2023-06-14
"7",2010-07-01,"CUSR0000SERAC",94.046,2023-06-14,2023-06-14
"8",2010-08-01,"CUSR0000SERAC",93.168,2023-06-14,2023-06-14
"9",2010-09-01,"CUSR0000SERAC",92.559,2023-06-14,2023-06-14
"10",2010-10-01,"CUSR0000SERAC",91.881,2023-06-14,2023-06-14
"11",2010-11-01,"CUSR0000SERAC",90.879,2023-06-14,2023-06-14
"12",2010-12-01,"CUSR0000SERAC",89.828,2023-06-14,2023-06-14
"13",2011-01-01,"CUSR0000SERAC",89.323,2023-06-14,2023-06-14
"14",2011-02-01,"CUSR0000SERAC",89.085,2023-06-14,2023-06-14
"15",2011-03-01,"CUSR0000SERAC",88.846,2023-06-14,2023-06-14
"16",2011-04-01,"CUSR0000SERAC",88.262,2023-06-14,2023-06-14
"17",2011-05-01,"CUSR0000SERAC",87.006,2023-06-14,2023-06-14
"18",2011-06-01,"CUSR0000SERAC",86.542,2023-06-14,2023-06-14
"19",2011-07-01,"CUSR0000SERAC",86.133,2023-06-14,2023-06-14
"20",2011-08-01,"CUSR0000SERAC",85.129,2023-06-14,2023-06-14
"21",2011-09-01,"CUSR0000SERAC",84.552,2023-06-14,2023-06-14
"22",2011-10-01,"CUSR0000SERAC",83.711,2023-06-14,2023-06-14
"23",2011-11-01,"CUSR0000SERAC",82.765,2023-06-14,2023-06-14
"24",2011-12-01,"CUSR0000SERAC",82.322,2023-06-14,2023-06-14
"25",2012-01-01,"CUSR0000SERAC",81.83,2023-06-14,2023-06-14
"26",2012-02-01,"CUSR0000SERAC",81.313,2023-06-14,2023-06-14
"27",2012-03-01,"CUSR0000SERAC",80.485,2023-06-14,2023-06-14
"28",2012-04-01,"CUSR0000SERAC",79.315,2023-06-14,2023-06-14
"29",2012-05-01,"CUSR0000SERAC",78.699,2023-06-14,2023-06-14
"30",2012-06-01,"CUSR0000SERAC",77.766,2023-06-14,2023-06-14
"31",2012-07-01,"CUSR0000SERAC",77.408,2023-06-14,2023-06-14
"32",2012-08-01,"CUSR0000SERAC",77.202,2023-06-14,2023-06-14
"33",2012-09-01,"CUSR0000SERAC",76.624,2023-06-14,2023-06-14
"34",2012-10-01,"CUSR0000SERAC",75.99,2023-06-14,2023-06-14
"35",2012-11-01,"CUSR0000SERAC",75.454,2023-06-14,2023-06-14
"36",2012-12-01,"CUSR0000SERAC",74.885,2023-06-14,2023-06-14
"37",2013-01-01,"CUSR0000SERAC",74.762,2023-06-14,2023-06-14
"38",2013-02-01,"CUSR0000SERAC",74.296,2023-06-14,2023-06-14
"39",2013-03-01,"CUSR0000SERAC",73.66,2023-06-14,2023-06-14
"40",2013-04-01,"CUSR0000SERAC",72.821,2023-06-14,2023-06-14
"41",2013-05-01,"CUSR0000SERAC",72.908,2023-06-14,2023-06-14
"42",2013-06-01,"CUSR0000SERAC",72.439,2023-06-14,2023-06-14
"43",2013-07-01,"CUSR0000SERAC",72.077,2023-06-14,2023-06-14
"44",2013-08-01,"CUSR0000SERAC",71.726,2023-06-14,2023-06-14
"45",2013-09-01,"CUSR0000SERAC",71.283,2023-06-14,2023-06-14
"46",2013-10-01,"CUSR0000SERAC",70.893,2023-06-14,2023-06-14
"47",2013-11-01,"CUSR0000SERAC",71.077,2023-06-14,2023-06-14
"48",2013-12-01,"CUSR0000SERAC",70.576,2023-06-14,2023-06-14
"49",2014-01-01,"CUSR0000SERAC",70.347,2023-06-14,2023-06-14
"50",2014-02-01,"CUSR0000SERAC",70.082,2023-06-14,2023-06-14
"51",2014-03-01,"CUSR0000SERAC",69.448,2023-06-14,2023-06-14
"52",2014-04-01,"CUSR0000SERAC",69.442,2023-06-14,2023-06-14
"53",2014-05-01,"CUSR0000SERAC",68.339,2023-06-14,2023-06-14
"54",2014-06-01,"CUSR0000SERAC",67.394,2023-06-14,2023-06-14
"55",2014-07-01,"CUSR0000SERAC",66.386,2023-06-14,2023-06-14
"56",2014-08-01,"CUSR0000SERAC",66.039,2023-06-14,2023-06-14
"57",2014-09-01,"CUSR0000SERAC",65.454,2023-06-14,2023-06-14
"58",2014-10-01,"CUSR0000SERAC",64.936,2023-06-14,2023-06-14
"59",2014-11-01,"CUSR0000SERAC",63.983,2023-06-14,2023-06-14
"60",2014-12-01,"CUSR0000SERAC",63.409,2023-06-14,2023-06-14
"61",2015-01-01,"CUSR0000SERAC",63.244,2023-06-14,2023-06-14
"62",2015-02-01,"CUSR0000SERAC",63.022,2023-06-14,2023-06-14
"63",2015-03-01,"CUSR0000SERAC",62.63,2023-06-14,2023-06-14
"64",2015-04-01,"CUSR0000SERAC",62.117,2023-06-14,2023-06-14
"65",2015-05-01,"CUSR0000SERAC",61.791,2023-06-14,2023-06-14
"66",2015-06-01,"CUSR0000SERAC",61.575,2023-06-14,2023-06-14
"67",2015-07-01,"CUSR0000SERAC",61.051,2023-06-14,2023-06-14
"68",2015-08-01,"CUSR0000SERAC",60.452,2023-06-14,2023-06-14
