"","date","series_id","value","realtime_start","realtime_end"
"1",2004-01-01,"CUSR0000SERE03",98.1,2023-06-14,2023-06-14
"2",2004-02-01,"CUSR0000SERE03",98,2023-06-14,2023-06-14
"3",2004-03-01,"CUSR0000SERE03",97.7,2023-06-14,2023-06-14
"4",2004-04-01,"CUSR0000SERE03",98,2023-06-14,2023-06-14
"5",2004-05-01,"CUSR0000SERE03",97.5,2023-06-14,2023-06-14
"6",2004-06-01,"CUSR0000SERE03",97.1,2023-06-14,2023-06-14
"7",2004-07-01,"CUSR0000SERE03",97.5,2023-06-14,2023-06-14
"8",2004-08-01,"CUSR0000SERE03",97.8,2023-06-14,2023-06-14
"9",2004-09-01,"CUSR0000SERE03",97.7,2023-06-14,2023-06-14
"10",2004-10-01,"CUSR0000SERE03",98.2,2023-06-14,2023-06-14
"11",2004-11-01,"CUSR0000SERE03",98.2,2023-06-14,2023-06-14
"12",2004-12-01,"CUSR0000SERE03",99.1,2023-06-14,2023-06-14
"13",2005-01-01,"CUSR0000SERE03",98.7,2023-06-14,2023-06-14
"14",2005-02-01,"CUSR0000SERE03",98.5,2023-06-14,2023-06-14
"15",2005-03-01,"CUSR0000SERE03",98.2,2023-06-14,2023-06-14
"16",2005-04-01,"CUSR0000SERE03",98.1,2023-06-14,2023-06-14
"17",2005-05-01,"CUSR0000SERE03",97.9,2023-06-14,2023-06-14
"18",2005-06-01,"CUSR0000SERE03",98,2023-06-14,2023-06-14
"19",2005-07-01,"CUSR0000SERE03",97.9,2023-06-14,2023-06-14
"20",2005-08-01,"CUSR0000SERE03",97,2023-06-14,2023-06-14
"21",2005-09-01,"CUSR0000SERE03",97.7,2023-06-14,2023-06-14
"22",2005-10-01,"CUSR0000SERE03",96.9,2023-06-14,2023-06-14
"23",2005-11-01,"CUSR0000SERE03",97.1,2023-06-14,2023-06-14
"24",2005-12-01,"CUSR0000SERE03",97.2,2023-06-14,2023-06-14
"25",2006-01-01,"CUSR0000SERE03",96.9,2023-06-14,2023-06-14
"26",2006-02-01,"CUSR0000SERE03",97.4,2023-06-14,2023-06-14
"27",2006-03-01,"CUSR0000SERE03",97.8,2023-06-14,2023-06-14
"28",2006-04-01,"CUSR0000SERE03",97.4,2023-06-14,2023-06-14
"29",2006-05-01,"CUSR0000SERE03",97.5,2023-06-14,2023-06-14
"30",2006-06-01,"CUSR0000SERE03",97.9,2023-06-14,2023-06-14
"31",2006-07-01,"CUSR0000SERE03",97.9,2023-06-14,2023-06-14
"32",2006-08-01,"CUSR0000SERE03",98.5,2023-06-14,2023-06-14
"33",2006-09-01,"CUSR0000SERE03",97.9,2023-06-14,2023-06-14
"34",2006-10-01,"CUSR0000SERE03",98,2023-06-14,2023-06-14
"35",2006-11-01,"CUSR0000SERE03",97.7,2023-06-14,2023-06-14
"36",2006-12-01,"CUSR0000SERE03",97,2023-06-14,2023-06-14
"37",2007-01-01,"CUSR0000SERE03",95.163,2023-06-14,2023-06-14
"38",2007-02-01,"CUSR0000SERE03",95.49,2023-06-14,2023-06-14
"39",2007-03-01,"CUSR0000SERE03",95.016,2023-06-14,2023-06-14
"40",2007-04-01,"CUSR0000SERE03",95.413,2023-06-14,2023-06-14
"41",2007-05-01,"CUSR0000SERE03",95.393,2023-06-14,2023-06-14
"42",2007-06-01,"CUSR0000SERE03",95.077,2023-06-14,2023-06-14
"43",2007-07-01,"CUSR0000SERE03",95.331,2023-06-14,2023-06-14
"44",2007-08-01,"CUSR0000SERE03",95.669,2023-06-14,2023-06-14
"45",2007-09-01,"CUSR0000SERE03",95.269,2023-06-14,2023-06-14
"46",2007-10-01,"CUSR0000SERE03",94.375,2023-06-14,2023-06-14
"47",2007-11-01,"CUSR0000SERE03",94.508,2023-06-14,2023-06-14
"48",2007-12-01,"CUSR0000SERE03",95.018,2023-06-14,2023-06-14
"49",2008-01-01,"CUSR0000SERE03",95.087,2023-06-14,2023-06-14
"50",2008-02-01,"CUSR0000SERE03",95.611,2023-06-14,2023-06-14
"51",2008-03-01,"CUSR0000SERE03",96.143,2023-06-14,2023-06-14
"52",2008-04-01,"CUSR0000SERE03",96.645,2023-06-14,2023-06-14
"53",2008-05-01,"CUSR0000SERE03",96.837,2023-06-14,2023-06-14
"54",2008-06-01,"CUSR0000SERE03",95.899,2023-06-14,2023-06-14
"55",2008-07-01,"CUSR0000SERE03",96.26,2023-06-14,2023-06-14
"56",2008-08-01,"CUSR0000SERE03",96.56,2023-06-14,2023-06-14
"57",2008-09-01,"CUSR0000SERE03",96.49,2023-06-14,2023-06-14
"58",2008-10-01,"CUSR0000SERE03",96.737,2023-06-14,2023-06-14
"59",2008-11-01,"CUSR0000SERE03",96.968,2023-06-14,2023-06-14
"60",2008-12-01,"CUSR0000SERE03",96.68,2023-06-14,2023-06-14
"61",2009-01-01,"CUSR0000SERE03",96.816,2023-06-14,2023-06-14
"62",2009-02-01,"CUSR0000SERE03",96.759,2023-06-14,2023-06-14
"63",2009-03-01,"CUSR0000SERE03",96.737,2023-06-14,2023-06-14
"64",2009-04-01,"CUSR0000SERE03",96.805,2023-06-14,2023-06-14
"65",2009-05-01,"CUSR0000SERE03",97.691,2023-06-14,2023-06-14
"66",2009-06-01,"CUSR0000SERE03",97.316,2023-06-14,2023-06-14
"67",2009-07-01,"CUSR0000SERE03",96.644,2023-06-14,2023-06-14
"68",2009-08-01,"CUSR0000SERE03",97.563,2023-06-14,2023-06-14
"69",2009-09-01,"CUSR0000SERE03",97.705,2023-06-14,2023-06-14
"70",2009-10-01,"CUSR0000SERE03",98.065,2023-06-14,2023-06-14
"71",2009-11-01,"CUSR0000SERE03",98.221,2023-06-14,2023-06-14
"72",2009-12-01,"CUSR0000SERE03",97.671,2023-06-14,2023-06-14
"73",2010-01-01,"CUSR0000SERE03",98.821,2023-06-14,2023-06-14
"74",2010-02-01,"CUSR0000SERE03",98.441,2023-06-14,2023-06-14
"75",2010-03-01,"CUSR0000SERE03",97.75,2023-06-14,2023-06-14
"76",2010-04-01,"CUSR0000SERE03",98.106,2023-06-14,2023-06-14
"77",2010-05-01,"CUSR0000SERE03",97.831,2023-06-14,2023-06-14
"78",2010-06-01,"CUSR0000SERE03",97.559,2023-06-14,2023-06-14
"79",2010-07-01,"CUSR0000SERE03",97.274,2023-06-14,2023-06-14
"80",2010-08-01,"CUSR0000SERE03",97.012,2023-06-14,2023-06-14
"81",2010-09-01,"CUSR0000SERE03",97.711,2023-06-14,2023-06-14
"82",2010-10-01,"CUSR0000SERE03",96.847,2023-06-14,2023-06-14
"83",2010-11-01,"CUSR0000SERE03",96.163,2023-06-14,2023-06-14
"84",2010-12-01,"CUSR0000SERE03",96.452,2023-06-14,2023-06-14
"85",2011-01-01,"CUSR0000SERE03",96.687,2023-06-14,2023-06-14
"86",2011-02-01,"CUSR0000SERE03",95.835,2023-06-14,2023-06-14
"87",2011-03-01,"CUSR0000SERE03",95.923,2023-06-14,2023-06-14
"88",2011-04-01,"CUSR0000SERE03",95.999,2023-06-14,2023-06-14
"89",2011-05-01,"CUSR0000SERE03",95.378,2023-06-14,2023-06-14
"90",2011-06-01,"CUSR0000SERE03",95.018,2023-06-14,2023-06-14
"91",2011-07-01,"CUSR0000SERE03",94.302,2023-06-14,2023-06-14
"92",2011-08-01,"CUSR0000SERE03",94.457,2023-06-14,2023-06-14
"93",2011-09-01,"CUSR0000SERE03",95.567,2023-06-14,2023-06-14
"94",2011-10-01,"CUSR0000SERE03",95.342,2023-06-14,2023-06-14
"95",2011-11-01,"CUSR0000SERE03",95.219,2023-06-14,2023-06-14
"96",2011-12-01,"CUSR0000SERE03",95.271,2023-06-14,2023-06-14
"97",2012-01-01,"CUSR0000SERE03",95.329,2023-06-14,2023-06-14
"98",2012-02-01,"CUSR0000SERE03",95.075,2023-06-14,2023-06-14
"99",2012-03-01,"CUSR0000SERE03",94.838,2023-06-14,2023-06-14
"100",2012-04-01,"CUSR0000SERE03",95.03,2023-06-14,2023-06-14
"101",2012-05-01,"CUSR0000SERE03",95.083,2023-06-14,2023-06-14
