"","date","series_id","value","realtime_start","realtime_end"
"1",1967-01-01,"CUSR0000SETB",26.2,2023-06-14,2023-06-14
"2",1967-02-01,"CUSR0000SETB",26.2,2023-06-14,2023-06-14
"3",1967-03-01,"CUSR0000SETB",26.1,2023-06-14,2023-06-14
"4",1967-04-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"5",1967-05-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"6",1967-06-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"7",1967-07-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"8",1967-08-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"9",1967-09-01,"CUSR0000SETB",26.7,2023-06-14,2023-06-14
"10",1967-10-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"11",1967-11-01,"CUSR0000SETB",26.8,2023-06-14,2023-06-14
"12",1967-12-01,"CUSR0000SETB",26.4,2023-06-14,2023-06-14
"13",1968-01-01,"CUSR0000SETB",26.7,2023-06-14,2023-06-14
"14",1968-02-01,"CUSR0000SETB",26.8,2023-06-14,2023-06-14
"15",1968-03-01,"CUSR0000SETB",26.7,2023-06-14,2023-06-14
"16",1968-04-01,"CUSR0000SETB",26.5,2023-06-14,2023-06-14
"17",1968-05-01,"CUSR0000SETB",26.6,2023-06-14,2023-06-14
"18",1968-06-01,"CUSR0000SETB",26.7,2023-06-14,2023-06-14
"19",1968-07-01,"CUSR0000SETB",26.7,2023-06-14,2023-06-14
"20",1968-08-01,"CUSR0000SETB",27,2023-06-14,2023-06-14
"21",1968-09-01,"CUSR0000SETB",26.8,2023-06-14,2023-06-14
"22",1968-10-01,"CUSR0000SETB",26.9,2023-06-14,2023-06-14
"23",1968-11-01,"CUSR0000SETB",27.1,2023-06-14,2023-06-14
"24",1968-12-01,"CUSR0000SETB",26.8,2023-06-14,2023-06-14
"25",1969-01-01,"CUSR0000SETB",27.1,2023-06-14,2023-06-14
"26",1969-02-01,"CUSR0000SETB",27.2,2023-06-14,2023-06-14
"27",1969-03-01,"CUSR0000SETB",27.6,2023-06-14,2023-06-14
"28",1969-04-01,"CUSR0000SETB",27.9,2023-06-14,2023-06-14
"29",1969-05-01,"CUSR0000SETB",27.8,2023-06-14,2023-06-14
"30",1969-06-01,"CUSR0000SETB",28,2023-06-14,2023-06-14
"31",1969-07-01,"CUSR0000SETB",27.8,2023-06-14,2023-06-14
"32",1969-08-01,"CUSR0000SETB",27.8,2023-06-14,2023-06-14
"33",1969-09-01,"CUSR0000SETB",27.7,2023-06-14,2023-06-14
"34",1969-10-01,"CUSR0000SETB",27.7,2023-06-14,2023-06-14
"35",1969-11-01,"CUSR0000SETB",27.5,2023-06-14,2023-06-14
"36",1969-12-01,"CUSR0000SETB",27.7,2023-06-14,2023-06-14
"37",1970-01-01,"CUSR0000SETB",27.6,2023-06-14,2023-06-14
"38",1970-02-01,"CUSR0000SETB",27.7,2023-06-14,2023-06-14
"39",1970-03-01,"CUSR0000SETB",27.2,2023-06-14,2023-06-14
"40",1970-04-01,"CUSR0000SETB",28.3,2023-06-14,2023-06-14
"41",1970-05-01,"CUSR0000SETB",28.1,2023-06-14,2023-06-14
"42",1970-06-01,"CUSR0000SETB",27.8,2023-06-14,2023-06-14
"43",1970-07-01,"CUSR0000SETB",28,2023-06-14,2023-06-14
"44",1970-08-01,"CUSR0000SETB",27.5,2023-06-14,2023-06-14
