"","date","series_id","value","realtime_start","realtime_end"
"1",1991-01-01,"CUSR0000SETC",101.6,2023-06-14,2023-06-14
"2",1991-02-01,"CUSR0000SETC",101.7,2023-06-14,2023-06-14
"3",1991-03-01,"CUSR0000SETC",101.3,2023-06-14,2023-06-14
"4",1991-04-01,"CUSR0000SETC",101.3,2023-06-14,2023-06-14
"5",1991-05-01,"CUSR0000SETC",101.7,2023-06-14,2023-06-14
"6",1991-06-01,"CUSR0000SETC",101.7,2023-06-14,2023-06-14
"7",1991-07-01,"CUSR0000SETC",102.7,2023-06-14,2023-06-14
"8",1991-08-01,"CUSR0000SETC",102.5,2023-06-14,2023-06-14
"9",1991-09-01,"CUSR0000SETC",102.5,2023-06-14,2023-06-14
"10",1991-10-01,"CUSR0000SETC",102.7,2023-06-14,2023-06-14
"11",1991-11-01,"CUSR0000SETC",102.9,2023-06-14,2023-06-14
"12",1991-12-01,"CUSR0000SETC",103.2,2023-06-14,2023-06-14
"13",1992-01-01,"CUSR0000SETC",103.1,2023-06-14,2023-06-14
"14",1992-02-01,"CUSR0000SETC",103,2023-06-14,2023-06-14
"15",1992-03-01,"CUSR0000SETC",103.4,2023-06-14,2023-06-14
"16",1992-04-01,"CUSR0000SETC",103.2,2023-06-14,2023-06-14
"17",1992-05-01,"CUSR0000SETC",103.1,2023-06-14,2023-06-14
"18",1992-06-01,"CUSR0000SETC",103.2,2023-06-14,2023-06-14
"19",1992-07-01,"CUSR0000SETC",103,2023-06-14,2023-06-14
"20",1992-08-01,"CUSR0000SETC",103.1,2023-06-14,2023-06-14
"21",1992-09-01,"CUSR0000SETC",103.2,2023-06-14,2023-06-14
"22",1992-10-01,"CUSR0000SETC",103,2023-06-14,2023-06-14
"23",1992-11-01,"CUSR0000SETC",102.8,2023-06-14,2023-06-14
"24",1992-12-01,"CUSR0000SETC",102.6,2023-06-14,2023-06-14
"25",1993-01-01,"CUSR0000SETC",102.8,2023-06-14,2023-06-14
"26",1993-02-01,"CUSR0000SETC",102.5,2023-06-14,2023-06-14
"27",1993-03-01,"CUSR0000SETC",102.1,2023-06-14,2023-06-14
"28",1993-04-01,"CUSR0000SETC",102.2,2023-06-14,2023-06-14
"29",1993-05-01,"CUSR0000SETC",101.9,2023-06-14,2023-06-14
"30",1993-06-01,"CUSR0000SETC",101.5,2023-06-14,2023-06-14
"31",1993-07-01,"CUSR0000SETC",101.4,2023-06-14,2023-06-14
"32",1993-08-01,"CUSR0000SETC",101,2023-06-14,2023-06-14
"33",1993-09-01,"CUSR0000SETC",101.2,2023-06-14,2023-06-14
"34",1993-10-01,"CUSR0000SETC",101,2023-06-14,2023-06-14
"35",1993-11-01,"CUSR0000SETC",100.7,2023-06-14,2023-06-14
"36",1993-12-01,"CUSR0000SETC",101.1,2023-06-14,2023-06-14
"37",1994-01-01,"CUSR0000SETC",101.2,2023-06-14,2023-06-14
"38",1994-02-01,"CUSR0000SETC",101.2,2023-06-14,2023-06-14
"39",1994-03-01,"CUSR0000SETC",101.4,2023-06-14,2023-06-14
"40",1994-04-01,"CUSR0000SETC",101.4,2023-06-14,2023-06-14
"41",1994-05-01,"CUSR0000SETC",101.5,2023-06-14,2023-06-14
"42",1994-06-01,"CUSR0000SETC",101.8,2023-06-14,2023-06-14
"43",1994-07-01,"CUSR0000SETC",101.4,2023-06-14,2023-06-14
"44",1994-08-01,"CUSR0000SETC",101.4,2023-06-14,2023-06-14
