"","date","series_id","value","realtime_start","realtime_end"
"1",2002-01-01,"CUSR0000SS61031",105.7,2023-06-14,2023-06-14
"2",2002-02-01,"CUSR0000SS61031",105.7,2023-06-14,2023-06-14
"3",2002-03-01,"CUSR0000SS61031",105.7,2023-06-14,2023-06-14
"4",2002-04-01,"CUSR0000SS61031",105.7,2023-06-14,2023-06-14
"5",2002-05-01,"CUSR0000SS61031",106,2023-06-14,2023-06-14
"6",2002-06-01,"CUSR0000SS61031",105.9,2023-06-14,2023-06-14
"7",2002-07-01,"CUSR0000SS61031",106.2,2023-06-14,2023-06-14
"8",2002-08-01,"CUSR0000SS61031",106.4,2023-06-14,2023-06-14
"9",2002-09-01,"CUSR0000SS61031",106.5,2023-06-14,2023-06-14
"10",2002-10-01,"CUSR0000SS61031",106.1,2023-06-14,2023-06-14
"11",2002-11-01,"CUSR0000SS61031",106.1,2023-06-14,2023-06-14
"12",2002-12-01,"CUSR0000SS61031",105.9,2023-06-14,2023-06-14
"13",2003-01-01,"CUSR0000SS61031",106.5,2023-06-14,2023-06-14
"14",2003-02-01,"CUSR0000SS61031",106.4,2023-06-14,2023-06-14
"15",2003-03-01,"CUSR0000SS61031",106.5,2023-06-14,2023-06-14
"16",2003-04-01,"CUSR0000SS61031",106.5,2023-06-14,2023-06-14
"17",2003-05-01,"CUSR0000SS61031",105.7,2023-06-14,2023-06-14
"18",2003-06-01,"CUSR0000SS61031",106.2,2023-06-14,2023-06-14
"19",2003-07-01,"CUSR0000SS61031",106.9,2023-06-14,2023-06-14
"20",2003-08-01,"CUSR0000SS61031",106.9,2023-06-14,2023-06-14
"21",2003-09-01,"CUSR0000SS61031",106.8,2023-06-14,2023-06-14
"22",2003-10-01,"CUSR0000SS61031",106.9,2023-06-14,2023-06-14
"23",2003-11-01,"CUSR0000SS61031",107.5,2023-06-14,2023-06-14
"24",2003-12-01,"CUSR0000SS61031",107.9,2023-06-14,2023-06-14
"25",2004-01-01,"CUSR0000SS61031",108.5,2023-06-14,2023-06-14
"26",2004-02-01,"CUSR0000SS61031",109,2023-06-14,2023-06-14
"27",2004-03-01,"CUSR0000SS61031",109.5,2023-06-14,2023-06-14
"28",2004-04-01,"CUSR0000SS61031",110.9,2023-06-14,2023-06-14
"29",2004-05-01,"CUSR0000SS61031",111,2023-06-14,2023-06-14
"30",2004-06-01,"CUSR0000SS61031",110.9,2023-06-14,2023-06-14
"31",2004-07-01,"CUSR0000SS61031",110.6,2023-06-14,2023-06-14
"32",2004-08-01,"CUSR0000SS61031",109.9,2023-06-14,2023-06-14
"33",2004-09-01,"CUSR0000SS61031",110.6,2023-06-14,2023-06-14
"34",2004-10-01,"CUSR0000SS61031",110.8,2023-06-14,2023-06-14
"35",2004-11-01,"CUSR0000SS61031",110.7,2023-06-14,2023-06-14
"36",2004-12-01,"CUSR0000SS61031",111.2,2023-06-14,2023-06-14
"37",2005-01-01,"CUSR0000SS61031",110.4,2023-06-14,2023-06-14
"38",2005-02-01,"CUSR0000SS61031",109.9,2023-06-14,2023-06-14
"39",2005-03-01,"CUSR0000SS61031",110,2023-06-14,2023-06-14
"40",2005-04-01,"CUSR0000SS61031",110.4,2023-06-14,2023-06-14
"41",2005-05-01,"CUSR0000SS61031",110.9,2023-06-14,2023-06-14
"42",2005-06-01,"CUSR0000SS61031",111,2023-06-14,2023-06-14
"43",2005-07-01,"CUSR0000SS61031",110.8,2023-06-14,2023-06-14
"44",2005-08-01,"CUSR0000SS61031",110.7,2023-06-14,2023-06-14
"45",2005-09-01,"CUSR0000SS61031",110.5,2023-06-14,2023-06-14
"46",2005-10-01,"CUSR0000SS61031",110.4,2023-06-14,2023-06-14
"47",2005-11-01,"CUSR0000SS61031",111.3,2023-06-14,2023-06-14
"48",2005-12-01,"CUSR0000SS61031",112.4,2023-06-14,2023-06-14
"49",2006-01-01,"CUSR0000SS61031",112.5,2023-06-14,2023-06-14
"50",2006-02-01,"CUSR0000SS61031",112.5,2023-06-14,2023-06-14
"51",2006-03-01,"CUSR0000SS61031",112.3,2023-06-14,2023-06-14
"52",2006-04-01,"CUSR0000SS61031",115.2,2023-06-14,2023-06-14
"53",2006-05-01,"CUSR0000SS61031",116.4,2023-06-14,2023-06-14
"54",2006-06-01,"CUSR0000SS61031",116.8,2023-06-14,2023-06-14
"55",2006-07-01,"CUSR0000SS61031",116.9,2023-06-14,2023-06-14
"56",2006-08-01,"CUSR0000SS61031",117.3,2023-06-14,2023-06-14
"57",2006-09-01,"CUSR0000SS61031",117.3,2023-06-14,2023-06-14
"58",2006-10-01,"CUSR0000SS61031",116.7,2023-06-14,2023-06-14
"59",2006-11-01,"CUSR0000SS61031",116.3,2023-06-14,2023-06-14
"60",2006-12-01,"CUSR0000SS61031",116.2,2023-06-14,2023-06-14
"61",2007-01-01,"CUSR0000SS61031",116.744,2023-06-14,2023-06-14
"62",2007-02-01,"CUSR0000SS61031",117.607,2023-06-14,2023-06-14
"63",2007-03-01,"CUSR0000SS61031",117.56,2023-06-14,2023-06-14
"64",2007-04-01,"CUSR0000SS61031",117.597,2023-06-14,2023-06-14
"65",2007-05-01,"CUSR0000SS61031",117.831,2023-06-14,2023-06-14
"66",2007-06-01,"CUSR0000SS61031",119.015,2023-06-14,2023-06-14
"67",2007-07-01,"CUSR0000SS61031",119.541,2023-06-14,2023-06-14
"68",2007-08-01,"CUSR0000SS61031",119.861,2023-06-14,2023-06-14
"69",2007-09-01,"CUSR0000SS61031",121.051,2023-06-14,2023-06-14
"70",2007-10-01,"CUSR0000SS61031",121.795,2023-06-14,2023-06-14
"71",2007-11-01,"CUSR0000SS61031",121.755,2023-06-14,2023-06-14
"72",2007-12-01,"CUSR0000SS61031",122.446,2023-06-14,2023-06-14
"73",2008-01-01,"CUSR0000SS61031",122.744,2023-06-14,2023-06-14
"74",2008-02-01,"CUSR0000SS61031",124.363,2023-06-14,2023-06-14
"75",2008-03-01,"CUSR0000SS61031",127.029,2023-06-14,2023-06-14
"76",2008-04-01,"CUSR0000SS61031",128.14,2023-06-14,2023-06-14
"77",2008-05-01,"CUSR0000SS61031",129.026,2023-06-14,2023-06-14
"78",2008-06-01,"CUSR0000SS61031",130.699,2023-06-14,2023-06-14
"79",2008-07-01,"CUSR0000SS61031",133.66,2023-06-14,2023-06-14
"80",2008-08-01,"CUSR0000SS61031",135.863,2023-06-14,2023-06-14
"81",2008-09-01,"CUSR0000SS61031",138.135,2023-06-14,2023-06-14
"82",2008-10-01,"CUSR0000SS61031",139.613,2023-06-14,2023-06-14
"83",2008-11-01,"CUSR0000SS61031",140.737,2023-06-14,2023-06-14
"84",2008-12-01,"CUSR0000SS61031",141.485,2023-06-14,2023-06-14
"85",2009-01-01,"CUSR0000SS61031",142.499,2023-06-14,2023-06-14
"86",2009-02-01,"CUSR0000SS61031",143.32,2023-06-14,2023-06-14
"87",2009-03-01,"CUSR0000SS61031",143.76,2023-06-14,2023-06-14
"88",2009-04-01,"CUSR0000SS61031",143.981,2023-06-14,2023-06-14
"89",2009-05-01,"CUSR0000SS61031",143.863,2023-06-14,2023-06-14
"90",2009-06-01,"CUSR0000SS61031",144.283,2023-06-14,2023-06-14
"91",2009-07-01,"CUSR0000SS61031",144.892,2023-06-14,2023-06-14
"92",2009-08-01,"CUSR0000SS61031",144.69,2023-06-14,2023-06-14
"93",2009-09-01,"CUSR0000SS61031",144.721,2023-06-14,2023-06-14
"94",2009-10-01,"CUSR0000SS61031",143.904,2023-06-14,2023-06-14
"95",2009-11-01,"CUSR0000SS61031",143.451,2023-06-14,2023-06-14
"96",2009-12-01,"CUSR0000SS61031",142.867,2023-06-14,2023-06-14
"97",2010-01-01,"CUSR0000SS61031",143.085,2023-06-14,2023-06-14
"98",2010-02-01,"CUSR0000SS61031",143.793,2023-06-14,2023-06-14
"99",2010-03-01,"CUSR0000SS61031",144.312,2023-06-14,2023-06-14
