"","date","series_id","value","realtime_start","realtime_end"
"1",1947-01-01,"CWSR0000SA0L1",21.2,2023-06-14,2023-06-14
"2",1947-02-01,"CWSR0000SA0L1",21.3,2023-06-14,2023-06-14
"3",1947-03-01,"CWSR0000SA0L1",21.4,2023-06-14,2023-06-14
"4",1947-04-01,"CWSR0000SA0L1",21.5,2023-06-14,2023-06-14
"5",1947-05-01,"CWSR0000SA0L1",21.6,2023-06-14,2023-06-14
"6",1947-06-01,"CWSR0000SA0L1",21.7,2023-06-14,2023-06-14
"7",1947-07-01,"CWSR0000SA0L1",21.8,2023-06-14,2023-06-14
"8",1947-08-01,"CWSR0000SA0L1",21.9,2023-06-14,2023-06-14
"9",1947-09-01,"CWSR0000SA0L1",22.1,2023-06-14,2023-06-14
"10",1947-10-01,"CWSR0000SA0L1",22.2,2023-06-14,2023-06-14
"11",1947-11-01,"CWSR0000SA0L1",22.4,2023-06-14,2023-06-14
"12",1947-12-01,"CWSR0000SA0L1",22.5,2023-06-14,2023-06-14
"13",1948-01-01,"CWSR0000SA0L1",22.7,2023-06-14,2023-06-14
"14",1948-02-01,"CWSR0000SA0L1",22.9,2023-06-14,2023-06-14
"15",1948-03-01,"CWSR0000SA0L1",22.9,2023-06-14,2023-06-14
"16",1948-04-01,"CWSR0000SA0L1",23.1,2023-06-14,2023-06-14
"17",1948-05-01,"CWSR0000SA0L1",23.2,2023-06-14,2023-06-14
"18",1948-06-01,"CWSR0000SA0L1",23.3,2023-06-14,2023-06-14
"19",1948-07-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"20",1948-08-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"21",1948-09-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"22",1948-10-01,"CWSR0000SA0L1",23.8,2023-06-14,2023-06-14
"23",1948-11-01,"CWSR0000SA0L1",23.8,2023-06-14,2023-06-14
"24",1948-12-01,"CWSR0000SA0L1",23.8,2023-06-14,2023-06-14
"25",1949-01-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"26",1949-02-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"27",1949-03-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"28",1949-04-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"29",1949-05-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"30",1949-06-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"31",1949-07-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"32",1949-08-01,"CWSR0000SA0L1",23.5,2023-06-14,2023-06-14
"33",1949-09-01,"CWSR0000SA0L1",23.5,2023-06-14,2023-06-14
"34",1949-10-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"35",1949-11-01,"CWSR0000SA0L1",23.5,2023-06-14,2023-06-14
"36",1949-12-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"37",1950-01-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"38",1950-02-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"39",1950-03-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"40",1950-04-01,"CWSR0000SA0L1",23.6,2023-06-14,2023-06-14
"41",1950-05-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"42",1950-06-01,"CWSR0000SA0L1",23.7,2023-06-14,2023-06-14
"43",1950-07-01,"CWSR0000SA0L1",23.8,2023-06-14,2023-06-14
"44",1950-08-01,"CWSR0000SA0L1",23.9,2023-06-14,2023-06-14
"45",1950-09-01,"CWSR0000SA0L1",24.1,2023-06-14,2023-06-14
"46",1950-10-01,"CWSR0000SA0L1",24.2,2023-06-14,2023-06-14
"47",1950-11-01,"CWSR0000SA0L1",24.4,2023-06-14,2023-06-14
"48",1950-12-01,"CWSR0000SA0L1",24.6,2023-06-14,2023-06-14
"49",1951-01-01,"CWSR0000SA0L1",24.9,2023-06-14,2023-06-14
"50",1951-02-01,"CWSR0000SA0L1",25.1,2023-06-14,2023-06-14
"51",1951-03-01,"CWSR0000SA0L1",25.2,2023-06-14,2023-06-14
"52",1951-04-01,"CWSR0000SA0L1",25.3,2023-06-14,2023-06-14
"53",1951-05-01,"CWSR0000SA0L1",25.4,2023-06-14,2023-06-14
"54",1951-06-01,"CWSR0000SA0L1",25.4,2023-06-14,2023-06-14
"55",1951-07-01,"CWSR0000SA0L1",25.5,2023-06-14,2023-06-14
"56",1951-08-01,"CWSR0000SA0L1",25.5,2023-06-14,2023-06-14
"57",1951-09-01,"CWSR0000SA0L1",25.6,2023-06-14,2023-06-14
"58",1951-10-01,"CWSR0000SA0L1",25.6,2023-06-14,2023-06-14
"59",1951-11-01,"CWSR0000SA0L1",25.7,2023-06-14,2023-06-14
"60",1951-12-01,"CWSR0000SA0L1",25.8,2023-06-14,2023-06-14
"61",1952-01-01,"CWSR0000SA0L1",25.8,2023-06-14,2023-06-14
"62",1952-02-01,"CWSR0000SA0L1",25.8,2023-06-14,2023-06-14
"63",1952-03-01,"CWSR0000SA0L1",25.9,2023-06-14,2023-06-14
"64",1952-04-01,"CWSR0000SA0L1",25.9,2023-06-14,2023-06-14
"65",1952-05-01,"CWSR0000SA0L1",26,2023-06-14,2023-06-14
"66",1952-06-01,"CWSR0000SA0L1",26.1,2023-06-14,2023-06-14
"67",1952-07-01,"CWSR0000SA0L1",26.1,2023-06-14,2023-06-14
"68",1952-08-01,"CWSR0000SA0L1",26.1,2023-06-14,2023-06-14
"69",1952-09-01,"CWSR0000SA0L1",26.1,2023-06-14,2023-06-14
"70",1952-10-01,"CWSR0000SA0L1",26.1,2023-06-14,2023-06-14
"71",1952-11-01,"CWSR0000SA0L1",26.2,2023-06-14,2023-06-14
"72",1952-12-01,"CWSR0000SA0L1",26.2,2023-06-14,2023-06-14
"73",1953-01-01,"CWSR0000SA0L1",26.2,2023-06-14,2023-06-14
"74",1953-02-01,"CWSR0000SA0L1",26.3,2023-06-14,2023-06-14
"75",1953-03-01,"CWSR0000SA0L1",26.4,2023-06-14,2023-06-14
"76",1953-04-01,"CWSR0000SA0L1",26.5,2023-06-14,2023-06-14
"77",1953-05-01,"CWSR0000SA0L1",26.5,2023-06-14,2023-06-14
"78",1953-06-01,"CWSR0000SA0L1",26.6,2023-06-14,2023-06-14
"79",1953-07-01,"CWSR0000SA0L1",26.6,2023-06-14,2023-06-14
"80",1953-08-01,"CWSR0000SA0L1",26.6,2023-06-14,2023-06-14
"81",1953-09-01,"CWSR0000SA0L1",26.7,2023-06-14,2023-06-14
"82",1953-10-01,"CWSR0000SA0L1",26.7,2023-06-14,2023-06-14
"83",1953-11-01,"CWSR0000SA0L1",26.7,2023-06-14,2023-06-14
