"","date","series_id","value","realtime_start","realtime_end"
"1",2006-01-01,"CWSR0000SAE21",84.6,2023-06-14,2023-06-14
"2",2006-02-01,"CWSR0000SAE21",84.5,2023-06-14,2023-06-14
"3",2006-03-01,"CWSR0000SAE21",84.4,2023-06-14,2023-06-14
"4",2006-04-01,"CWSR0000SAE21",84.5,2023-06-14,2023-06-14
"5",2006-05-01,"CWSR0000SAE21",84.3,2023-06-14,2023-06-14
"6",2006-06-01,"CWSR0000SAE21",84.4,2023-06-14,2023-06-14
"7",2006-07-01,"CWSR0000SAE21",84.5,2023-06-14,2023-06-14
"8",2006-08-01,"CWSR0000SAE21",84.5,2023-06-14,2023-06-14
"9",2006-09-01,"CWSR0000SAE21",84.4,2023-06-14,2023-06-14
"10",2006-10-01,"CWSR0000SAE21",84.4,2023-06-14,2023-06-14
"11",2006-11-01,"CWSR0000SAE21",83.7,2023-06-14,2023-06-14
"12",2006-12-01,"CWSR0000SAE21",83.6,2023-06-14,2023-06-14
"13",2007-01-01,"CWSR0000SAE21",83.231,2023-06-14,2023-06-14
"14",2007-02-01,"CWSR0000SAE21",83.319,2023-06-14,2023-06-14
"15",2007-03-01,"CWSR0000SAE21",83.599,2023-06-14,2023-06-14
"16",2007-04-01,"CWSR0000SAE21",83.702,2023-06-14,2023-06-14
"17",2007-05-01,"CWSR0000SAE21",84.287,2023-06-14,2023-06-14
"18",2007-06-01,"CWSR0000SAE21",84.114,2023-06-14,2023-06-14
"19",2007-07-01,"CWSR0000SAE21",84.126,2023-06-14,2023-06-14
"20",2007-08-01,"CWSR0000SAE21",84.262,2023-06-14,2023-06-14
"21",2007-09-01,"CWSR0000SAE21",84.309,2023-06-14,2023-06-14
"22",2007-10-01,"CWSR0000SAE21",84.303,2023-06-14,2023-06-14
"23",2007-11-01,"CWSR0000SAE21",83.923,2023-06-14,2023-06-14
"24",2007-12-01,"CWSR0000SAE21",83.949,2023-06-14,2023-06-14
"25",2008-01-01,"CWSR0000SAE21",83.993,2023-06-14,2023-06-14
"26",2008-02-01,"CWSR0000SAE21",83.961,2023-06-14,2023-06-14
"27",2008-03-01,"CWSR0000SAE21",84.035,2023-06-14,2023-06-14
"28",2008-04-01,"CWSR0000SAE21",84.25,2023-06-14,2023-06-14
"29",2008-05-01,"CWSR0000SAE21",84.49,2023-06-14,2023-06-14
"30",2008-06-01,"CWSR0000SAE21",85.03,2023-06-14,2023-06-14
"31",2008-07-01,"CWSR0000SAE21",85.492,2023-06-14,2023-06-14
"32",2008-08-01,"CWSR0000SAE21",85.374,2023-06-14,2023-06-14
"33",2008-09-01,"CWSR0000SAE21",85.247,2023-06-14,2023-06-14
"34",2008-10-01,"CWSR0000SAE21",85.24,2023-06-14,2023-06-14
"35",2008-11-01,"CWSR0000SAE21",85.32,2023-06-14,2023-06-14
