"","date","series_id","value","realtime_start","realtime_end"
"1",1999-01-01,"CWSR0000SAG1",159.2,2023-06-14,2023-06-14
"2",1999-02-01,"CWSR0000SAG1",159.6,2023-06-14,2023-06-14
"3",1999-03-01,"CWSR0000SAG1",160.1,2023-06-14,2023-06-14
"4",1999-04-01,"CWSR0000SAG1",160.3,2023-06-14,2023-06-14
"5",1999-05-01,"CWSR0000SAG1",160.6,2023-06-14,2023-06-14
"6",1999-06-01,"CWSR0000SAG1",161.1,2023-06-14,2023-06-14
"7",1999-07-01,"CWSR0000SAG1",161.4,2023-06-14,2023-06-14
"8",1999-08-01,"CWSR0000SAG1",161.7,2023-06-14,2023-06-14
"9",1999-09-01,"CWSR0000SAG1",162,2023-06-14,2023-06-14
"10",1999-10-01,"CWSR0000SAG1",162.6,2023-06-14,2023-06-14
"11",1999-11-01,"CWSR0000SAG1",163,2023-06-14,2023-06-14
"12",1999-12-01,"CWSR0000SAG1",163.4,2023-06-14,2023-06-14
"13",2000-01-01,"CWSR0000SAG1",163.5,2023-06-14,2023-06-14
"14",2000-02-01,"CWSR0000SAG1",163.9,2023-06-14,2023-06-14
"15",2000-03-01,"CWSR0000SAG1",164.1,2023-06-14,2023-06-14
"16",2000-04-01,"CWSR0000SAG1",164.5,2023-06-14,2023-06-14
"17",2000-05-01,"CWSR0000SAG1",164.8,2023-06-14,2023-06-14
"18",2000-06-01,"CWSR0000SAG1",165.1,2023-06-14,2023-06-14
"19",2000-07-01,"CWSR0000SAG1",165.5,2023-06-14,2023-06-14
"20",2000-08-01,"CWSR0000SAG1",166.2,2023-06-14,2023-06-14
"21",2000-09-01,"CWSR0000SAG1",166.6,2023-06-14,2023-06-14
"22",2000-10-01,"CWSR0000SAG1",166.8,2023-06-14,2023-06-14
"23",2000-11-01,"CWSR0000SAG1",167.1,2023-06-14,2023-06-14
"24",2000-12-01,"CWSR0000SAG1",168,2023-06-14,2023-06-14
"25",2001-01-01,"CWSR0000SAG1",168.2,2023-06-14,2023-06-14
"26",2001-02-01,"CWSR0000SAG1",168.5,2023-06-14,2023-06-14
"27",2001-03-01,"CWSR0000SAG1",168.8,2023-06-14,2023-06-14
"28",2001-04-01,"CWSR0000SAG1",169.2,2023-06-14,2023-06-14
"29",2001-05-01,"CWSR0000SAG1",169.2,2023-06-14,2023-06-14
"30",2001-06-01,"CWSR0000SAG1",169.8,2023-06-14,2023-06-14
"31",2001-07-01,"CWSR0000SAG1",170.6,2023-06-14,2023-06-14
"32",2001-08-01,"CWSR0000SAG1",171,2023-06-14,2023-06-14
"33",2001-09-01,"CWSR0000SAG1",171.5,2023-06-14,2023-06-14
"34",2001-10-01,"CWSR0000SAG1",171.9,2023-06-14,2023-06-14
"35",2001-11-01,"CWSR0000SAG1",172.4,2023-06-14,2023-06-14
"36",2001-12-01,"CWSR0000SAG1",172.6,2023-06-14,2023-06-14
"37",2002-01-01,"CWSR0000SAG1",172.8,2023-06-14,2023-06-14
"38",2002-02-01,"CWSR0000SAG1",173.2,2023-06-14,2023-06-14
"39",2002-03-01,"CWSR0000SAG1",173.5,2023-06-14,2023-06-14
"40",2002-04-01,"CWSR0000SAG1",173.7,2023-06-14,2023-06-14
"41",2002-05-01,"CWSR0000SAG1",173.9,2023-06-14,2023-06-14
"42",2002-06-01,"CWSR0000SAG1",174.4,2023-06-14,2023-06-14
"43",2002-07-01,"CWSR0000SAG1",174.3,2023-06-14,2023-06-14
"44",2002-08-01,"CWSR0000SAG1",174.4,2023-06-14,2023-06-14
"45",2002-09-01,"CWSR0000SAG1",174.5,2023-06-14,2023-06-14
"46",2002-10-01,"CWSR0000SAG1",174.8,2023-06-14,2023-06-14
"47",2002-11-01,"CWSR0000SAG1",175,2023-06-14,2023-06-14
"48",2002-12-01,"CWSR0000SAG1",174.9,2023-06-14,2023-06-14
"49",2003-01-01,"CWSR0000SAG1",175.4,2023-06-14,2023-06-14
"50",2003-02-01,"CWSR0000SAG1",175.6,2023-06-14,2023-06-14
"51",2003-03-01,"CWSR0000SAG1",175.9,2023-06-14,2023-06-14
"52",2003-04-01,"CWSR0000SAG1",176.4,2023-06-14,2023-06-14
"53",2003-05-01,"CWSR0000SAG1",176.7,2023-06-14,2023-06-14
"54",2003-06-01,"CWSR0000SAG1",177.1,2023-06-14,2023-06-14
"55",2003-07-01,"CWSR0000SAG1",177.4,2023-06-14,2023-06-14
"56",2003-08-01,"CWSR0000SAG1",177.6,2023-06-14,2023-06-14
"57",2003-09-01,"CWSR0000SAG1",178,2023-06-14,2023-06-14
"58",2003-10-01,"CWSR0000SAG1",178,2023-06-14,2023-06-14
"59",2003-11-01,"CWSR0000SAG1",177.9,2023-06-14,2023-06-14
"60",2003-12-01,"CWSR0000SAG1",178,2023-06-14,2023-06-14
"61",2004-01-01,"CWSR0000SAG1",178.6,2023-06-14,2023-06-14
"62",2004-02-01,"CWSR0000SAG1",179,2023-06-14,2023-06-14
"63",2004-03-01,"CWSR0000SAG1",179.5,2023-06-14,2023-06-14
"64",2004-04-01,"CWSR0000SAG1",179.8,2023-06-14,2023-06-14
"65",2004-05-01,"CWSR0000SAG1",179.9,2023-06-14,2023-06-14
"66",2004-06-01,"CWSR0000SAG1",179.7,2023-06-14,2023-06-14
"67",2004-07-01,"CWSR0000SAG1",180.2,2023-06-14,2023-06-14
"68",2004-08-01,"CWSR0000SAG1",180.7,2023-06-14,2023-06-14
"69",2004-09-01,"CWSR0000SAG1",181.1,2023-06-14,2023-06-14
"70",2004-10-01,"CWSR0000SAG1",181.5,2023-06-14,2023-06-14
"71",2004-11-01,"CWSR0000SAG1",181.9,2023-06-14,2023-06-14
"72",2004-12-01,"CWSR0000SAG1",182.2,2023-06-14,2023-06-14
"73",2005-01-01,"CWSR0000SAG1",182.3,2023-06-14,2023-06-14
"74",2005-02-01,"CWSR0000SAG1",182.8,2023-06-14,2023-06-14
"75",2005-03-01,"CWSR0000SAG1",182.7,2023-06-14,2023-06-14
"76",2005-04-01,"CWSR0000SAG1",182.9,2023-06-14,2023-06-14
"77",2005-05-01,"CWSR0000SAG1",183.5,2023-06-14,2023-06-14
"78",2005-06-01,"CWSR0000SAG1",183.7,2023-06-14,2023-06-14
"79",2005-07-01,"CWSR0000SAG1",184.6,2023-06-14,2023-06-14
"80",2005-08-01,"CWSR0000SAG1",184.7,2023-06-14,2023-06-14
"81",2005-09-01,"CWSR0000SAG1",184.6,2023-06-14,2023-06-14
"82",2005-10-01,"CWSR0000SAG1",184.8,2023-06-14,2023-06-14
"83",2005-11-01,"CWSR0000SAG1",185.3,2023-06-14,2023-06-14
"84",2005-12-01,"CWSR0000SAG1",186.1,2023-06-14,2023-06-14
"85",2006-01-01,"CWSR0000SAG1",186.4,2023-06-14,2023-06-14
"86",2006-02-01,"CWSR0000SAG1",186.7,2023-06-14,2023-06-14
"87",2006-03-01,"CWSR0000SAG1",186.9,2023-06-14,2023-06-14
"88",2006-04-01,"CWSR0000SAG1",186.9,2023-06-14,2023-06-14
"89",2006-05-01,"CWSR0000SAG1",187,2023-06-14,2023-06-14
