"","date","series_id","value","realtime_start","realtime_end"
"1",1983-01-01,"CWSR0000SASL5",97.8,2023-06-14,2023-06-14
"2",1983-02-01,"CWSR0000SASL5",98.3,2023-06-14,2023-06-14
"3",1983-03-01,"CWSR0000SASL5",98.7,2023-06-14,2023-06-14
"4",1983-04-01,"CWSR0000SASL5",98.9,2023-06-14,2023-06-14
"5",1983-05-01,"CWSR0000SASL5",98.7,2023-06-14,2023-06-14
"6",1983-06-01,"CWSR0000SASL5",98.8,2023-06-14,2023-06-14
"7",1983-07-01,"CWSR0000SASL5",98.9,2023-06-14,2023-06-14
"8",1983-08-01,"CWSR0000SASL5",99.3,2023-06-14,2023-06-14
"9",1983-09-01,"CWSR0000SASL5",99.7,2023-06-14,2023-06-14
"10",1983-10-01,"CWSR0000SASL5",100.2,2023-06-14,2023-06-14
"11",1983-11-01,"CWSR0000SASL5",100.6,2023-06-14,2023-06-14
"12",1983-12-01,"CWSR0000SASL5",101,2023-06-14,2023-06-14
"13",1984-01-01,"CWSR0000SASL5",101.3,2023-06-14,2023-06-14
"14",1984-02-01,"CWSR0000SASL5",101.5,2023-06-14,2023-06-14
"15",1984-03-01,"CWSR0000SASL5",101.6,2023-06-14,2023-06-14
"16",1984-04-01,"CWSR0000SASL5",101.5,2023-06-14,2023-06-14
"17",1984-05-01,"CWSR0000SASL5",102.3,2023-06-14,2023-06-14
"18",1984-06-01,"CWSR0000SASL5",102.5,2023-06-14,2023-06-14
"19",1984-07-01,"CWSR0000SASL5",103.2,2023-06-14,2023-06-14
"20",1984-08-01,"CWSR0000SASL5",104.8,2023-06-14,2023-06-14
"21",1984-09-01,"CWSR0000SASL5",105.6,2023-06-14,2023-06-14
"22",1984-10-01,"CWSR0000SASL5",105.5,2023-06-14,2023-06-14
"23",1984-11-01,"CWSR0000SASL5",105.7,2023-06-14,2023-06-14
"24",1984-12-01,"CWSR0000SASL5",106.3,2023-06-14,2023-06-14
"25",1985-01-01,"CWSR0000SASL5",106.6,2023-06-14,2023-06-14
"26",1985-02-01,"CWSR0000SASL5",107.1,2023-06-14,2023-06-14
"27",1985-03-01,"CWSR0000SASL5",107.6,2023-06-14,2023-06-14
"28",1985-04-01,"CWSR0000SASL5",108,2023-06-14,2023-06-14
"29",1985-05-01,"CWSR0000SASL5",108.5,2023-06-14,2023-06-14
"30",1985-06-01,"CWSR0000SASL5",108.9,2023-06-14,2023-06-14
"31",1985-07-01,"CWSR0000SASL5",109.4,2023-06-14,2023-06-14
"32",1985-08-01,"CWSR0000SASL5",109.5,2023-06-14,2023-06-14
"33",1985-09-01,"CWSR0000SASL5",109.7,2023-06-14,2023-06-14
"34",1985-10-01,"CWSR0000SASL5",110.2,2023-06-14,2023-06-14
"35",1985-11-01,"CWSR0000SASL5",110.9,2023-06-14,2023-06-14
"36",1985-12-01,"CWSR0000SASL5",111.4,2023-06-14,2023-06-14
"37",1986-01-01,"CWSR0000SASL5",111.8,2023-06-14,2023-06-14
"38",1986-02-01,"CWSR0000SASL5",112.3,2023-06-14,2023-06-14
"39",1986-03-01,"CWSR0000SASL5",112.9,2023-06-14,2023-06-14
"40",1986-04-01,"CWSR0000SASL5",113.4,2023-06-14,2023-06-14
"41",1986-05-01,"CWSR0000SASL5",113.6,2023-06-14,2023-06-14
"42",1986-06-01,"CWSR0000SASL5",114,2023-06-14,2023-06-14
"43",1986-07-01,"CWSR0000SASL5",114.3,2023-06-14,2023-06-14
"44",1986-08-01,"CWSR0000SASL5",114.4,2023-06-14,2023-06-14
"45",1986-09-01,"CWSR0000SASL5",114.7,2023-06-14,2023-06-14
"46",1986-10-01,"CWSR0000SASL5",115,2023-06-14,2023-06-14
"47",1986-11-01,"CWSR0000SASL5",115.3,2023-06-14,2023-06-14
"48",1986-12-01,"CWSR0000SASL5",115.7,2023-06-14,2023-06-14
"49",1987-01-01,"CWSR0000SASL5",116,2023-06-14,2023-06-14
"50",1987-02-01,"CWSR0000SASL5",116.4,2023-06-14,2023-06-14
"51",1987-03-01,"CWSR0000SASL5",116.8,2023-06-14,2023-06-14
"52",1987-04-01,"CWSR0000SASL5",117.2,2023-06-14,2023-06-14
"53",1987-05-01,"CWSR0000SASL5",117.7,2023-06-14,2023-06-14
"54",1987-06-01,"CWSR0000SASL5",117.9,2023-06-14,2023-06-14
"55",1987-07-01,"CWSR0000SASL5",118.2,2023-06-14,2023-06-14
"56",1987-08-01,"CWSR0000SASL5",118.8,2023-06-14,2023-06-14
"57",1987-09-01,"CWSR0000SASL5",119.2,2023-06-14,2023-06-14
"58",1987-10-01,"CWSR0000SASL5",119.7,2023-06-14,2023-06-14
"59",1987-11-01,"CWSR0000SASL5",120,2023-06-14,2023-06-14
"60",1987-12-01,"CWSR0000SASL5",120.4,2023-06-14,2023-06-14
"61",1988-01-01,"CWSR0000SASL5",120.8,2023-06-14,2023-06-14
"62",1988-02-01,"CWSR0000SASL5",121.2,2023-06-14,2023-06-14
"63",1988-03-01,"CWSR0000SASL5",121.6,2023-06-14,2023-06-14
"64",1988-04-01,"CWSR0000SASL5",122,2023-06-14,2023-06-14
"65",1988-05-01,"CWSR0000SASL5",122.4,2023-06-14,2023-06-14
"66",1988-06-01,"CWSR0000SASL5",122.9,2023-06-14,2023-06-14
"67",1988-07-01,"CWSR0000SASL5",123.4,2023-06-14,2023-06-14
"68",1988-08-01,"CWSR0000SASL5",123.9,2023-06-14,2023-06-14
"69",1988-09-01,"CWSR0000SASL5",124.5,2023-06-14,2023-06-14
"70",1988-10-01,"CWSR0000SASL5",125.1,2023-06-14,2023-06-14
"71",1988-11-01,"CWSR0000SASL5",125.5,2023-06-14,2023-06-14
