"","date","series_id","value","realtime_start","realtime_end"
"1",1978-01-01,"CWSR0000SEEB",57.3,2023-06-14,2023-06-14
"2",1978-02-01,"CWSR0000SEEB",57.8,2023-06-14,2023-06-14
"3",1978-03-01,"CWSR0000SEEB",58.3,2023-06-14,2023-06-14
"4",1978-04-01,"CWSR0000SEEB",58.7,2023-06-14,2023-06-14
"5",1978-05-01,"CWSR0000SEEB",59.3,2023-06-14,2023-06-14
"6",1978-06-01,"CWSR0000SEEB",59.8,2023-06-14,2023-06-14
"7",1978-07-01,"CWSR0000SEEB",60.1,2023-06-14,2023-06-14
"8",1978-08-01,"CWSR0000SEEB",60.8,2023-06-14,2023-06-14
"9",1978-09-01,"CWSR0000SEEB",60.1,2023-06-14,2023-06-14
"10",1978-10-01,"CWSR0000SEEB",60.3,2023-06-14,2023-06-14
"11",1978-11-01,"CWSR0000SEEB",60.9,2023-06-14,2023-06-14
"12",1978-12-01,"CWSR0000SEEB",61.3,2023-06-14,2023-06-14
"13",1979-01-01,"CWSR0000SEEB",61.7,2023-06-14,2023-06-14
"14",1979-02-01,"CWSR0000SEEB",62.2,2023-06-14,2023-06-14
"15",1979-03-01,"CWSR0000SEEB",62.7,2023-06-14,2023-06-14
"16",1979-04-01,"CWSR0000SEEB",63.3,2023-06-14,2023-06-14
"17",1979-05-01,"CWSR0000SEEB",63.8,2023-06-14,2023-06-14
"18",1979-06-01,"CWSR0000SEEB",64.4,2023-06-14,2023-06-14
"19",1979-07-01,"CWSR0000SEEB",64.9,2023-06-14,2023-06-14
"20",1979-08-01,"CWSR0000SEEB",65.4,2023-06-14,2023-06-14
"21",1979-09-01,"CWSR0000SEEB",65.7,2023-06-14,2023-06-14
"22",1979-10-01,"CWSR0000SEEB",65.8,2023-06-14,2023-06-14
"23",1979-11-01,"CWSR0000SEEB",66.4,2023-06-14,2023-06-14
"24",1979-12-01,"CWSR0000SEEB",67,2023-06-14,2023-06-14
"25",1980-01-01,"CWSR0000SEEB",67.5,2023-06-14,2023-06-14
"26",1980-02-01,"CWSR0000SEEB",68,2023-06-14,2023-06-14
"27",1980-03-01,"CWSR0000SEEB",68.6,2023-06-14,2023-06-14
"28",1980-04-01,"CWSR0000SEEB",69.2,2023-06-14,2023-06-14
"29",1980-05-01,"CWSR0000SEEB",69.8,2023-06-14,2023-06-14
"30",1980-06-01,"CWSR0000SEEB",70.3,2023-06-14,2023-06-14
"31",1980-07-01,"CWSR0000SEEB",70.8,2023-06-14,2023-06-14
"32",1980-08-01,"CWSR0000SEEB",71.5,2023-06-14,2023-06-14
"33",1980-09-01,"CWSR0000SEEB",73.4,2023-06-14,2023-06-14
"34",1980-10-01,"CWSR0000SEEB",73.7,2023-06-14,2023-06-14
"35",1980-11-01,"CWSR0000SEEB",74.4,2023-06-14,2023-06-14
"36",1980-12-01,"CWSR0000SEEB",75,2023-06-14,2023-06-14
"37",1981-01-01,"CWSR0000SEEB",75.7,2023-06-14,2023-06-14
"38",1981-02-01,"CWSR0000SEEB",76.3,2023-06-14,2023-06-14
"39",1981-03-01,"CWSR0000SEEB",76.8,2023-06-14,2023-06-14
"40",1981-04-01,"CWSR0000SEEB",77.4,2023-06-14,2023-06-14
"41",1981-05-01,"CWSR0000SEEB",78.1,2023-06-14,2023-06-14
"42",1981-06-01,"CWSR0000SEEB",78.8,2023-06-14,2023-06-14
"43",1981-07-01,"CWSR0000SEEB",79.7,2023-06-14,2023-06-14
"44",1981-08-01,"CWSR0000SEEB",80.5,2023-06-14,2023-06-14
"45",1981-09-01,"CWSR0000SEEB",82.4,2023-06-14,2023-06-14
"46",1981-10-01,"CWSR0000SEEB",83.1,2023-06-14,2023-06-14
"47",1981-11-01,"CWSR0000SEEB",83.9,2023-06-14,2023-06-14
"48",1981-12-01,"CWSR0000SEEB",84.7,2023-06-14,2023-06-14
"49",1982-01-01,"CWSR0000SEEB",85.8,2023-06-14,2023-06-14
"50",1982-02-01,"CWSR0000SEEB",86.6,2023-06-14,2023-06-14
