"","date","series_id","value","realtime_start","realtime_end"
"1",2006-01-01,"CWSR0000SEEE",13.6,2023-06-14,2023-06-14
"2",2006-02-01,"CWSR0000SEEE",13.5,2023-06-14,2023-06-14
"3",2006-03-01,"CWSR0000SEEE",13.5,2023-06-14,2023-06-14
"4",2006-04-01,"CWSR0000SEEE",13.4,2023-06-14,2023-06-14
"5",2006-05-01,"CWSR0000SEEE",13.3,2023-06-14,2023-06-14
"6",2006-06-01,"CWSR0000SEEE",13.3,2023-06-14,2023-06-14
"7",2006-07-01,"CWSR0000SEEE",13.3,2023-06-14,2023-06-14
"8",2006-08-01,"CWSR0000SEEE",13.1,2023-06-14,2023-06-14
"9",2006-09-01,"CWSR0000SEEE",12.9,2023-06-14,2023-06-14
"10",2006-10-01,"CWSR0000SEEE",12.4,2023-06-14,2023-06-14
"11",2006-11-01,"CWSR0000SEEE",11.9,2023-06-14,2023-06-14
"12",2006-12-01,"CWSR0000SEEE",11.7,2023-06-14,2023-06-14
"13",2007-01-01,"CWSR0000SEEE",11.299,2023-06-14,2023-06-14
"14",2007-02-01,"CWSR0000SEEE",11.256,2023-06-14,2023-06-14
"15",2007-03-01,"CWSR0000SEEE",11.252,2023-06-14,2023-06-14
"16",2007-04-01,"CWSR0000SEEE",11.271,2023-06-14,2023-06-14
"17",2007-05-01,"CWSR0000SEEE",11.228,2023-06-14,2023-06-14
"18",2007-06-01,"CWSR0000SEEE",11.079,2023-06-14,2023-06-14
"19",2007-07-01,"CWSR0000SEEE",11.014,2023-06-14,2023-06-14
"20",2007-08-01,"CWSR0000SEEE",10.978,2023-06-14,2023-06-14
"21",2007-09-01,"CWSR0000SEEE",10.981,2023-06-14,2023-06-14
"22",2007-10-01,"CWSR0000SEEE",10.896,2023-06-14,2023-06-14
"23",2007-11-01,"CWSR0000SEEE",10.736,2023-06-14,2023-06-14
"24",2007-12-01,"CWSR0000SEEE",10.751,2023-06-14,2023-06-14
"25",2008-01-01,"CWSR0000SEEE",10.726,2023-06-14,2023-06-14
"26",2008-02-01,"CWSR0000SEEE",10.732,2023-06-14,2023-06-14
"27",2008-03-01,"CWSR0000SEEE",10.705,2023-06-14,2023-06-14
"28",2008-04-01,"CWSR0000SEEE",10.621,2023-06-14,2023-06-14
"29",2008-05-01,"CWSR0000SEEE",10.606,2023-06-14,2023-06-14
"30",2008-06-01,"CWSR0000SEEE",10.601,2023-06-14,2023-06-14
"31",2008-07-01,"CWSR0000SEEE",10.606,2023-06-14,2023-06-14
"32",2008-08-01,"CWSR0000SEEE",10.539,2023-06-14,2023-06-14
"33",2008-09-01,"CWSR0000SEEE",10.442,2023-06-14,2023-06-14
"34",2008-10-01,"CWSR0000SEEE",10.394,2023-06-14,2023-06-14
"35",2008-11-01,"CWSR0000SEEE",10.387,2023-06-14,2023-06-14
"36",2008-12-01,"CWSR0000SEEE",10.43,2023-06-14,2023-06-14
"37",2009-01-01,"CWSR0000SEEE",10.416,2023-06-14,2023-06-14
"38",2009-02-01,"CWSR0000SEEE",10.417,2023-06-14,2023-06-14
"39",2009-03-01,"CWSR0000SEEE",10.34,2023-06-14,2023-06-14
"40",2009-04-01,"CWSR0000SEEE",10.338,2023-06-14,2023-06-14
"41",2009-05-01,"CWSR0000SEEE",10.252,2023-06-14,2023-06-14
"42",2009-06-01,"CWSR0000SEEE",10.243,2023-06-14,2023-06-14
"43",2009-07-01,"CWSR0000SEEE",10.115,2023-06-14,2023-06-14
"44",2009-08-01,"CWSR0000SEEE",10.026,2023-06-14,2023-06-14
"45",2009-09-01,"CWSR0000SEEE",10.002,2023-06-14,2023-06-14
"46",2009-10-01,"CWSR0000SEEE",10.021,2023-06-14,2023-06-14
"47",2009-11-01,"CWSR0000SEEE",9.993,2023-06-14,2023-06-14
"48",2009-12-01,"CWSR0000SEEE",9.958,2023-06-14,2023-06-14
"49",2010-01-01,"CWSR0000SEEE",9.975,2023-06-14,2023-06-14
"50",2010-02-01,"CWSR0000SEEE",10.059,2023-06-14,2023-06-14
"51",2010-03-01,"CWSR0000SEEE",10.073,2023-06-14,2023-06-14
"52",2010-04-01,"CWSR0000SEEE",10.049,2023-06-14,2023-06-14
"53",2010-05-01,"CWSR0000SEEE",10.013,2023-06-14,2023-06-14
"54",2010-06-01,"CWSR0000SEEE",9.968,2023-06-14,2023-06-14
"55",2010-07-01,"CWSR0000SEEE",9.956,2023-06-14,2023-06-14
"56",2010-08-01,"CWSR0000SEEE",9.962,2023-06-14,2023-06-14
"57",2010-09-01,"CWSR0000SEEE",9.922,2023-06-14,2023-06-14
"58",2010-10-01,"CWSR0000SEEE",9.884,2023-06-14,2023-06-14
"59",2010-11-01,"CWSR0000SEEE",9.863,2023-06-14,2023-06-14
"60",2010-12-01,"CWSR0000SEEE",9.789,2023-06-14,2023-06-14
"61",2011-01-01,"CWSR0000SEEE",9.746,2023-06-14,2023-06-14
"62",2011-02-01,"CWSR0000SEEE",9.706,2023-06-14,2023-06-14
"63",2011-03-01,"CWSR0000SEEE",9.662,2023-06-14,2023-06-14
"64",2011-04-01,"CWSR0000SEEE",9.633,2023-06-14,2023-06-14
"65",2011-05-01,"CWSR0000SEEE",9.587,2023-06-14,2023-06-14
"66",2011-06-01,"CWSR0000SEEE",9.534,2023-06-14,2023-06-14
"67",2011-07-01,"CWSR0000SEEE",9.557,2023-06-14,2023-06-14
"68",2011-08-01,"CWSR0000SEEE",9.533,2023-06-14,2023-06-14
"69",2011-09-01,"CWSR0000SEEE",9.504,2023-06-14,2023-06-14
"70",2011-10-01,"CWSR0000SEEE",9.485,2023-06-14,2023-06-14
"71",2011-11-01,"CWSR0000SEEE",9.463,2023-06-14,2023-06-14
"72",2011-12-01,"CWSR0000SEEE",9.434,2023-06-14,2023-06-14
"73",2012-01-01,"CWSR0000SEEE",9.452,2023-06-14,2023-06-14
"74",2012-02-01,"CWSR0000SEEE",9.408,2023-06-14,2023-06-14
"75",2012-03-01,"CWSR0000SEEE",9.359,2023-06-14,2023-06-14
"76",2012-04-01,"CWSR0000SEEE",9.362,2023-06-14,2023-06-14
"77",2012-05-01,"CWSR0000SEEE",9.415,2023-06-14,2023-06-14
"78",2012-06-01,"CWSR0000SEEE",9.373,2023-06-14,2023-06-14
"79",2012-07-01,"CWSR0000SEEE",9.34,2023-06-14,2023-06-14
"80",2012-08-01,"CWSR0000SEEE",9.236,2023-06-14,2023-06-14
"81",2012-09-01,"CWSR0000SEEE",9.207,2023-06-14,2023-06-14
"82",2012-10-01,"CWSR0000SEEE",9.167,2023-06-14,2023-06-14
"83",2012-11-01,"CWSR0000SEEE",9.136,2023-06-14,2023-06-14
"84",2012-12-01,"CWSR0000SEEE",9.138,2023-06-14,2023-06-14
"85",2013-01-01,"CWSR0000SEEE",9.146,2023-06-14,2023-06-14
