"","date","series_id","value","realtime_start","realtime_end"
"1",2005-01-01,"CWSR0000SEEE01",155,2023-06-14,2023-06-14
"2",2005-02-01,"CWSR0000SEEE01",150.4,2023-06-14,2023-06-14
"3",2005-03-01,"CWSR0000SEEE01",148.5,2023-06-14,2023-06-14
"4",2005-04-01,"CWSR0000SEEE01",146.9,2023-06-14,2023-06-14
"5",2005-05-01,"CWSR0000SEEE01",145.5,2023-06-14,2023-06-14
"6",2005-06-01,"CWSR0000SEEE01",143.8,2023-06-14,2023-06-14
"7",2005-07-01,"CWSR0000SEEE01",141.5,2023-06-14,2023-06-14
"8",2005-08-01,"CWSR0000SEEE01",138.3,2023-06-14,2023-06-14
"9",2005-09-01,"CWSR0000SEEE01",137.4,2023-06-14,2023-06-14
"10",2005-10-01,"CWSR0000SEEE01",135.8,2023-06-14,2023-06-14
"11",2005-11-01,"CWSR0000SEEE01",134.5,2023-06-14,2023-06-14
"12",2005-12-01,"CWSR0000SEEE01",131.7,2023-06-14,2023-06-14
"13",2006-01-01,"CWSR0000SEEE01",128.6,2023-06-14,2023-06-14
"14",2006-02-01,"CWSR0000SEEE01",128.1,2023-06-14,2023-06-14
"15",2006-03-01,"CWSR0000SEEE01",126.5,2023-06-14,2023-06-14
"16",2006-04-01,"CWSR0000SEEE01",122.3,2023-06-14,2023-06-14
"17",2006-05-01,"CWSR0000SEEE01",119.9,2023-06-14,2023-06-14
"18",2006-06-01,"CWSR0000SEEE01",119.1,2023-06-14,2023-06-14
"19",2006-07-01,"CWSR0000SEEE01",118.1,2023-06-14,2023-06-14
"20",2006-08-01,"CWSR0000SEEE01",118.9,2023-06-14,2023-06-14
"21",2006-09-01,"CWSR0000SEEE01",117.6,2023-06-14,2023-06-14
"22",2006-10-01,"CWSR0000SEEE01",116.1,2023-06-14,2023-06-14
"23",2006-11-01,"CWSR0000SEEE01",115.6,2023-06-14,2023-06-14
"24",2006-12-01,"CWSR0000SEEE01",115.7,2023-06-14,2023-06-14
"25",2007-01-01,"CWSR0000SEEE01",113.402,2023-06-14,2023-06-14
"26",2007-02-01,"CWSR0000SEEE01",112.601,2023-06-14,2023-06-14
"27",2007-03-01,"CWSR0000SEEE01",112.417,2023-06-14,2023-06-14
"28",2007-04-01,"CWSR0000SEEE01",112.093,2023-06-14,2023-06-14
"29",2007-05-01,"CWSR0000SEEE01",110.889,2023-06-14,2023-06-14
"30",2007-06-01,"CWSR0000SEEE01",108.818,2023-06-14,2023-06-14
"31",2007-07-01,"CWSR0000SEEE01",107.722,2023-06-14,2023-06-14
"32",2007-08-01,"CWSR0000SEEE01",106.864,2023-06-14,2023-06-14
"33",2007-09-01,"CWSR0000SEEE01",106.356,2023-06-14,2023-06-14
"34",2007-10-01,"CWSR0000SEEE01",104.902,2023-06-14,2023-06-14
"35",2007-11-01,"CWSR0000SEEE01",100.982,2023-06-14,2023-06-14
"36",2007-12-01,"CWSR0000SEEE01",100.776,2023-06-14,2023-06-14
"37",2008-01-01,"CWSR0000SEEE01",100.788,2023-06-14,2023-06-14
"38",2008-02-01,"CWSR0000SEEE01",100.015,2023-06-14,2023-06-14
"39",2008-03-01,"CWSR0000SEEE01",99.259,2023-06-14,2023-06-14
"40",2008-04-01,"CWSR0000SEEE01",97.544,2023-06-14,2023-06-14
"41",2008-05-01,"CWSR0000SEEE01",96.622,2023-06-14,2023-06-14
"42",2008-06-01,"CWSR0000SEEE01",96.185,2023-06-14,2023-06-14
"43",2008-07-01,"CWSR0000SEEE01",94.847,2023-06-14,2023-06-14
"44",2008-08-01,"CWSR0000SEEE01",93.266,2023-06-14,2023-06-14
"45",2008-09-01,"CWSR0000SEEE01",91.43,2023-06-14,2023-06-14
