"","date","series_id","value","realtime_start","realtime_end"
"1",1986-01-01,"CWSR0000SEGA",121.4,2023-06-14,2023-06-14
"2",1986-02-01,"CWSR0000SEGA",121.9,2023-06-14,2023-06-14
"3",1986-03-01,"CWSR0000SEGA",122.6,2023-06-14,2023-06-14
"4",1986-04-01,"CWSR0000SEGA",123.2,2023-06-14,2023-06-14
"5",1986-05-01,"CWSR0000SEGA",123.7,2023-06-14,2023-06-14
"6",1986-06-01,"CWSR0000SEGA",124,2023-06-14,2023-06-14
"7",1986-07-01,"CWSR0000SEGA",125.1,2023-06-14,2023-06-14
"8",1986-08-01,"CWSR0000SEGA",126,2023-06-14,2023-06-14
"9",1986-09-01,"CWSR0000SEGA",126.7,2023-06-14,2023-06-14
"10",1986-10-01,"CWSR0000SEGA",127.2,2023-06-14,2023-06-14
"11",1986-11-01,"CWSR0000SEGA",127.8,2023-06-14,2023-06-14
"12",1986-12-01,"CWSR0000SEGA",128.4,2023-06-14,2023-06-14
"13",1987-01-01,"CWSR0000SEGA",129.2,2023-06-14,2023-06-14
"14",1987-02-01,"CWSR0000SEGA",130.2,2023-06-14,2023-06-14
"15",1987-03-01,"CWSR0000SEGA",131,2023-06-14,2023-06-14
"16",1987-04-01,"CWSR0000SEGA",131.8,2023-06-14,2023-06-14
"17",1987-05-01,"CWSR0000SEGA",132.4,2023-06-14,2023-06-14
"18",1987-06-01,"CWSR0000SEGA",133.2,2023-06-14,2023-06-14
"19",1987-07-01,"CWSR0000SEGA",134.1,2023-06-14,2023-06-14
"20",1987-08-01,"CWSR0000SEGA",134.9,2023-06-14,2023-06-14
"21",1987-09-01,"CWSR0000SEGA",135.9,2023-06-14,2023-06-14
"22",1987-10-01,"CWSR0000SEGA",136.8,2023-06-14,2023-06-14
"23",1987-11-01,"CWSR0000SEGA",137.5,2023-06-14,2023-06-14
"24",1987-12-01,"CWSR0000SEGA",138,2023-06-14,2023-06-14
"25",1988-01-01,"CWSR0000SEGA",140.3,2023-06-14,2023-06-14
"26",1988-02-01,"CWSR0000SEGA",141.5,2023-06-14,2023-06-14
"27",1988-03-01,"CWSR0000SEGA",142.6,2023-06-14,2023-06-14
"28",1988-04-01,"CWSR0000SEGA",143.4,2023-06-14,2023-06-14
"29",1988-05-01,"CWSR0000SEGA",144.1,2023-06-14,2023-06-14
"30",1988-06-01,"CWSR0000SEGA",144.5,2023-06-14,2023-06-14
"31",1988-07-01,"CWSR0000SEGA",146.9,2023-06-14,2023-06-14
"32",1988-08-01,"CWSR0000SEGA",148.4,2023-06-14,2023-06-14
"33",1988-09-01,"CWSR0000SEGA",149.1,2023-06-14,2023-06-14
"34",1988-10-01,"CWSR0000SEGA",149.9,2023-06-14,2023-06-14
"35",1988-11-01,"CWSR0000SEGA",150.9,2023-06-14,2023-06-14
"36",1988-12-01,"CWSR0000SEGA",150.7,2023-06-14,2023-06-14
"37",1989-01-01,"CWSR0000SEGA",156.1,2023-06-14,2023-06-14
"38",1989-02-01,"CWSR0000SEGA",157.2,2023-06-14,2023-06-14
"39",1989-03-01,"CWSR0000SEGA",158.4,2023-06-14,2023-06-14
"40",1989-04-01,"CWSR0000SEGA",159.2,2023-06-14,2023-06-14
"41",1989-05-01,"CWSR0000SEGA",160.8,2023-06-14,2023-06-14
"42",1989-06-01,"CWSR0000SEGA",163.9,2023-06-14,2023-06-14
"43",1989-07-01,"CWSR0000SEGA",166.3,2023-06-14,2023-06-14
"44",1989-08-01,"CWSR0000SEGA",167.9,2023-06-14,2023-06-14
"45",1989-09-01,"CWSR0000SEGA",168.2,2023-06-14,2023-06-14
"46",1989-10-01,"CWSR0000SEGA",169.6,2023-06-14,2023-06-14
"47",1989-11-01,"CWSR0000SEGA",170.4,2023-06-14,2023-06-14
"48",1989-12-01,"CWSR0000SEGA",173.1,2023-06-14,2023-06-14
"49",1990-01-01,"CWSR0000SEGA",172.8,2023-06-14,2023-06-14
"50",1990-02-01,"CWSR0000SEGA",173.6,2023-06-14,2023-06-14
"51",1990-03-01,"CWSR0000SEGA",174.3,2023-06-14,2023-06-14
"52",1990-04-01,"CWSR0000SEGA",175.2,2023-06-14,2023-06-14
"53",1990-05-01,"CWSR0000SEGA",176.2,2023-06-14,2023-06-14
"54",1990-06-01,"CWSR0000SEGA",180.2,2023-06-14,2023-06-14
"55",1990-07-01,"CWSR0000SEGA",184.5,2023-06-14,2023-06-14
"56",1990-08-01,"CWSR0000SEGA",185.1,2023-06-14,2023-06-14
"57",1990-09-01,"CWSR0000SEGA",186.1,2023-06-14,2023-06-14
"58",1990-10-01,"CWSR0000SEGA",187.2,2023-06-14,2023-06-14
"59",1990-11-01,"CWSR0000SEGA",189,2023-06-14,2023-06-14
"60",1990-12-01,"CWSR0000SEGA",191.3,2023-06-14,2023-06-14
"61",1991-01-01,"CWSR0000SEGA",194.5,2023-06-14,2023-06-14
"62",1991-02-01,"CWSR0000SEGA",195.3,2023-06-14,2023-06-14
"63",1991-03-01,"CWSR0000SEGA",196.9,2023-06-14,2023-06-14
"64",1991-04-01,"CWSR0000SEGA",198.9,2023-06-14,2023-06-14
"65",1991-05-01,"CWSR0000SEGA",198.8,2023-06-14,2023-06-14
"66",1991-06-01,"CWSR0000SEGA",202.1,2023-06-14,2023-06-14
"67",1991-07-01,"CWSR0000SEGA",202.9,2023-06-14,2023-06-14
"68",1991-08-01,"CWSR0000SEGA",204.3,2023-06-14,2023-06-14
"69",1991-09-01,"CWSR0000SEGA",206.3,2023-06-14,2023-06-14
"70",1991-10-01,"CWSR0000SEGA",207.4,2023-06-14,2023-06-14
"71",1991-11-01,"CWSR0000SEGA",210.5,2023-06-14,2023-06-14
"72",1991-12-01,"CWSR0000SEGA",212.3,2023-06-14,2023-06-14
"73",1992-01-01,"CWSR0000SEGA",211.1,2023-06-14,2023-06-14
"74",1992-02-01,"CWSR0000SEGA",212.2,2023-06-14,2023-06-14
"75",1992-03-01,"CWSR0000SEGA",213.1,2023-06-14,2023-06-14
"76",1992-04-01,"CWSR0000SEGA",214.4,2023-06-14,2023-06-14
"77",1992-05-01,"CWSR0000SEGA",219.1,2023-06-14,2023-06-14
"78",1992-06-01,"CWSR0000SEGA",218.2,2023-06-14,2023-06-14
"79",1992-07-01,"CWSR0000SEGA",220.1,2023-06-14,2023-06-14
"80",1992-08-01,"CWSR0000SEGA",221,2023-06-14,2023-06-14
"81",1992-09-01,"CWSR0000SEGA",224.8,2023-06-14,2023-06-14
"82",1992-10-01,"CWSR0000SEGA",227,2023-06-14,2023-06-14
"83",1992-11-01,"CWSR0000SEGA",225.4,2023-06-14,2023-06-14
"84",1992-12-01,"CWSR0000SEGA",230.1,2023-06-14,2023-06-14
"85",1993-01-01,"CWSR0000SEGA",233.4,2023-06-14,2023-06-14
"86",1993-02-01,"CWSR0000SEGA",234.7,2023-06-14,2023-06-14
"87",1993-03-01,"CWSR0000SEGA",236.1,2023-06-14,2023-06-14
"88",1993-04-01,"CWSR0000SEGA",237.3,2023-06-14,2023-06-14
"89",1993-05-01,"CWSR0000SEGA",237.1,2023-06-14,2023-06-14
"90",1993-06-01,"CWSR0000SEGA",235.1,2023-06-14,2023-06-14
"91",1993-07-01,"CWSR0000SEGA",235.4,2023-06-14,2023-06-14
"92",1993-08-01,"CWSR0000SEGA",227.3,2023-06-14,2023-06-14
"93",1993-09-01,"CWSR0000SEGA",215.5,2023-06-14,2023-06-14
"94",1993-10-01,"CWSR0000SEGA",215.2,2023-06-14,2023-06-14
"95",1993-11-01,"CWSR0000SEGA",215,2023-06-14,2023-06-14
"96",1993-12-01,"CWSR0000SEGA",216.2,2023-06-14,2023-06-14
"97",1994-01-01,"CWSR0000SEGA",216.9,2023-06-14,2023-06-14
"98",1994-02-01,"CWSR0000SEGA",216.7,2023-06-14,2023-06-14
"99",1994-03-01,"CWSR0000SEGA",217.6,2023-06-14,2023-06-14
