"","date","series_id","value","realtime_start","realtime_end"
"1",1990-01-01,"CWSR0000SEGD",152.7,2023-06-14,2023-06-14
"2",1990-02-01,"CWSR0000SEGD",153,2023-06-14,2023-06-14
"3",1990-03-01,"CWSR0000SEGD",154.7,2023-06-14,2023-06-14
"4",1990-04-01,"CWSR0000SEGD",155.7,2023-06-14,2023-06-14
"5",1990-05-01,"CWSR0000SEGD",156.5,2023-06-14,2023-06-14
"6",1990-06-01,"CWSR0000SEGD",157.1,2023-06-14,2023-06-14
"7",1990-07-01,"CWSR0000SEGD",157.7,2023-06-14,2023-06-14
"8",1990-08-01,"CWSR0000SEGD",158.2,2023-06-14,2023-06-14
"9",1990-09-01,"CWSR0000SEGD",159.1,2023-06-14,2023-06-14
"10",1990-10-01,"CWSR0000SEGD",159.8,2023-06-14,2023-06-14
"11",1990-11-01,"CWSR0000SEGD",160.5,2023-06-14,2023-06-14
"12",1990-12-01,"CWSR0000SEGD",160.9,2023-06-14,2023-06-14
"13",1991-01-01,"CWSR0000SEGD",161.8,2023-06-14,2023-06-14
"14",1991-02-01,"CWSR0000SEGD",162.6,2023-06-14,2023-06-14
"15",1991-03-01,"CWSR0000SEGD",164,2023-06-14,2023-06-14
"16",1991-04-01,"CWSR0000SEGD",165.1,2023-06-14,2023-06-14
"17",1991-05-01,"CWSR0000SEGD",165.7,2023-06-14,2023-06-14
"18",1991-06-01,"CWSR0000SEGD",166.2,2023-06-14,2023-06-14
"19",1991-07-01,"CWSR0000SEGD",167.2,2023-06-14,2023-06-14
"20",1991-08-01,"CWSR0000SEGD",168.3,2023-06-14,2023-06-14
"21",1991-09-01,"CWSR0000SEGD",169.1,2023-06-14,2023-06-14
"22",1991-10-01,"CWSR0000SEGD",169.8,2023-06-14,2023-06-14
"23",1991-11-01,"CWSR0000SEGD",170.3,2023-06-14,2023-06-14
"24",1991-12-01,"CWSR0000SEGD",171.4,2023-06-14,2023-06-14
"25",1992-01-01,"CWSR0000SEGD",172.2,2023-06-14,2023-06-14
"26",1992-02-01,"CWSR0000SEGD",173.4,2023-06-14,2023-06-14
"27",1992-03-01,"CWSR0000SEGD",173.3,2023-06-14,2023-06-14
"28",1992-04-01,"CWSR0000SEGD",173.3,2023-06-14,2023-06-14
"29",1992-05-01,"CWSR0000SEGD",173.7,2023-06-14,2023-06-14
"30",1992-06-01,"CWSR0000SEGD",174.2,2023-06-14,2023-06-14
"31",1992-07-01,"CWSR0000SEGD",174.8,2023-06-14,2023-06-14
"32",1992-08-01,"CWSR0000SEGD",175.9,2023-06-14,2023-06-14
"33",1992-09-01,"CWSR0000SEGD",176.4,2023-06-14,2023-06-14
"34",1992-10-01,"CWSR0000SEGD",177.5,2023-06-14,2023-06-14
"35",1992-11-01,"CWSR0000SEGD",178.1,2023-06-14,2023-06-14
"36",1992-12-01,"CWSR0000SEGD",178.5,2023-06-14,2023-06-14
"37",1993-01-01,"CWSR0000SEGD",179.1,2023-06-14,2023-06-14
"38",1993-02-01,"CWSR0000SEGD",179.7,2023-06-14,2023-06-14
"39",1993-03-01,"CWSR0000SEGD",180.2,2023-06-14,2023-06-14
"40",1993-04-01,"CWSR0000SEGD",180.9,2023-06-14,2023-06-14
"41",1993-05-01,"CWSR0000SEGD",183.7,2023-06-14,2023-06-14
"42",1993-06-01,"CWSR0000SEGD",184.4,2023-06-14,2023-06-14
"43",1993-07-01,"CWSR0000SEGD",185.2,2023-06-14,2023-06-14
"44",1993-08-01,"CWSR0000SEGD",185.7,2023-06-14,2023-06-14
"45",1993-09-01,"CWSR0000SEGD",186.3,2023-06-14,2023-06-14
"46",1993-10-01,"CWSR0000SEGD",187.7,2023-06-14,2023-06-14
