"","date","series_id","value","realtime_start","realtime_end"
"1",1985-01-01,"CWSR0000SEHC01",100.2,2023-06-14,2023-06-14
"2",1985-02-01,"CWSR0000SEHC01",100.8,2023-06-14,2023-06-14
"3",1985-03-01,"CWSR0000SEHC01",101,2023-06-14,2023-06-14
"4",1985-04-01,"CWSR0000SEHC01",101.5,2023-06-14,2023-06-14
"5",1985-05-01,"CWSR0000SEHC01",102.4,2023-06-14,2023-06-14
"6",1985-06-01,"CWSR0000SEHC01",103,2023-06-14,2023-06-14
"7",1985-07-01,"CWSR0000SEHC01",103.6,2023-06-14,2023-06-14
"8",1985-08-01,"CWSR0000SEHC01",104.1,2023-06-14,2023-06-14
"9",1985-09-01,"CWSR0000SEHC01",104.2,2023-06-14,2023-06-14
"10",1985-10-01,"CWSR0000SEHC01",104.6,2023-06-14,2023-06-14
"11",1985-11-01,"CWSR0000SEHC01",105.2,2023-06-14,2023-06-14
"12",1985-12-01,"CWSR0000SEHC01",105.8,2023-06-14,2023-06-14
"13",1986-01-01,"CWSR0000SEHC01",106.4,2023-06-14,2023-06-14
"14",1986-02-01,"CWSR0000SEHC01",106.8,2023-06-14,2023-06-14
"15",1986-03-01,"CWSR0000SEHC01",107.4,2023-06-14,2023-06-14
"16",1986-04-01,"CWSR0000SEHC01",108.3,2023-06-14,2023-06-14
"17",1986-05-01,"CWSR0000SEHC01",108.2,2023-06-14,2023-06-14
"18",1986-06-01,"CWSR0000SEHC01",108.6,2023-06-14,2023-06-14
"19",1986-07-01,"CWSR0000SEHC01",108.9,2023-06-14,2023-06-14
"20",1986-08-01,"CWSR0000SEHC01",109.1,2023-06-14,2023-06-14
"21",1986-09-01,"CWSR0000SEHC01",109.9,2023-06-14,2023-06-14
"22",1986-10-01,"CWSR0000SEHC01",110.2,2023-06-14,2023-06-14
"23",1986-11-01,"CWSR0000SEHC01",110.5,2023-06-14,2023-06-14
"24",1986-12-01,"CWSR0000SEHC01",110.7,2023-06-14,2023-06-14
"25",1987-01-01,"CWSR0000SEHC01",111,2023-06-14,2023-06-14
"26",1987-02-01,"CWSR0000SEHC01",111.5,2023-06-14,2023-06-14
"27",1987-03-01,"CWSR0000SEHC01",112.2,2023-06-14,2023-06-14
"28",1987-04-01,"CWSR0000SEHC01",112.9,2023-06-14,2023-06-14
"29",1987-05-01,"CWSR0000SEHC01",113.3,2023-06-14,2023-06-14
"30",1987-06-01,"CWSR0000SEHC01",113.5,2023-06-14,2023-06-14
"31",1987-07-01,"CWSR0000SEHC01",113.6,2023-06-14,2023-06-14
