"","date","series_id","value","realtime_start","realtime_end"
"1",1997-12-01,"CWSR0000SEHG",100.1,2023-06-14,2023-06-14
"2",1998-01-01,"CWSR0000SEHG",100.2,2023-06-14,2023-06-14
"3",1998-02-01,"CWSR0000SEHG",100.7,2023-06-14,2023-06-14
"4",1998-03-01,"CWSR0000SEHG",100.9,2023-06-14,2023-06-14
"5",1998-04-01,"CWSR0000SEHG",101.1,2023-06-14,2023-06-14
"6",1998-05-01,"CWSR0000SEHG",101.4,2023-06-14,2023-06-14
"7",1998-06-01,"CWSR0000SEHG",101.6,2023-06-14,2023-06-14
"8",1998-07-01,"CWSR0000SEHG",101.9,2023-06-14,2023-06-14
"9",1998-08-01,"CWSR0000SEHG",102.1,2023-06-14,2023-06-14
"10",1998-09-01,"CWSR0000SEHG",102.3,2023-06-14,2023-06-14
"11",1998-10-01,"CWSR0000SEHG",102.5,2023-06-14,2023-06-14
"12",1998-11-01,"CWSR0000SEHG",102.7,2023-06-14,2023-06-14
"13",1998-12-01,"CWSR0000SEHG",102.9,2023-06-14,2023-06-14
"14",1999-01-01,"CWSR0000SEHG",103.1,2023-06-14,2023-06-14
"15",1999-02-01,"CWSR0000SEHG",103.2,2023-06-14,2023-06-14
"16",1999-03-01,"CWSR0000SEHG",103.4,2023-06-14,2023-06-14
"17",1999-04-01,"CWSR0000SEHG",103.6,2023-06-14,2023-06-14
"18",1999-05-01,"CWSR0000SEHG",103.8,2023-06-14,2023-06-14
"19",1999-06-01,"CWSR0000SEHG",103.9,2023-06-14,2023-06-14
"20",1999-07-01,"CWSR0000SEHG",104.2,2023-06-14,2023-06-14
"21",1999-08-01,"CWSR0000SEHG",104.3,2023-06-14,2023-06-14
"22",1999-09-01,"CWSR0000SEHG",104.5,2023-06-14,2023-06-14
"23",1999-10-01,"CWSR0000SEHG",104.7,2023-06-14,2023-06-14
"24",1999-11-01,"CWSR0000SEHG",104.8,2023-06-14,2023-06-14
"25",1999-12-01,"CWSR0000SEHG",104.9,2023-06-14,2023-06-14
"26",2000-01-01,"CWSR0000SEHG",105.2,2023-06-14,2023-06-14
"27",2000-02-01,"CWSR0000SEHG",105.5,2023-06-14,2023-06-14
"28",2000-03-01,"CWSR0000SEHG",105.7,2023-06-14,2023-06-14
"29",2000-04-01,"CWSR0000SEHG",105.9,2023-06-14,2023-06-14
"30",2000-05-01,"CWSR0000SEHG",106.2,2023-06-14,2023-06-14
"31",2000-06-01,"CWSR0000SEHG",106.4,2023-06-14,2023-06-14
"32",2000-07-01,"CWSR0000SEHG",106.6,2023-06-14,2023-06-14
"33",2000-08-01,"CWSR0000SEHG",106.9,2023-06-14,2023-06-14
"34",2000-09-01,"CWSR0000SEHG",107.1,2023-06-14,2023-06-14
"35",2000-10-01,"CWSR0000SEHG",107.3,2023-06-14,2023-06-14
"36",2000-11-01,"CWSR0000SEHG",107.8,2023-06-14,2023-06-14
"37",2000-12-01,"CWSR0000SEHG",108.1,2023-06-14,2023-06-14
"38",2001-01-01,"CWSR0000SEHG",108.2,2023-06-14,2023-06-14
"39",2001-02-01,"CWSR0000SEHG",108.5,2023-06-14,2023-06-14
"40",2001-03-01,"CWSR0000SEHG",108.7,2023-06-14,2023-06-14
"41",2001-04-01,"CWSR0000SEHG",108.9,2023-06-14,2023-06-14
"42",2001-05-01,"CWSR0000SEHG",109.1,2023-06-14,2023-06-14
